ダウンロードした時刻：2017/07/24 15:39:22

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,3.0,5.3,1.8
1994/1/2,5.2,10.2,1.7
1994/1/3,7.9,10.8,5.5
1994/1/4,5.2,8.7,2.3
1994/1/5,1.8,6.5,-0.8
1994/1/6,5.4,10.1,0.4
1994/1/7,1.7,6.5,-1.0
1994/1/8,2.3,7.7,-1.8
1994/1/9,6.2,12.8,1.7
1994/1/10,6.0,10.9,2.1
1994/1/11,4.4,9.4,-0.7
1994/1/12,2.9,5.3,1.6
1994/1/13,2.4,4.8,0.5
1994/1/14,2.6,4.2,0.5
1994/1/15,1.9,4.2,0.0
1994/1/16,3.6,11.0,0.0
1994/1/17,7.1,11.7,1.4
1994/1/18,2.7,5.2,-0.7
1994/1/19,-0.4,0.6,-1.3
1994/1/20,-0.2,4.3,-4.2
1994/1/21,0.5,4.4,-2.5
1994/1/22,1.4,6.2,-2.1
1994/1/23,-0.1,3.2,-3.2
1994/1/24,0.0,4.5,-2.2
1994/1/25,2.8,8.6,-0.4
1994/1/26,4.3,11.6,-3.0
1994/1/27,1.4,5.0,-0.6
1994/1/28,0.2,2.5,-1.0
1994/1/29,0.4,2.1,-1.0
1994/1/30,-1.1,1.3,-2.2
1994/1/31,0.6,4.3,-2.9
1994/2/1,3.0,7.3,-1.7
1994/2/2,0.9,3.7,-1.5
1994/2/3,0.2,1.5,-1.6
1994/2/4,1.4,5.0,-1.1
1994/2/5,3.2,9.1,-1.2
1994/2/6,4.6,10.9,1.6
1994/2/7,5.3,10.5,-0.7
1994/2/8,4.5,9.1,-0.1
1994/2/9,4.6,9.9,1.0
1994/2/10,1.7,4.6,0.0
1994/2/11,0.2,2.0,-0.9
1994/2/12,-0.7,0.4,-1.5
1994/2/13,-0.5,2.1,-2.4
1994/2/14,1.9,4.0,-1.4
1994/2/15,4.5,7.7,2.1
1994/2/16,4.9,7.7,1.8
1994/2/17,3.8,5.0,1.2
1994/2/18,3.7,8.8,-0.8
1994/2/19,3.3,11.2,-2.1
1994/2/20,7.6,13.9,-1.4
1994/2/21,7.6,11.7,2.8
1994/2/22,2.7,4.6,0.3
1994/2/23,1.6,3.3,-1.0
1994/2/24,1.0,3.8,-0.8
1994/2/25,2.5,7.5,0.3
1994/2/26,2.2,6.0,0.8
1994/2/27,2.2,4.4,0.7
1994/2/28,3.9,8.0,0.7
1994/3/1,2.9,8.2,-1.1
1994/3/2,1.1,4.1,-0.9
1994/3/3,4.1,9.9,-1.0
1994/3/4,3.5,8.1,0.7
1994/3/5,1.3,4.3,0.2
1994/3/6,1.3,4.5,-2.2
1994/3/7,3.4,9.1,-3.1
1994/3/8,9.2,13.1,2.3
1994/3/9,6.3,8.7,3.5
1994/3/10,1.0,3.5,0.3
1994/3/11,2.9,6.4,-2.3
1994/3/12,4.4,8.1,1.3
1994/3/13,1.8,3.5,0.7
1994/3/14,2.2,7.6,-2.4
1994/3/15,2.1,8.1,-0.7
1994/3/16,4.6,10.5,-1.2
1994/3/17,4.4,6.5,2.5
1994/3/18,4.0,9.2,0.0
1994/3/19,5.5,14.1,-2.0
1994/3/20,3.0,5.8,0.9
1994/3/21,2.8,6.2,-0.2
1994/3/22,4.9,10.2,-1.0
1994/3/23,9.3,15.3,5.3
1994/3/24,6.3,9.4,2.5
1994/3/25,2.5,5.6,0.5
1994/3/26,3.0,8.1,-0.3
1994/3/27,3.6,8.6,-0.5
1994/3/28,9.0,15.3,2.5
1994/3/29,5.5,9.3,2.8
1994/3/30,5.0,9.1,-0.1
1994/3/31,6.9,16.2,-1.2
1994/4/1,12.0,18.8,2.7
1994/4/2,12.1,17.4,7.6
1994/4/3,8.6,14.1,2.5
1994/4/4,8.9,17.6,1.4
1994/4/5,12.7,23.0,4.4
1994/4/6,14.2,21.7,6.5
1994/4/7,14.7,25.4,7.5
1994/4/8,7.0,9.7,4.0
1994/4/9,5.3,9.0,2.5
1994/4/10,6.3,11.5,1.9
1994/4/11,10.5,20.0,1.6
1994/4/12,17.5,24.1,8.0
1994/4/13,10.8,15.3,5.0
1994/4/14,12.3,17.7,3.6
1994/4/15,12.9,20.9,5.4
1994/4/16,14.9,24.2,5.0
1994/4/17,13.6,23.4,8.1
1994/4/18,11.7,19.5,3.5
1994/4/19,15.0,19.8,9.3
1994/4/20,12.4,16.8,8.8
1994/4/21,13.0,20.2,6.8
1994/4/22,14.2,22.7,5.5
1994/4/23,18.1,25.6,11.0
1994/4/24,14.0,18.1,12.0
1994/4/25,14.9,21.7,11.7
1994/4/26,12.2,18.1,6.6
1994/4/27,12.0,18.2,4.7
1994/4/28,13.5,17.8,9.7
1994/4/29,15.0,22.8,7.9
1994/4/30,12.1,16.3,10.3
1994/5/1,10.2,10.7,9.6
