ダウンロードした時刻：2017/07/24 15:45:59

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,7.1,12.1,3.2
2001/1/2,6.4,13.6,2.2
2001/1/3,5.8,11.7,1.1
2001/1/4,5.0,10.2,-0.2
2001/1/5,3.6,10.9,-1.7
2001/1/6,4.4,10.7,-0.9
2001/1/7,5.3,8.6,3.3
2001/1/8,10.1,15.6,5.3
2001/1/9,6.8,9.2,3.2
2001/1/10,10.6,15.0,4.7
2001/1/11,6.6,12.6,1.2
2001/1/12,4.9,11.3,0.2
2001/1/13,2.9,5.1,1.3
2001/1/14,1.9,6.0,-0.9
2001/1/15,0.8,5.5,-2.1
2001/1/16,0.2,6.8,-4.4
2001/1/17,1.5,8.4,-4.3
2001/1/18,3.5,11.0,-2.9
2001/1/19,5.2,11.6,-0.4
2001/1/20,5.9,9.0,4.4
2001/1/21,7.6,13.5,2.4
2001/1/22,6.2,11.2,1.3
2001/1/23,7.1,14.3,1.6
2001/1/24,6.8,11.3,1.4
2001/1/25,8.3,12.5,5.6
2001/1/26,10.0,12.7,7.8
2001/1/27,9.4,13.7,6.4
2001/1/28,6.9,12.6,2.6
2001/1/29,4.2,10.4,0.0
2001/1/30,4.3,10.9,-0.8
2001/1/31,6.1,11.9,-0.4
2001/2/1,7.3,12.5,4.9
2001/2/2,5.8,10.7,0.6
2001/2/3,5.4,12.4,-1.2
2001/2/4,6.6,9.2,4.2
2001/2/5,10.3,15.4,6.2
2001/2/6,11.2,16.9,8.8
2001/2/7,9.0,10.4,7.5
2001/2/8,7.8,14.2,3.4
2001/2/9,6.1,12.2,0.9
2001/2/10,6.4,11.7,2.3
2001/2/11,6.1,13.2,-0.7
2001/2/12,7.3,11.0,4.2
2001/2/13,6.5,9.7,4.8
2001/2/14,5.1,11.4,1.6
2001/2/15,4.3,11.3,-1.5
2001/2/16,5.0,10.4,1.9
2001/2/17,4.7,10.4,-0.6
2001/2/18,7.1,14.2,1.9
2001/2/19,10.1,17.7,2.9
2001/2/20,10.4,16.0,4.1
2001/2/21,11.1,15.2,8.3
2001/2/22,13.9,18.5,7.7
2001/2/23,14.8,19.6,10.1
2001/2/24,15.7,21.7,10.8
2001/2/25,8.3,12.5,4.5
2001/2/26,6.5,12.1,1.3
2001/2/27,8.2,15.1,1.1
2001/2/28,10.4,12.3,8.2
2001/3/1,13.1,18.7,8.0
2001/3/2,9.8,14.8,5.5
2001/3/3,9.2,15.0,3.3
2001/3/4,7.9,12.8,1.3
2001/3/5,7.3,14.1,1.0
2001/3/6,9.7,16.2,4.2
2001/3/7,10.6,16.6,5.7
2001/3/8,4.1,9.8,-0.6
2001/3/9,3.0,9.9,-2.1
2001/3/10,6.3,13.9,-1.7
2001/3/11,8.8,13.0,5.7
2001/3/12,8.6,14.0,3.4
2001/3/13,8.5,16.4,2.0
2001/3/14,11.0,17.0,3.5
2001/3/15,14.6,22.8,10.0
2001/3/16,11.2,16.4,4.9
2001/3/17,10.6,11.8,9.3
2001/3/18,14.0,21.0,9.2
2001/3/19,12.6,18.7,7.1
2001/3/20,13.1,19.9,6.2
2001/3/21,15.0,22.3,9.2
2001/3/22,14.9,20.8,8.4
2001/3/23,15.4,20.4,11.6
2001/3/24,15.9,20.8,10.8
2001/3/25,15.1,16.5,14.1
2001/3/26,15.5,21.0,9.7
2001/3/27,12.4,18.3,7.3
2001/3/28,13.9,18.6,10.4
2001/3/29,12.3,16.8,5.9
2001/3/30,10.3,16.4,3.7
2001/3/31,8.9,12.9,4.5
2001/4/1,8.0,14.1,1.3
2001/4/2,11.8,18.2,4.2
2001/4/3,14.8,22.8,10.4
2001/4/4,12.2,18.8,8.0
2001/4/5,13.0,19.3,5.3
2001/4/6,15.2,21.4,9.2
2001/4/7,16.1,22.6,9.6
2001/4/8,17.6,23.3,12.2
2001/4/9,16.9,19.4,14.8
2001/4/10,19.2,25.4,14.3
2001/4/11,18.8,23.8,13.4
2001/4/12,15.3,19.8,9.0
2001/4/13,13.9,22.1,6.0
2001/4/14,15.1,21.1,8.8
2001/4/15,16.7,24.9,8.9
2001/4/16,16.3,22.3,9.0
2001/4/17,17.6,22.9,12.4
2001/4/18,17.5,20.7,14.7
2001/4/19,19.1,26.6,11.8
2001/4/20,18.7,25.7,12.2
2001/4/21,15.5,18.1,14.3
2001/4/22,16.3,21.4,10.4
2001/4/23,14.9,21.0,6.7
2001/4/24,17.2,20.3,14.5
2001/4/25,16.0,20.7,12.8
2001/4/26,15.3,23.3,8.8
2001/4/27,15.8,22.2,8.8
2001/4/28,17.6,22.2,12.3
2001/4/29,16.6,17.7,15.1
2001/4/30,18.2,20.2,16.6
2001/5/1,18.2,21.1,16.5
