ダウンロードした時刻：2017/07/24 15:41:36

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,8.4,12.3,5.4
1991/1/2,10.9,14.0,7.6
1991/1/3,7.3,10.6,5.4
1991/1/4,5.9,10.1,2.8
1991/1/5,4.8,8.4,1.9
1991/1/6,3.8,7.6,0.4
1991/1/7,4.8,9.4,1.7
1991/1/8,5.0,9.4,2.3
1991/1/9,4.7,8.2,2.1
1991/1/10,7.5,11.2,4.0
1991/1/11,7.6,10.7,5.8
1991/1/12,6.9,12.6,3.0
1991/1/13,5.4,8.3,2.9
1991/1/14,4.3,7.8,2.2
1991/1/15,3.8,7.5,1.1
1991/1/16,5.2,9.7,1.7
1991/1/17,3.6,6.0,0.9
1991/1/18,3.5,7.4,2.0
1991/1/19,5.5,9.5,2.4
1991/1/20,5.6,9.8,0.2
1991/1/21,6.2,8.9,5.1
1991/1/22,7.8,11.1,4.9
1991/1/23,3.6,5.9,0.7
1991/1/24,2.8,5.3,-1.2
1991/1/25,7.5,13.1,4.1
1991/1/26,5.1,8.6,3.4
1991/1/27,4.7,7.7,3.0
1991/1/28,3.2,5.6,2.0
1991/1/29,3.9,7.2,2.0
1991/1/30,4.0,6.4,2.3
1991/1/31,4.8,8.5,2.0
1991/2/1,5.0,10.7,0.5
1991/2/2,4.1,7.6,2.1
1991/2/3,4.2,8.2,1.4
1991/2/4,4.8,10.7,1.4
1991/2/5,4.0,6.8,1.7
1991/2/6,5.3,10.7,0.3
1991/2/7,5.8,10.1,2.3
1991/2/8,3.8,10.4,1.0
1991/2/9,4.8,9.6,1.0
1991/2/10,4.3,10.5,1.7
1991/2/11,9.7,12.6,6.7
1991/2/12,7.5,11.3,5.6
1991/2/13,6.7,9.7,3.1
1991/2/14,7.2,10.4,2.1
1991/2/15,10.1,11.9,9.0
1991/2/16,6.6,11.9,3.2
1991/2/17,2.2,4.9,0.7
1991/2/18,2.9,6.6,0.3
1991/2/19,3.5,6.5,0.9
1991/2/20,3.0,7.5,0.6
1991/2/21,3.3,8.5,-0.5
1991/2/22,2.6,7.4,-1.1
1991/2/23,1.2,4.3,-1.0
1991/2/24,1.3,6.0,-1.6
1991/2/25,1.8,6.1,-1.4
1991/2/26,4.4,11.1,-0.9
1991/2/27,5.2,10.0,-0.9
1991/2/28,7.5,10.6,5.3
1991/3/1,4.8,6.9,2.5
1991/3/2,5.6,10.4,1.8
1991/3/3,6.4,11.5,2.7
1991/3/4,5.9,9.4,0.4
1991/3/5,10.9,15.1,6.7
1991/3/6,13.9,20.2,10.1
1991/3/7,9.6,12.8,6.5
1991/3/8,6.0,7.5,4.5
1991/3/9,10.2,15.0,7.5
1991/3/10,9.3,13.3,6.3
1991/3/11,8.0,9.7,6.4
1991/3/12,9.5,13.2,7.4
1991/3/13,10.5,16.8,6.2
1991/3/14,6.5,10.1,1.4
1991/3/15,4.4,8.7,0.4
1991/3/16,3.9,5.4,2.7
1991/3/17,7.4,12.1,4.1
1991/3/18,7.8,12.1,3.0
1991/3/19,9.1,14.4,3.6
1991/3/20,12.5,15.4,8.3
1991/3/21,9.8,15.3,8.0
1991/3/22,8.6,10.4,6.1
1991/3/23,13.1,17.2,10.1
1991/3/24,13.2,18.4,9.7
1991/3/25,12.7,16.4,8.8
1991/3/26,14.4,19.4,9.0
1991/3/27,13.4,14.2,12.9
1991/3/28,11.7,14.6,8.9
1991/3/29,11.6,15.4,8.0
1991/3/30,11.9,13.4,10.2
1991/3/31,9.8,11.5,8.2
1991/4/1,7.8,10.6,4.8
1991/4/2,7.5,12.0,3.6
1991/4/3,8.9,13.6,3.4
1991/4/4,10.2,15.3,4.1
1991/4/5,12.7,16.0,8.4
1991/4/6,13.7,15.2,12.5
1991/4/7,14.4,15.7,13.1
1991/4/8,15.0,16.0,14.3
1991/4/9,16.5,21.9,12.2
1991/4/10,14.1,16.5,10.9
1991/4/11,15.7,16.9,14.2
1991/4/12,17.8,22.4,13.5
1991/4/13,16.1,17.6,15.4
1991/4/14,14.6,17.7,10.3
1991/4/15,15.7,22.8,9.2
1991/4/16,19.1,24.8,15.0
1991/4/17,16.0,20.0,10.2
1991/4/18,15.7,24.1,10.8
1991/4/19,13.8,18.6,9.7
1991/4/20,12.6,17.1,9.1
1991/4/21,13.8,21.3,7.4
1991/4/22,15.2,19.9,9.3
1991/4/23,14.5,17.1,12.1
1991/4/24,14.1,16.4,11.6
1991/4/25,15.7,20.8,11.3
1991/4/26,16.2,19.5,12.8
1991/4/27,16.9,21.6,13.0
1991/4/28,17.0,19.6,15.7
1991/4/29,17.0,22.2,13.7
1991/4/30,15.3,20.1,12.1
1991/5/1,14.8,19.7,10.0
