ダウンロードした時刻：2017/07/24 15:39:08

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,5.2,8.1,2.7
2014/1/2,3.7,5.6,1.9
2014/1/3,5.2,10.0,0.0
2014/1/4,3.1,6.8,0.0
2014/1/5,1.6,5.7,-0.8
2014/1/6,1.4,5.4,-1.7
2014/1/7,2.5,7.0,-2.5
2014/1/8,6.8,10.6,3.8
2014/1/9,1.8,5.0,-1.4
2014/1/10,-0.3,3.0,-3.2
2014/1/11,1.4,3.1,-0.2
2014/1/12,3.1,7.0,0.5
2014/1/13,-0.4,2.1,-3.1
2014/1/14,-0.5,2.6,-3.1
2014/1/15,1.6,5.9,-2.6
2014/1/16,3.0,7.3,-0.3
2014/1/17,0.8,2.6,-1.1
2014/1/18,1.3,5.4,-2.0
2014/1/19,-0.8,1.6,-2.6
2014/1/20,1.8,5.8,-2.7
2014/1/21,1.9,3.6,0.5
2014/1/22,1.2,3.5,0.2
2014/1/23,2.2,7.0,-1.0
2014/1/24,4.3,12.9,-3.1
2014/1/25,10.1,14.4,5.9
2014/1/26,3.5,10.7,-1.9
2014/1/27,0.4,4.6,-3.2
2014/1/28,5.2,10.8,-1.3
2014/1/29,3.5,7.9,-0.1
2014/1/30,9.7,12.8,5.6
2014/1/31,5.6,11.3,0.4
2014/2/1,4.1,8.1,-1.6
2014/2/2,12.0,16.7,4.8
2014/2/3,8.8,16.2,3.4
2014/2/4,0.3,3.5,-2.4
2014/2/5,-2.8,-0.3,-3.9
2014/2/6,-2.1,-0.3,-4.1
2014/2/7,-0.1,2.6,-3.0
2014/2/8,0.0,1.2,-1.2
2014/2/9,2.4,5.4,0.4
2014/2/10,0.5,4.2,-2.5
2014/2/11,0.3,2.2,-2.9
2014/2/12,2.6,6.7,-0.7
2014/2/13,1.1,2.4,0.3
2014/2/14,0.4,1.3,0.0
2014/2/15,1.7,3.3,0.3
2014/2/16,4.0,7.8,1.0
2014/2/17,2.2,4.7,0.4
2014/2/18,0.9,3.7,-1.1
2014/2/19,1.0,5.0,-2.7
2014/2/20,2.0,4.9,0.3
2014/2/21,1.2,3.5,-0.8
2014/2/22,1.7,6.0,-0.9
2014/2/23,2.3,8.1,-1.7
2014/2/24,2.8,8.1,-1.7
2014/2/25,6.2,11.9,2.2
2014/2/26,5.8,11.0,1.1
2014/2/27,9.3,15.5,4.1
2014/2/28,8.4,12.3,6.9
2014/3/1,6.3,9.4,5.0
2014/3/2,5.3,7.7,3.1
2014/3/3,3.6,7.4,-0.4
2014/3/4,4.2,10.0,-2.0
2014/3/5,5.5,8.0,1.1
2014/3/6,0.8,6.1,-0.7
2014/3/7,0.9,4.4,-1.7
2014/3/8,0.9,5.0,-2.1
2014/3/9,2.7,10.4,-1.6
2014/3/10,-0.4,3.1,-2.0
2014/3/11,3.4,8.1,-2.9
2014/3/12,9.9,15.8,5.0
2014/3/13,6.5,9.4,1.5
2014/3/14,2.6,4.9,1.2
2014/3/15,4.2,9.5,-0.3
2014/3/16,7.4,11.7,3.3
2014/3/17,7.5,13.8,0.4
2014/3/18,11.6,15.3,6.6
2014/3/19,7.1,9.7,4.4
2014/3/20,5.1,7.0,3.3
2014/3/21,3.4,4.8,1.7
2014/3/22,4.9,10.8,0.1
2014/3/23,8.3,15.8,2.3
2014/3/24,11.4,20.4,3.1
2014/3/25,14.3,19.6,8.8
2014/3/26,12.8,17.3,10.0
2014/3/27,9.9,13.6,7.8
2014/3/28,12.3,21.1,4.6
2014/3/29,17.8,25.1,13.0
2014/3/30,10.9,15.9,9.3
2014/3/31,10.3,16.0,6.7
2014/4/1,8.6,13.8,2.9
2014/4/2,11.4,19.1,4.2
2014/4/3,15.7,22.8,7.8
2014/4/4,9.4,14.5,4.8
2014/4/5,6.8,11.5,2.7
2014/4/6,5.6,8.5,3.8
2014/4/7,10.1,16.3,3.3
2014/4/8,12.0,18.8,6.6
2014/4/9,11.4,17.8,4.7
2014/4/10,10.7,19.0,6.0
2014/4/11,9.0,15.4,2.3
2014/4/12,10.2,17.4,2.8
2014/4/13,10.6,17.0,4.5
2014/4/14,9.8,15.6,4.3
2014/4/15,13.7,22.5,4.5
2014/4/16,13.7,18.8,7.3
2014/4/17,14.8,20.8,9.7
2014/4/18,11.6,13.5,10.0
2014/4/19,9.8,12.7,7.2
2014/4/20,9.9,14.3,5.0
2014/4/21,13.6,16.0,11.7
2014/4/22,12.5,16.7,8.8
2014/4/23,12.0,19.4,6.0
2014/4/24,12.2,17.6,6.5
2014/4/25,14.3,21.7,6.6
2014/4/26,16.2,23.4,8.0
2014/4/27,19.0,24.2,14.0
2014/4/28,17.5,22.9,14.7
2014/4/29,16.1,19.6,13.4
2014/4/30,16.4,20.5,14.1
2014/5/1,16.6,19.8,13.0
