ダウンロードした時刻：2017/07/24 15:43:07

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,7.7,14.5,-1.2
1988/1/2,9.3,10.4,8.6
1988/1/3,8.3,11.3,5.6
1988/1/4,7.4,9.0,4.0
1988/1/5,5.4,7.9,4.2
1988/1/6,4.9,8.1,-0.2
1988/1/7,6.7,9.5,0.2
1988/1/8,8.6,11.8,5.5
1988/1/9,4.7,8.0,1.9
1988/1/10,1.1,3.5,0.2
1988/1/11,2.8,6.0,0.3
1988/1/12,4.0,8.8,-0.5
1988/1/13,6.4,12.6,1.4
1988/1/14,7.8,16.0,-0.5
1988/1/15,8.4,9.5,7.2
1988/1/16,8.3,12.9,3.9
1988/1/17,4.9,8.1,3.0
1988/1/18,5.4,6.3,2.5
1988/1/19,4.4,9.3,0.7
1988/1/20,7.2,14.4,2.2
1988/1/21,9.2,14.2,1.7
1988/1/22,11.4,14.4,8.0
1988/1/23,2.2,11.2,-0.7
1988/1/24,0.8,2.6,-1.7
1988/1/25,3.7,6.6,2.3
1988/1/26,4.1,7.5,1.4
1988/1/27,4.3,8.9,0.6
1988/1/28,6.0,10.9,1.5
1988/1/29,6.8,12.9,0.0
1988/1/30,5.1,9.4,0.0
1988/1/31,4.4,7.0,2.2
1988/2/1,4.8,9.4,-0.5
1988/2/2,3.7,10.3,-3.0
1988/2/3,-1.3,0.6,-3.3
1988/2/4,5.0,8.5,-0.7
1988/2/5,11.3,16.9,7.2
1988/2/6,5.1,8.4,1.1
1988/2/7,0.0,2.5,-2.3
1988/2/8,1.1,4.4,-0.9
1988/2/9,2.5,6.0,0.5
1988/2/10,1.2,4.5,-0.2
1988/2/11,2.8,5.2,0.6
1988/2/12,5.1,10.3,0.8
1988/2/13,4.4,10.5,0.3
1988/2/14,4.5,10.3,0.0
1988/2/15,2.0,4.6,0.6
1988/2/16,1.3,2.6,0.3
1988/2/17,1.4,4.2,-0.4
1988/2/18,0.6,2.5,-0.1
1988/2/19,2.6,6.6,-0.2
1988/2/20,3.8,8.2,0.2
1988/2/21,2.8,4.1,0.7
1988/2/22,3.7,8.1,-1.7
1988/2/23,5.5,6.9,3.5
1988/2/24,5.4,8.0,1.2
1988/2/25,4.2,8.5,-0.9
1988/2/26,6.0,9.4,3.1
1988/2/27,5.5,7.1,4.0
1988/2/28,6.1,10.6,1.5
1988/2/29,5.2,8.9,1.0
1988/3/1,6.6,8.1,4.7
1988/3/2,6.8,8.8,5.1
1988/3/3,2.4,5.8,-0.7
1988/3/4,2.1,5.9,-0.9
1988/3/5,3.4,7.8,-0.1
1988/3/6,4.0,8.5,0.2
1988/3/7,0.7,3.9,-0.1
1988/3/8,1.5,6.0,-1.1
1988/3/9,4.4,8.7,0.3
1988/3/10,6.9,13.3,2.2
1988/3/11,11.6,17.8,2.3
1988/3/12,10.3,14.7,5.4
1988/3/13,10.6,18.0,3.5
1988/3/14,10.5,15.3,6.1
1988/3/15,5.9,9.2,2.6
1988/3/16,3.9,5.5,2.4
1988/3/17,4.8,5.8,2.4
1988/3/18,7.6,12.9,4.3
1988/3/19,8.6,12.3,3.8
1988/3/20,7.4,9.6,5.8
1988/3/21,8.1,10.4,4.0
1988/3/22,9.6,12.4,8.3
1988/3/23,8.6,12.9,3.4
1988/3/24,6.2,9.9,1.6
1988/3/25,7.3,8.7,3.7
1988/3/26,7.5,9.0,6.6
1988/3/27,6.3,9.6,1.1
1988/3/28,7.3,13.8,-0.4
1988/3/29,9.0,11.0,6.4
1988/3/30,9.0,10.9,7.6
1988/3/31,8.3,11.4,1.9
1988/4/1,6.5,11.5,0.7
1988/4/2,7.8,12.2,3.1
1988/4/3,8.3,13.3,3.2
1988/4/4,8.5,13.4,2.8
1988/4/5,13.8,21.8,5.5
1988/4/6,9.4,11.9,8.0
1988/4/7,6.9,9.0,5.3
1988/4/8,7.2,8.6,4.2
1988/4/9,6.7,11.7,1.1
1988/4/10,9.2,15.9,1.6
1988/4/11,11.7,18.4,3.0
1988/4/12,15.9,18.5,13.2
1988/4/13,14.4,19.4,10.3
1988/4/14,11.1,15.9,5.9
1988/4/15,10.9,17.5,3.9
1988/4/16,11.7,17.9,3.8
1988/4/17,17.0,24.8,7.5
1988/4/18,14.4,18.2,9.5
1988/4/19,15.7,23.6,5.8
1988/4/20,12.9,17.4,11.3
1988/4/21,13.5,15.5,11.3
1988/4/22,12.4,16.8,7.4
1988/4/23,10.9,18.3,4.6
1988/4/24,10.7,16.7,5.0
1988/4/25,14.0,20.1,7.0
1988/4/26,16.2,22.2,9.5
1988/4/27,16.5,23.7,11.0
1988/4/28,16.5,21.8,9.0
1988/4/29,15.4,17.0,14.3
1988/4/30,19.3,28.0,13.2
1988/5/1,21.9,29.5,16.1
