ダウンロードした時刻：2019/10/10 15:47:01

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,0.6,1.8,0.1
1996/12/2,2.4,6.3,0.4
1996/12/3,3.2,7.4,1.2
1996/12/4,5.5,9.4,2.5
1996/12/5,10.6,13.8,5.3
1996/12/6,1.6,6.4,0.1
1996/12/7,2.2,8.0,-1.1
1996/12/8,3.0,7.3,-0.7
1996/12/9,6.1,10.6,3.1
1996/12/10,7.6,13.3,3.5
1996/12/11,8.0,13.1,4.9
1996/12/12,8.2,12.7,5.2
1996/12/13,6.5,9.5,1.9
1996/12/14,7.4,15.7,0.2
1996/12/15,7.0,12.4,1.0
1996/12/16,7.6,15.9,-0.4
1996/12/17,12.4,16.8,9.6
1996/12/18,6.2,10.9,1.6
1996/12/19,2.7,6.7,0.4
1996/12/20,3.3,5.4,1.4
1996/12/21,4.9,8.7,1.9
1996/12/22,6.4,14.1,-1.0
1996/12/23,4.5,7.1,2.2
1996/12/24,5.4,10.4,0.9
1996/12/25,8.7,15.6,4.6
1996/12/26,3.4,4.7,2.4
1996/12/27,3.1,7.9,-1.0
1996/12/28,4.6,8.8,-1.8
1996/12/29,5.5,10.0,2.3
1996/12/30,7.9,13.5,4.3
1996/12/31,7.8,14.3,3.8
1997/1/1,12.2,17.1,4.2
1997/1/2,5.7,17.1,0.9
1997/1/3,3.0,4.0,1.1
1997/1/4,2.4,4.9,0.8
1997/1/5,3.0,5.8,0.3
1997/1/6,6.0,10.1,3.3
1997/1/7,4.6,7.1,1.7
1997/1/8,2.0,5.9,0.5
1997/1/9,1.5,3.6,0.6
1997/1/10,1.9,5.6,-1.0
1997/1/11,1.7,3.8,0.0
1997/1/12,2.4,4.6,0.6
1997/1/13,3.5,9.7,-1.1
1997/1/14,4.9,13.7,-1.7
1997/1/15,0.8,1.4,0.4
1997/1/16,3.0,7.2,0.1
1997/1/17,4.7,10.7,1.2
1997/1/18,3.9,8.5,0.9
1997/1/19,1.0,2.8,-0.4
1997/1/20,3.0,9.8,-0.8
1997/1/21,-0.3,3.8,-4.3
1997/1/22,-0.8,2.0,-5.3
1997/1/23,3.2,7.6,0.0
1997/1/24,1.8,5.3,0.2
1997/1/25,0.9,2.6,-1.0
1997/1/26,1.8,4.5,-1.8
1997/1/27,2.8,8.3,0.3
1997/1/28,3.1,8.6,0.3
1997/1/29,0.9,3.1,-1.0
1997/1/30,-0.1,1.4,-1.4
1997/1/31,0.2,2.6,-1.4
1997/2/1,0.7,2.9,-0.2
1997/2/2,1.0,5.3,-2.1
1997/2/3,2.0,7.1,-0.2
1997/2/4,1.3,4.3,-0.3
1997/2/5,1.3,5.9,-1.5
1997/2/6,2.7,7.3,-1.9
1997/2/7,2.2,6.2,-0.4
1997/2/8,1.8,7.0,-2.3
1997/2/9,3.3,8.7,-0.2
1997/2/10,3.0,7.9,0.2
1997/2/11,2.6,9.0,-0.7
1997/2/12,1.8,4.2,-0.5
1997/2/13,-0.4,2.1,-4.3
1997/2/14,0.1,3.6,-4.1
1997/2/15,2.8,9.1,-1.6
1997/2/16,4.6,9.9,1.3
1997/2/17,1.7,3.8,0.0
1997/2/18,0.0,2.1,-0.9
1997/2/19,0.1,4.0,-2.0
1997/2/20,4.4,10.0,-1.4
1997/2/21,0.7,5.7,-3.5
1997/2/22,-1.4,2.3,-3.1
1997/2/23,1.1,7.2,-5.0
1997/2/24,2.6,8.3,-1.6
1997/2/25,6.5,14.2,-1.1
1997/2/26,5.8,13.2,-0.5
1997/2/27,2.8,7.2,-1.7
1997/2/28,7.1,17.5,-3.9
1997/3/1,7.0,15.1,2.1
1997/3/2,3.7,9.4,-2.4
1997/3/3,0.4,3.8,-2.1
1997/3/4,4.2,10.8,-1.9
1997/3/5,6.0,12.1,0.3
1997/3/6,8.5,15.4,1.5
1997/3/7,10.3,16.3,3.8
1997/3/8,6.1,12.3,0.7
1997/3/9,4.1,6.9,1.3
1997/3/10,5.9,11.4,0.3
1997/3/11,7.5,11.7,4.5
1997/3/12,4.8,9.4,0.1
1997/3/13,5.7,14.5,-2.2
1997/3/14,10.1,16.5,1.9
1997/3/15,7.1,9.2,5.9
1997/3/16,6.1,9.8,3.8
1997/3/17,4.3,9.0,-0.3
1997/3/18,4.1,10.9,-0.7
1997/3/19,4.6,11.8,-1.1
1997/3/20,4.9,11.7,0.2
1997/3/21,8.4,17.2,-1.7
1997/3/22,6.7,10.1,3.9
1997/3/23,5.5,10.1,2.0
1997/3/24,2.4,6.0,-0.4
1997/3/25,6.5,14.8,-0.7
1997/3/26,8.3,15.4,2.8
1997/3/27,7.2,9.7,4.4
1997/3/28,8.6,15.7,1.2
1997/3/29,13.8,19.4,5.7
1997/3/30,8.6,16.2,5.0
1997/3/31,6.2,11.1,0.6
