ダウンロードした時刻：2017/07/24 15:39:00

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,2.1,4.5,0.3
1985/1/2,0.5,2.1,-1.1
1985/1/3,2.4,6.7,-0.8
1985/1/4,-0.1,1.2,-1.6
1985/1/5,-1.4,0.4,-2.2
1985/1/6,-0.4,1.6,-2.7
1985/1/7,-0.7,1.2,-2.8
1985/1/8,-0.4,3.6,-2.7
1985/1/9,1.1,4.1,-2.7
1985/1/10,3.5,7.5,0.5
1985/1/11,2.5,6.4,-0.4
1985/1/12,2.5,8.3,-2.4
1985/1/13,0.0,1.4,-1.1
1985/1/14,-2.3,-0.9,-3.4
1985/1/15,-0.4,3.3,-6.3
1985/1/16,1.4,3.0,-0.4
1985/1/17,-1.8,-0.3,-3.5
1985/1/18,-2.4,1.8,-5.0
1985/1/19,0.2,6.5,-6.4
1985/1/20,3.5,6.4,0.5
1985/1/21,-0.3,2.0,-2.5
1985/1/22,1.5,4.1,-3.3
1985/1/23,0.4,4.7,-2.6
1985/1/24,-0.2,1.5,-1.8
1985/1/25,-1.6,0.8,-3.6
1985/1/26,-1.4,-0.1,-2.2
1985/1/27,-0.6,5.6,-8.3
1985/1/28,2.1,4.9,-0.2
1985/1/29,-1.3,-0.1,-2.4
1985/1/30,-3.7,-2.2,-4.9
1985/1/31,0.0,3.7,-6.0
1985/2/1,3.6,6.1,2.3
1985/2/2,1.2,2.9,-0.5
1985/2/3,2.8,4.1,-0.4
1985/2/4,3.3,8.4,0.1
1985/2/5,3.1,6.4,0.2
1985/2/6,3.2,7.3,-0.1
1985/2/7,4.2,8.0,0.2
1985/2/8,3.6,5.5,1.6
1985/2/9,6.0,10.8,1.5
1985/2/10,4.2,10.3,0.8
1985/2/11,1.7,4.8,0.4
1985/2/12,3.1,7.1,-0.8
1985/2/13,2.9,5.2,0.6
1985/2/14,-0.7,1.8,-2.0
1985/2/15,0.5,4.8,-2.7
1985/2/16,1.7,5.4,-2.5
1985/2/17,1.6,4.6,0.2
1985/2/18,2.5,5.2,-1.1
1985/2/19,2.8,5.0,1.5
1985/2/20,5.3,8.4,1.8
1985/2/21,0.4,5.8,-2.8
1985/2/22,-0.6,2.0,-2.3
1985/2/23,0.0,2.8,-2.0
1985/2/24,-0.9,1.7,-2.6
1985/2/25,0.0,5.5,-5.8
1985/2/26,1.2,4.8,-2.3
1985/2/27,1.9,4.0,-1.1
1985/2/28,1.5,2.4,0.3
1985/3/1,4.6,8.2,2.1
1985/3/2,4.6,7.8,2.7
1985/3/3,3.3,5.8,0.7
1985/3/4,2.9,7.5,-1.4
1985/3/5,5.0,10.5,0.8
1985/3/6,3.2,7.7,0.2
1985/3/7,4.8,8.8,1.3
1985/3/8,8.3,14.2,1.5
1985/3/9,4.6,10.9,1.3
1985/3/10,1.9,3.8,0.4
1985/3/11,0.7,1.7,0.2
1985/3/12,2.6,6.8,0.4
1985/3/13,4.0,8.5,-0.4
1985/3/14,4.0,6.3,0.9
1985/3/15,3.2,5.0,-0.3
1985/3/16,4.2,8.8,-2.4
1985/3/17,8.2,11.6,5.5
1985/3/18,6.4,8.3,4.5
1985/3/19,4.5,6.2,2.3
1985/3/20,6.1,9.2,1.5
1985/3/21,5.5,8.0,3.0
1985/3/22,5.1,8.8,1.5
1985/3/23,4.3,8.7,-0.5
1985/3/24,5.3,10.3,-0.4
1985/3/25,13.6,19.7,1.7
1985/3/26,9.4,15.4,4.9
1985/3/27,6.2,8.8,4.0
1985/3/28,7.3,9.8,5.1
1985/3/29,8.5,14.0,4.6
1985/3/30,6.3,10.8,3.5
1985/3/31,3.9,8.3,1.7
1985/4/1,5.9,11.1,1.9
1985/4/2,10.8,19.3,0.6
1985/4/3,16.4,21.8,11.6
1985/4/4,13.1,19.1,9.4
1985/4/5,10.8,14.5,7.2
1985/4/6,9.9,15.5,3.2
1985/4/7,10.1,12.6,7.3
1985/4/8,13.5,21.4,7.1
1985/4/9,11.9,18.4,6.2
1985/4/10,10.8,14.0,7.2
1985/4/11,10.5,13.0,9.0
1985/4/12,10.5,12.3,9.2
1985/4/13,11.7,16.1,9.3
1985/4/14,12.2,16.5,9.4
1985/4/15,11.3,13.4,9.5
1985/4/16,10.3,13.8,7.5
1985/4/17,9.3,13.4,4.9
1985/4/18,9.8,13.5,7.9
1985/4/19,12.7,17.9,4.7
1985/4/20,12.9,19.3,8.8
1985/4/21,10.8,14.4,7.5
1985/4/22,16.2,25.8,6.6
1985/4/23,16.0,21.9,12.6
1985/4/24,11.3,14.1,7.3
1985/4/25,11.1,17.6,5.8
1985/4/26,20.2,25.7,8.3
1985/4/27,12.9,19.3,8.8
1985/4/28,11.3,16.6,6.0
1985/4/29,14.6,23.0,6.0
1985/4/30,14.9,22.9,7.9
1985/5/1,20.2,27.6,12.1
