ダウンロードした時刻：2017/07/24 15:36:45

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,-3.5,1.2,-8.2
2015/1/2,-4.9,-2.3,-7.5
2015/1/3,-5.4,-2.9,-9.0
2015/1/4,-0.7,2.6,-4.1
2015/1/5,0.5,4.1,-4.6
2015/1/6,1.8,6.8,-6.1
2015/1/7,-4.6,-1.2,-7.8
2015/1/8,0.0,3.0,-3.0
2015/1/9,0.3,4.1,-3.3
2015/1/10,-1.6,-0.3,-2.9
2015/1/11,-1.6,1.1,-3.3
2015/1/12,1.3,4.5,-2.9
2015/1/13,0.5,2.4,-1.6
2015/1/14,2.4,5.9,-1.3
2015/1/15,0.5,3.8,-2.3
2015/1/16,-0.8,3.2,-4.7
2015/1/17,-3.5,0.4,-7.6
2015/1/18,-3.8,-0.9,-6.3
2015/1/19,-2.2,1.4,-5.0
2015/1/20,-4.4,-1.2,-7.8
2015/1/21,-1.9,2.3,-7.7
2015/1/22,2.3,5.5,-1.7
2015/1/23,1.4,2.8,-0.9
2015/1/24,-0.5,4.2,-4.9
2015/1/25,-0.1,4.0,-5.7
2015/1/26,4.0,6.7,0.2
2015/1/27,1.8,5.6,-5.1
2015/1/28,-5.6,-4.4,-7.6
2015/1/29,-3.2,-0.9,-5.7
2015/1/30,0.5,3.8,-2.9
2015/1/31,1.7,4.9,-0.2
2015/2/1,-1.5,1.5,-5.2
2015/2/2,-1.9,2.0,-6.6
2015/2/3,-2.0,1.1,-6.5
2015/2/4,-2.8,1.7,-7.2
2015/2/5,-2.6,1.8,-7.2
2015/2/6,-1.5,2.4,-6.2
2015/2/7,1.8,4.9,-1.5
2015/2/8,3.6,6.0,-0.4
2015/2/9,-5.9,-0.4,-7.7
2015/2/10,-5.7,-3.6,-7.3
2015/2/11,-1.9,2.4,-6.9
2015/2/12,-0.6,3.0,-4.1
2015/2/13,-0.2,2.9,-1.9
2015/2/14,-1.0,2.5,-4.6
2015/2/15,-0.3,2.7,-5.2
2015/2/16,2.2,3.9,-1.3
2015/2/17,0.8,5.5,-3.7
2015/2/18,1.6,2.2,1.1
2015/2/19,1.6,4.6,-2.0
2015/2/20,1.3,5.6,-1.7
2015/2/21,1.7,5.1,-2.6
2015/2/22,4.2,7.9,1.2
2015/2/23,4.6,7.2,1.3
2015/2/24,1.6,4.0,-0.8
2015/2/25,0.1,2.8,-2.1
2015/2/26,1.1,4.8,-5.0
2015/2/27,3.4,5.4,2.1
2015/2/28,2.4,5.8,-0.5
2015/3/1,1.7,4.8,-0.9
2015/3/2,2.4,6.1,0.4
2015/3/3,3.2,6.5,-0.5
2015/3/4,2.3,3.9,0.5
2015/3/5,2.2,6.2,-1.2
2015/3/6,2.0,6.4,-2.6
2015/3/7,4.1,8.3,1.7
2015/3/8,3.4,8.9,-1.3
2015/3/9,4.7,7.7,-0.6
2015/3/10,3.5,6.8,-1.4
2015/3/11,-2.0,-0.6,-3.2
2015/3/12,-1.1,0.9,-2.9
2015/3/13,0.5,3.7,-1.8
2015/3/14,1.6,5.7,-3.6
2015/3/15,3.5,5.8,1.4
2015/3/16,6.1,10.2,2.1
2015/3/17,6.9,12.2,1.4
2015/3/18,6.4,10.6,1.3
2015/3/19,5.9,9.4,2.9
2015/3/20,5.4,9.6,1.3
2015/3/21,6.5,12.2,-0.4
2015/3/22,6.8,11.4,2.8
2015/3/23,0.5,4.1,-2.9
2015/3/24,1.2,5.6,-4.1
2015/3/25,3.5,7.5,-0.1
2015/3/26,5.7,10.8,-1.5
2015/3/27,8.7,13.2,5.6
2015/3/28,9.3,14.0,3.0
2015/3/29,10.7,15.0,6.1
2015/3/30,7.9,12.7,3.4
2015/3/31,9.2,14.6,3.3
2015/4/1,6.8,10.6,2.7
2015/4/2,6.3,12.0,-0.1
2015/4/3,8.1,13.5,5.2
2015/4/4,8.2,13.1,4.8
2015/4/5,5.5,6.9,5.0
2015/4/6,7.5,11.8,5.3
2015/4/7,2.6,6.0,-1.3
2015/4/8,1.9,7.7,-3.0
2015/4/9,3.0,7.9,-2.8
2015/4/10,6.7,11.8,2.3
2015/4/11,7.4,12.3,4.1
2015/4/12,7.1,13.2,2.1
2015/4/13,6.2,12.1,0.9
2015/4/14,8.3,14.2,3.2
2015/4/15,9.4,11.8,7.8
2015/4/16,8.5,10.9,6.0
2015/4/17,7.0,10.6,4.7
2015/4/18,8.4,14.9,2.7
2015/4/19,9.5,14.3,3.9
2015/4/20,7.3,9.5,6.0
2015/4/21,8.6,12.0,5.5
2015/4/22,10.3,15.6,4.0
2015/4/23,10.3,16.0,4.5
2015/4/24,10.1,17.1,6.1
2015/4/25,10.0,17.0,4.8
2015/4/26,12.7,18.3,3.7
2015/4/27,16.1,20.7,11.2
2015/4/28,14.3,23.0,8.8
2015/4/29,9.9,14.4,6.7
2015/4/30,12.0,18.8,6.5
2015/5/1,15.5,22.1,8.5
