ダウンロードした時刻：2017/07/24 15:40:11

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,8.1,13.0,3.5
2004/1/2,7.1,14.5,2.3
2004/1/3,7.1,13.4,2.2
2004/1/4,5.9,9.9,2.5
2004/1/5,4.1,9.5,-0.4
2004/1/6,3.4,9.8,-0.3
2004/1/7,2.1,6.9,-1.4
2004/1/8,3.1,6.4,0.4
2004/1/9,3.0,8.6,-0.5
2004/1/10,2.9,8.4,-2.2
2004/1/11,3.0,7.2,0.5
2004/1/12,2.5,7.4,-1.8
2004/1/13,4.0,12.8,-0.1
2004/1/14,2.2,5.4,-0.3
2004/1/15,1.5,6.3,-3.2
2004/1/16,2.0,7.0,-1.7
2004/1/17,1.1,4.0,-0.7
2004/1/18,3.7,8.6,-1.6
2004/1/19,4.5,10.9,1.3
2004/1/20,5.7,11.8,-0.2
2004/1/21,4.9,9.9,1.2
2004/1/22,2.4,6.0,-2.2
2004/1/23,1.5,8.7,-4.8
2004/1/24,2.9,9.8,-2.4
2004/1/25,2.4,8.4,-2.1
2004/1/26,2.5,8.8,-2.1
2004/1/27,2.0,8.0,-2.0
2004/1/28,3.9,11.7,-3.3
2004/1/29,5.5,10.7,1.9
2004/1/30,5.0,11.9,0.2
2004/1/31,4.3,9.9,-0.4
2004/2/1,4.5,11.2,-1.6
2004/2/2,3.0,5.5,0.1
2004/2/3,7.1,12.0,3.9
2004/2/4,4.3,9.9,-0.1
2004/2/5,3.0,9.5,-0.6
2004/2/6,2.8,8.3,-1.9
2004/2/7,2.8,9.1,-1.5
2004/2/8,3.1,10.1,-2.9
2004/2/9,3.5,8.2,-0.1
2004/2/10,3.0,7.7,-1.0
2004/2/11,3.2,8.7,-1.9
2004/2/12,5.4,11.4,0.8
2004/2/13,5.8,12.0,-0.3
2004/2/14,7.3,12.9,1.3
2004/2/15,5.5,11.3,1.2
2004/2/16,4.0,9.6,0.3
2004/2/17,5.4,15.1,-0.9
2004/2/18,5.6,9.7,2.3
2004/2/19,7.1,14.3,-1.1
2004/2/20,7.0,12.5,2.0
2004/2/21,9.2,17.1,2.4
2004/2/22,13.5,21.3,5.2
2004/2/23,8.5,14.2,3.0
2004/2/24,6.3,11.7,1.1
2004/2/25,9.2,17.1,2.4
2004/2/26,7.9,17.9,1.7
2004/2/27,3.8,9.7,-1.2
2004/2/28,6.0,13.0,-0.6
2004/2/29,9.1,17.8,3.8
2004/3/1,5.2,8.8,1.2
2004/3/2,3.3,8.3,-1.1
2004/3/3,3.6,9.0,-1.2
2004/3/4,3.8,11.0,0.3
2004/3/5,4.4,14.2,-2.9
2004/3/6,3.8,12.3,-0.1
2004/3/7,2.0,7.3,-2.1
2004/3/8,3.0,9.2,-3.8
2004/3/9,7.1,15.5,0.3
2004/3/10,9.7,17.2,1.7
2004/3/11,12.6,23.0,7.3
2004/3/12,9.7,14.4,4.3
2004/3/13,7.5,17.5,2.0
2004/3/14,8.6,15.8,1.0
2004/3/15,9.9,16.6,4.8
2004/3/16,11.1,16.4,7.3
2004/3/17,14.9,23.9,6.2
2004/3/18,9.0,14.6,3.9
2004/3/19,6.4,12.4,0.4
2004/3/20,4.2,6.5,2.4
2004/3/21,7.3,13.9,-0.3
2004/3/22,3.1,7.8,0.4
2004/3/23,5.6,10.5,1.2
2004/3/24,7.7,10.7,5.2
2004/3/25,9.6,13.2,4.7
2004/3/26,8.6,13.7,4.4
2004/3/27,9.0,15.6,3.8
2004/3/28,10.5,18.7,1.9
2004/3/29,13.8,21.6,5.6
2004/3/30,14.1,21.5,9.5
2004/3/31,12.2,16.2,7.6
2004/4/1,12.5,19.0,5.2
2004/4/2,14.0,22.8,9.7
2004/4/3,12.9,20.0,6.8
2004/4/4,5.5,10.4,2.0
2004/4/5,9.1,16.8,1.3
2004/4/6,11.4,18.4,3.7
2004/4/7,15.3,21.6,8.4
2004/4/8,11.2,15.1,6.5
2004/4/9,12.4,20.3,3.6
2004/4/10,17.0,26.9,7.9
2004/4/11,16.0,21.9,10.4
2004/4/12,19.4,28.0,11.7
2004/4/13,10.7,18.0,8.1
2004/4/14,11.9,15.8,7.8
2004/4/15,15.6,22.9,7.5
2004/4/16,17.0,24.8,10.4
2004/4/17,18.3,27.5,11.6
2004/4/18,15.9,23.0,8.5
2004/4/19,14.9,17.3,12.9
2004/4/20,18.1,27.7,12.8
2004/4/21,19.1,28.2,10.2
2004/4/22,21.0,29.7,11.5
2004/4/23,18.1,26.0,10.0
2004/4/24,10.2,15.7,6.2
2004/4/25,12.2,21.3,3.2
2004/4/26,15.7,23.3,8.9
2004/4/27,14.1,17.1,10.5
2004/4/28,14.6,19.3,11.0
2004/4/29,17.3,25.0,9.6
2004/4/30,19.2,27.4,10.9
2004/5/1,19.7,27.6,11.7
