ダウンロードした時刻：2017/07/24 15:37:47

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,3.5,8.3,-1.3
2004/1/2,3.3,5.0,1.9
2004/1/3,3.7,6.8,1.5
2004/1/4,1.7,6.3,-0.6
2004/1/5,0.8,5.3,-2.3
2004/1/6,-0.1,3.7,-2.4
2004/1/7,-0.6,4.0,-4.6
2004/1/8,-1.5,1.6,-3.6
2004/1/9,-0.6,2.7,-4.7
2004/1/10,-2.3,2.3,-7.9
2004/1/11,-1.9,-0.2,-3.1
2004/1/12,-0.8,4.2,-3.8
2004/1/13,-0.8,3.3,-5.9
2004/1/14,-2.7,0.0,-4.0
2004/1/15,-3.3,-2.0,-5.5
2004/1/16,-2.5,2.4,-7.8
2004/1/17,-3.6,0.9,-6.9
2004/1/18,-4.1,0.1,-8.2
2004/1/19,-0.4,1.6,-2.9
2004/1/20,2.4,6.4,-0.2
2004/1/21,1.5,6.3,-2.5
2004/1/22,-1.1,3.1,-3.9
2004/1/23,-2.0,-0.6,-3.8
2004/1/24,-0.4,2.1,-2.0
2004/1/25,-0.8,2.3,-3.3
2004/1/26,-0.8,1.1,-2.0
2004/1/27,-1.7,1.0,-4.2
2004/1/28,-0.4,2.9,-5.5
2004/1/29,-0.1,2.8,-3.7
2004/1/30,-0.3,4.0,-4.3
2004/1/31,0.0,3.1,-1.5
2004/2/1,1.5,6.0,-2.3
2004/2/2,-0.8,2.2,-4.7
2004/2/3,0.7,2.1,-1.6
2004/2/4,-0.9,0.8,-2.4
2004/2/5,-1.9,0.5,-4.3
2004/2/6,-1.4,2.4,-5.1
2004/2/7,-2.1,-0.2,-3.3
2004/2/8,-1.2,2.8,-5.9
2004/2/9,-0.8,1.3,-2.7
2004/2/10,-1.9,1.8,-5.2
2004/2/11,-3.1,1.0,-8.9
2004/2/12,1.5,5.4,-0.5
2004/2/13,1.3,5.7,-3.2
2004/2/14,2.3,7.3,-3.4
2004/2/15,1.1,3.8,-0.8
2004/2/16,1.2,5.1,-2.0
2004/2/17,2.0,6.1,-0.5
2004/2/18,0.3,3.4,-1.4
2004/2/19,0.2,2.6,-2.0
2004/2/20,1.4,5.9,-1.8
2004/2/21,0.5,4.9,-2.9
2004/2/22,6.6,14.6,1.1
2004/2/23,2.4,11.0,-2.7
2004/2/24,2.2,7.0,-3.6
2004/2/25,5.7,10.5,0.2
2004/2/26,2.6,9.9,-2.5
2004/2/27,-1.3,1.7,-3.7
2004/2/28,2.6,7.9,-1.7
2004/2/29,3.4,10.3,-1.2
2004/3/1,0.8,3.7,-1.7
2004/3/2,0.0,7.0,-4.9
2004/3/3,-1.5,1.7,-3.5
2004/3/4,-0.9,2.5,-3.5
2004/3/5,-2.0,1.3,-4.8
2004/3/6,-1.7,3.1,-5.6
2004/3/7,-1.2,2.6,-3.1
2004/3/8,0.6,3.2,-2.8
2004/3/9,4.4,8.2,1.8
2004/3/10,8.1,16.7,0.7
2004/3/11,6.3,13.3,3.4
2004/3/12,6.2,11.5,2.6
2004/3/13,2.9,9.0,-1.6
2004/3/14,4.0,9.3,-1.6
2004/3/15,3.1,8.9,-0.9
2004/3/16,5.8,15.6,-2.4
2004/3/17,11.4,23.0,1.0
2004/3/18,3.1,11.4,-1.4
2004/3/19,2.0,8.0,-3.0
2004/3/20,3.3,11.3,-2.0
2004/3/21,4.4,11.9,-2.1
2004/3/22,3.3,6.7,-0.5
2004/3/23,4.7,9.9,2.1
2004/3/24,5.1,11.6,-0.5
2004/3/25,6.7,11.5,1.9
2004/3/26,6.4,10.9,3.3
2004/3/27,5.5,10.8,1.6
2004/3/28,7.1,16.5,-1.4
2004/3/29,10.4,20.7,1.6
2004/3/30,11.7,20.8,4.1
2004/3/31,8.4,12.2,4.3
2004/4/1,7.3,13.0,2.1
2004/4/2,6.1,12.7,1.7
2004/4/3,5.5,11.3,1.0
2004/4/4,3.5,6.7,-0.4
2004/4/5,6.3,13.9,-0.5
2004/4/6,10.2,21.8,0.5
2004/4/7,10.1,18.3,5.4
2004/4/8,7.1,11.8,2.7
2004/4/9,10.2,18.4,-0.2
2004/4/10,12.8,20.8,5.0
2004/4/11,12.0,19.6,5.8
2004/4/12,14.0,22.5,5.6
2004/4/13,9.2,13.5,5.2
2004/4/14,9.7,17.2,3.0
2004/4/15,11.6,19.8,4.2
2004/4/16,15.2,23.8,5.8
2004/4/17,13.7,19.2,4.5
2004/4/18,14.1,25.9,1.6
2004/4/19,14.4,22.5,10.0
2004/4/20,14.4,20.9,8.3
2004/4/21,12.9,19.0,6.6
2004/4/22,17.3,27.4,5.4
2004/4/23,11.6,18.8,6.1
2004/4/24,5.5,10.1,1.3
2004/4/25,7.7,13.0,1.3
2004/4/26,11.6,17.8,6.2
2004/4/27,9.2,11.5,6.6
2004/4/28,11.3,15.6,8.9
2004/4/29,13.4,20.7,7.9
2004/4/30,15.3,25.9,5.1
2004/5/1,13.7,19.4,7.7
