ダウンロードした時刻：2017/07/24 15:48:00

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,14.4,17.5,10.8
2007/1/2,15.7,18.5,13.1
2007/1/3,14.5,15.8,13.0
2007/1/4,13.2,14.5,12.3
2007/1/5,14.4,15.8,12.4
2007/1/6,13.9,16.3,8.7
2007/1/7,10.7,12.5,7.3
2007/1/8,11.2,13.4,9.0
2007/1/9,9.7,11.9,4.3
2007/1/10,11.5,13.3,9.7
2007/1/11,9.9,15.8,4.2
2007/1/12,11.7,14.1,6.7
2007/1/13,10.9,11.8,9.7
2007/1/14,9.2,12.7,3.8
2007/1/15,10.3,16.1,3.7
2007/1/16,16.6,20.6,9.4
2007/1/17,16.2,20.1,12.9
2007/1/18,12.3,13.7,11.3
2007/1/19,11.9,14.6,6.7
2007/1/20,13.5,16.5,11.4
2007/1/21,12.0,13.6,10.7
2007/1/22,12.1,16.0,7.9
2007/1/23,12.7,16.8,7.4
2007/1/24,13.5,16.2,11.9
2007/1/25,12.0,14.4,6.4
2007/1/26,14.1,18.1,6.1
2007/1/27,12.7,14.6,9.9
2007/1/28,10.0,10.9,9.3
2007/1/29,9.9,12.0,7.1
2007/1/30,11.9,14.3,6.9
2007/1/31,11.6,14.9,9.9
2007/2/1,8.5,10.9,6.5
2007/2/2,6.7,8.6,5.5
2007/2/3,8.0,12.9,-0.5
2007/2/4,13.2,15.5,8.5
2007/2/5,12.8,17.9,7.7
2007/2/6,16.0,19.0,9.3
2007/2/7,16.7,19.4,12.3
2007/2/8,16.0,19.4,11.1
2007/2/9,17.5,19.4,15.5
2007/2/10,13.8,15.6,12.7
2007/2/11,11.5,15.0,10.0
2007/2/12,12.7,14.6,10.6
2007/2/13,14.1,18.5,6.6
2007/2/14,16.1,20.3,10.9
2007/2/15,11.0,12.9,8.9
2007/2/16,11.5,14.9,5.5
2007/2/17,17.1,19.6,13.6
2007/2/18,16.6,18.5,14.7
2007/2/19,14.4,17.2,9.0
2007/2/20,13.4,17.8,8.6
2007/2/21,14.0,18.4,10.5
2007/2/22,15.8,19.5,10.3
2007/2/23,15.3,17.5,13.6
2007/2/24,12.9,16.0,10.2
2007/2/25,12.1,14.1,10.5
2007/2/26,14.4,18.3,11.8
2007/2/27,16.5,20.1,14.3
2007/2/28,14.1,16.0,11.9
2007/3/1,15.1,19.5,12.4
2007/3/2,15.4,20.9,11.3
2007/3/3,16.2,22.1,9.7
2007/3/4,18.8,21.5,13.8
2007/3/5,14.8,19.5,10.7
2007/3/6,9.5,11.4,7.9
2007/3/7,9.0,10.8,7.6
2007/3/8,10.3,12.1,9.2
2007/3/9,11.3,12.9,6.5
2007/3/10,14.2,20.1,5.9
2007/3/11,11.3,15.2,8.4
2007/3/12,11.1,13.2,9.1
2007/3/13,12.5,14.7,11.1
2007/3/14,12.9,18.4,5.9
2007/3/15,15.8,18.2,14.2
2007/3/16,13.6,14.9,12.2
2007/3/17,12.3,15.0,10.6
2007/3/18,12.0,12.9,11.0
2007/3/19,11.0,13.8,8.7
2007/3/20,11.2,13.9,9.0
2007/3/21,14.1,19.1,8.0
2007/3/22,15.3,19.3,11.1
2007/3/23,16.4,22.2,9.2
2007/3/24,19.6,22.6,16.6
2007/3/25,18.6,20.2,17.0
2007/3/26,18.3,22.1,12.9
2007/3/27,15.2,18.6,12.8
2007/3/28,17.9,21.3,15.1
2007/3/29,20.3,23.6,14.6
2007/3/30,20.2,22.1,15.7
2007/3/31,21.2,26.0,14.7
2007/4/1,20.5,23.1,17.4
2007/4/2,17.2,19.0,14.6
2007/4/3,13.1,15.2,11.5
2007/4/4,13.4,15.9,10.5
2007/4/5,13.5,17.1,9.8
2007/4/6,15.9,19.6,12.4
2007/4/7,16.0,17.6,12.7
2007/4/8,14.7,19.3,11.5
2007/4/9,16.3,19.6,12.7
2007/4/10,15.5,21.4,9.9
2007/4/11,15.3,20.1,12.2
2007/4/12,16.7,22.3,11.2
2007/4/13,19.7,23.8,14.6
2007/4/14,18.2,20.6,16.2
2007/4/15,16.9,18.1,15.0
2007/4/16,17.4,20.9,14.8
2007/4/17,15.6,18.1,13.9
2007/4/18,12.1,14.8,10.7
2007/4/19,13.6,18.7,8.7
2007/4/20,16.2,22.1,7.6
2007/4/21,19.9,23.9,16.0
2007/4/22,21.8,25.0,18.2
2007/4/23,18.9,22.9,17.0
2007/4/24,18.2,19.6,16.7
2007/4/25,17.5,19.5,16.0
2007/4/26,19.0,22.0,16.3
2007/4/27,19.7,22.7,16.4
2007/4/28,19.3,22.8,15.4
2007/4/29,19.1,23.9,14.2
2007/4/30,19.7,23.8,14.9
2007/5/1,21.0,22.4,18.4
