É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:34

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2009/1/1,2.0,8.9,-3.9
2009/1/2,2.7,9.3,-2.6
2009/1/3,2.7,9.6,-1.7
2009/1/4,2.6,9.7,-3.0
2009/1/5,3.6,9.8,-3.0
2009/1/6,4.1,10.4,-1.4
2009/1/7,3.1,8.7,-0.8
2009/1/8,2.8,8.2,-2.7
2009/1/9,2.9,5.1,0.3
2009/1/10,3.0,10.5,-0.5
2009/1/11,1.7,6.9,-3.8
2009/1/12,1.8,8.0,-2.4
2009/1/13,0.8,8.9,-5.0
2009/1/14,1.6,8.1,-4.5
2009/1/15,1.4,7.1,-2.7
2009/1/16,0.9,8.8,-5.6
2009/1/17,2.5,10.2,-3.5
2009/1/18,4.4,7.6,0.7
2009/1/19,6.2,15.2,1.8
2009/1/20,3.1,8.2,-2.0
2009/1/21,4.1,6.7,-0.1
2009/1/22,5.0,6.7,2.9
2009/1/23,10.2,15.0,6.5
2009/1/24,3.8,9.5,-0.4
2009/1/25,2.2,8.6,-3.5
2009/1/26,2.4,9.3,-3.8
2009/1/27,4.5,10.5,-2.1
2009/1/28,5.1,9.5,1.5
2009/1/29,7.1,10.0,3.4
2009/1/30,8.2,9.9,6.7
2009/1/31,6.0,8.4,3.8
2009/2/1,6.2,11.0,0.0
2009/2/2,2.5,8.2,-2.8
2009/2/3,5.2,13.3,-2.1
2009/2/4,4.7,9.6,1.9
2009/2/5,3.6,9.3,-0.5
2009/2/6,4.4,11.2,-1.2
2009/2/7,3.4,9.3,-2.2
2009/2/8,4.2,11.5,-1.4
2009/2/9,3.1,8.4,-3.0
2009/2/10,5.6,13.3,-0.6
2009/2/11,3.3,7.8,-1.2
2009/2/12,6.7,14.3,-0.9
2009/2/13,7.7,11.6,2.4
2009/2/14,13.0,22.1,7.0
2009/2/15,9.8,16.1,4.0
2009/2/16,7.1,14.8,0.4
2009/2/17,2.7,8.5,-2.3
2009/2/18,3.1,9.8,-3.2
2009/2/19,3.3,7.7,-1.3
2009/2/20,3.5,8.9,0.3
2009/2/21,3.6,8.9,-0.5
2009/2/22,5.3,10.5,-1.1
2009/2/23,5.0,6.8,2.8
2009/2/24,3.5,6.5,1.6
2009/2/25,6.4,12.8,2.3
2009/2/26,5.5,7.9,3.5
2009/2/27,2.2,3.6,1.0
2009/2/28,5.3,10.4,0.3
2009/3/1,6.5,11.6,3.4
2009/3/2,4.9,10.4,-0.5
2009/3/3,1.3,5.7,-1.2
2009/3/4,4.9,9.9,0.5
2009/3/5,5.7,12.1,-1.0
2009/3/6,7.4,11.0,4.2
2009/3/7,8.7,14.5,3.6
2009/3/8,7.2,10.1,5.1
2009/3/9,8.5,12.2,4.7
2009/3/10,9.8,18.2,4.1
2009/3/11,4.7,11.1,-0.7
2009/3/12,5.4,12.4,-0.6
2009/3/13,6.9,11.8,0.7
2009/3/14,9.0,12.7,1.4
2009/3/15,6.8,14.0,-1.2
2009/3/16,8.9,15.5,2.2
2009/3/17,9.4,18.0,3.4
2009/3/18,11.7,19.5,3.2
2009/3/19,15.0,22.9,6.7
2009/3/20,11.6,19.2,4.6
2009/3/21,8.0,15.0,0.7
2009/3/22,11.1,15.7,6.0
2009/3/23,11.3,16.0,5.9
2009/3/24,7.3,11.3,4.4
2009/3/25,4.9,7.7,2.9
2009/3/26,5.1,12.4,0.0
2009/3/27,5.0,11.5,-0.8
2009/3/28,5.2,11.7,-0.4
2009/3/29,6.0,13.2,-0.9
2009/3/30,7.0,13.7,3.2
2009/3/31,8.7,13.8,4.5
2009/4/1,7.3,12.2,3.9
2009/4/2,8.4,14.0,2.7
2009/4/3,9.4,17.1,0.2
2009/4/4,10.7,16.4,4.1
2009/4/5,12.0,18.6,5.4
2009/4/6,12.7,20.0,4.6
2009/4/7,14.3,21.2,7.8
2009/4/8,13.9,21.8,8.2
2009/4/9,16.0,24.1,6.7
2009/4/10,16.8,26.4,8.4
2009/4/11,16.0,27.2,8.9
2009/4/12,15.0,22.1,8.6
2009/4/13,18.3,26.2,11.8
2009/4/14,16.1,21.1,12.3
2009/4/15,17.8,24.1,13.1
2009/4/16,15.7,23.1,10.0
2009/4/17,11.2,12.4,9.9
2009/4/18,13.9,19.4,9.8
2009/4/19,15.4,22.6,10.0
2009/4/20,13.3,15.8,10.3
2009/4/21,15.1,17.4,12.8
2009/4/22,18.0,25.7,12.6
2009/4/23,14.1,20.1,9.2
2009/4/24,10.6,13.9,7.2
2009/4/25,9.7,11.8,8.6
2009/4/26,14.4,21.7,10.4
2009/4/27,11.8,18.5,5.5
2009/4/28,10.9,18.2,4.1
2009/4/29,12.6,20.5,4.5
2009/4/30,15.5,23.4,6.9
2009/5/1,18.2,25.6,9.4
