ダウンロードした時刻：2017/07/24 15:38:12

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,3.6,7.9,-0.4
1989/1/2,3.4,10.6,-2.4
1989/1/3,3.1,10.2,-4.1
1989/1/4,0.9,4.0,-0.9
1989/1/5,1.6,3.6,-2.0
1989/1/6,4.0,7.7,1.3
1989/1/7,3.6,8.4,-3.2
1989/1/8,5.3,6.7,3.6
1989/1/9,4.7,5.9,3.6
1989/1/10,5.3,7.1,3.6
1989/1/11,6.6,11.0,2.7
1989/1/12,4.7,6.2,2.2
1989/1/13,2.2,6.2,-1.6
1989/1/14,0.9,5.6,-3.8
1989/1/15,-0.7,3.4,-3.1
1989/1/16,-0.3,5.5,-6.8
1989/1/17,2.5,7.6,-1.2
1989/1/18,2.9,10.1,-3.0
1989/1/19,6.1,9.8,3.3
1989/1/20,6.5,9.7,5.1
1989/1/21,5.2,8.5,2.5
1989/1/22,1.6,5.5,-1.6
1989/1/23,-0.8,1.4,-2.8
1989/1/24,2.5,5.6,0.0
1989/1/25,0.1,4.2,-3.3
1989/1/26,1.0,3.9,-4.0
1989/1/27,2.7,9.0,-1.0
1989/1/28,-3.5,-0.5,-5.9
1989/1/29,0.2,3.6,-4.2
1989/1/30,2.4,7.6,-3.2
1989/1/31,3.3,11.1,-4.0
1989/2/1,2.7,7.1,-1.7
1989/2/2,-0.1,3.4,-2.2
1989/2/3,-1.9,1.4,-3.8
1989/2/4,0.7,4.0,-2.5
1989/2/5,1.9,6.2,-2.2
1989/2/6,4.3,9.2,-1.5
1989/2/7,3.2,10.3,-2.7
1989/2/8,4.3,10.2,-4.2
1989/2/9,4.2,8.2,2.2
1989/2/10,1.6,3.5,-0.1
1989/2/11,-0.4,3.3,-4.2
1989/2/12,-0.2,5.5,-5.8
1989/2/13,1.3,4.7,-3.1
1989/2/14,2.2,6.2,-3.2
1989/2/15,2.1,8.6,-6.2
1989/2/16,6.4,13.4,-0.4
1989/2/17,3.8,6.1,0.3
1989/2/18,0.5,2.8,-0.5
1989/2/19,2.5,6.6,-2.7
1989/2/20,2.0,6.4,-4.4
1989/2/21,4.7,8.1,1.5
1989/2/22,1.5,5.8,-1.1
1989/2/23,1.0,6.1,-2.3
1989/2/24,0.6,1.6,-0.7
1989/2/25,0.8,1.8,0.1
1989/2/26,1.8,4.7,0.0
1989/2/27,2.1,7.3,-2.0
1989/2/28,6.0,9.2,0.7
1989/3/1,7.6,11.8,1.6
1989/3/2,3.3,11.2,-1.7
1989/3/3,6.0,9.8,0.2
1989/3/4,9.1,12.7,6.5
1989/3/5,3.0,6.9,1.2
1989/3/6,2.6,7.7,-2.3
1989/3/7,0.5,4.8,-2.6
1989/3/8,0.1,3.8,-2.0
1989/3/9,1.0,6.8,-2.2
1989/3/10,2.7,8.5,-4.0
1989/3/11,5.2,11.7,-3.0
1989/3/12,5.5,10.1,1.1
1989/3/13,8.1,14.5,0.5
1989/3/14,9.1,14.5,5.2
1989/3/15,5.4,10.0,0.5
1989/3/16,3.4,7.6,-0.3
1989/3/17,2.1,5.2,-0.4
1989/3/18,2.5,5.7,-0.1
1989/3/19,3.5,7.4,1.0
1989/3/20,4.5,8.3,1.4
1989/3/21,4.8,8.7,1.4
1989/3/22,2.1,5.4,0.6
1989/3/23,4.0,8.0,0.3
1989/3/24,4.0,5.3,2.5
1989/3/25,6.4,11.7,3.1
1989/3/26,6.2,12.3,2.6
1989/3/27,5.3,10.2,0.8
1989/3/28,2.1,4.1,0.4
1989/3/29,5.6,10.0,0.2
1989/3/30,6.5,13.2,-0.4
1989/3/31,7.0,9.1,1.9
1989/4/1,10.8,18.2,3.0
1989/4/2,9.8,16.1,4.0
1989/4/3,10.2,14.8,5.6
1989/4/4,7.9,12.3,3.6
1989/4/5,6.3,12.7,2.4
1989/4/6,9.7,17.2,1.3
1989/4/7,9.9,17.5,2.7
1989/4/8,10.5,15.6,4.8
1989/4/9,13.1,16.3,8.2
1989/4/10,10.6,14.3,6.0
1989/4/11,6.2,9.1,4.0
1989/4/12,6.5,8.4,4.0
1989/4/13,10.5,17.5,4.6
1989/4/14,12.6,22.0,0.9
1989/4/15,14.1,19.6,7.7
1989/4/16,14.8,18.1,10.7
1989/4/17,12.0,14.0,10.5
1989/4/18,13.3,19.9,5.9
1989/4/19,13.9,20.8,7.3
1989/4/20,14.7,22.9,4.8
1989/4/21,11.3,19.3,6.0
1989/4/22,12.3,16.9,5.4
1989/4/23,13.3,17.4,11.5
1989/4/24,12.3,14.9,10.0
1989/4/25,8.8,11.7,6.2
1989/4/26,10.0,15.8,1.8
1989/4/27,11.8,18.4,5.4
1989/4/28,6.4,13.0,3.9
1989/4/29,8.9,15.5,2.8
1989/4/30,12.3,19.7,-0.2
1989/5/1,11.6,16.9,7.6
