ダウンロードした時刻：2019/10/10 15:39:47

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,6.0,8.2,2.3
1989/12/2,8.8,13.6,2.6
1989/12/3,10.2,15.1,6.2
1989/12/4,11.3,18.3,3.9
1989/12/5,6.5,10.7,3.1
1989/12/6,5.7,9.4,2.3
1989/12/7,6.4,9.9,0.5
1989/12/8,6.7,9.6,2.7
1989/12/9,2.2,5.1,-0.8
1989/12/10,3.3,6.4,-1.3
1989/12/11,6.0,10.8,-0.5
1989/12/12,3.3,6.0,0.4
1989/12/13,2.6,6.3,-0.7
1989/12/14,1.7,5.1,-1.0
1989/12/15,7.1,10.0,4.3
1989/12/16,7.8,10.5,5.0
1989/12/17,7.0,10.5,5.2
1989/12/18,3.5,6.4,-0.1
1989/12/19,-0.1,2.0,-1.5
1989/12/20,2.3,5.4,-0.5
1989/12/21,2.8,5.2,-0.3
1989/12/22,5.2,9.2,0.5
1989/12/23,4.3,7.5,1.1
1989/12/24,3.3,6.8,-0.9
1989/12/25,5.7,9.3,3.2
1989/12/26,7.2,10.3,3.6
1989/12/27,6.8,10.6,2.4
1989/12/28,3.0,6.2,-0.4
1989/12/29,3.1,5.6,0.7
1989/12/30,3.1,7.5,0.0
1989/12/31,1.2,3.5,-0.2
1990/1/1,1.7,4.9,-0.3
1990/1/2,1.9,5.7,-1.5
1990/1/3,2.1,6.5,-1.1
1990/1/4,1.5,4.8,-1.4
1990/1/5,3.1,7.0,-2.1
1990/1/6,5.4,11.9,1.2
1990/1/7,1.0,3.3,-1.1
1990/1/8,3.1,7.8,-1.5
1990/1/9,2.7,8.7,-2.4
1990/1/10,4.5,13.1,0.2
1990/1/11,6.5,12.5,3.4
1990/1/12,4.4,7.4,1.4
1990/1/13,2.0,5.9,-2.0
1990/1/14,-0.3,2.7,-3.5
1990/1/15,0.7,3.6,-2.3
1990/1/16,-0.7,0.3,-1.4
1990/1/17,0.0,3.5,-3.4
1990/1/18,4.1,7.9,-2.6
1990/1/19,3.7,6.8,1.0
1990/1/20,-1.2,1.2,-4.6
1990/1/21,-2.7,1.5,-6.3
1990/1/22,0.5,5.6,-4.2
1990/1/23,-2.4,0.9,-6.2
1990/1/24,-4.7,-3.1,-6.6
1990/1/25,-2.9,-0.3,-6.7
1990/1/26,-3.5,-1.1,-6.1
1990/1/27,-2.0,0.9,-5.2
1990/1/28,-1.3,2.7,-4.6
1990/1/29,-2.2,-1.1,-4.0
1990/1/30,-0.3,3.3,-3.3
1990/1/31,-1.3,1.0,-3.4
1990/2/1,-2.5,-0.6,-4.0
1990/2/2,-1.4,2.9,-6.3
1990/2/3,2.1,6.2,-3.9
1990/2/4,2.8,5.0,1.2
1990/2/5,1.0,1.7,0.5
1990/2/6,2.5,4.9,0.2
1990/2/7,4.1,9.1,-1.5
1990/2/8,2.6,6.3,-0.9
1990/2/9,1.3,5.7,-3.7
1990/2/10,2.8,6.4,-2.9
1990/2/11,8.6,13.7,3.6
1990/2/12,5.3,10.3,1.0
1990/2/13,3.1,6.2,-0.2
1990/2/14,3.1,6.6,0.4
1990/2/15,2.1,3.6,0.4
1990/2/16,4.1,5.8,3.0
1990/2/17,5.1,8.3,2.0
1990/2/18,5.0,9.2,3.6
1990/2/19,4.9,5.8,3.8
1990/2/20,8.9,11.6,4.5
1990/2/21,9.0,13.1,5.8
1990/2/22,8.4,13.6,3.6
1990/2/23,6.4,7.2,5.8
1990/2/24,8.1,10.9,5.5
1990/2/25,7.2,10.7,4.5
1990/2/26,7.3,9.4,4.8
1990/2/27,5.0,8.9,1.2
1990/2/28,3.4,7.6,0.0
1990/3/1,5.5,9.8,-0.3
1990/3/2,3.6,6.8,3.0
1990/3/3,5.0,7.6,2.8
1990/3/4,6.6,10.6,3.8
1990/3/5,5.4,8.2,2.0
1990/3/6,4.5,10.6,-0.5
1990/3/7,5.6,11.0,1.4
1990/3/8,2.4,4.8,0.5
1990/3/9,7.1,11.1,2.0
1990/3/10,8.4,14.1,0.6
1990/3/11,8.8,13.4,4.7
1990/3/12,7.9,14.0,2.4
1990/3/13,2.6,5.2,-0.5
1990/3/14,5.9,10.7,1.9
1990/3/15,7.4,13.0,4.7
1990/3/16,6.8,9.8,3.7
1990/3/17,5.8,10.8,1.9
1990/3/18,5.7,9.1,1.1
1990/3/19,7.6,11.9,3.4
1990/3/20,9.5,15.2,4.4
1990/3/21,5.5,9.3,2.1
1990/3/22,5.9,12.0,-0.5
1990/3/23,6.8,10.8,0.8
1990/3/24,7.1,10.7,4.2
1990/3/25,4.3,8.4,1.5
1990/3/26,3.0,6.5,0.0
1990/3/27,5.5,11.9,-1.3
1990/3/28,9.3,16.7,2.9
1990/3/29,7.3,9.4,4.4
1990/3/30,6.9,10.8,2.4
1990/3/31,9.2,11.7,7.0
