ダウンロードした時刻：2017/07/24 15:46:36

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,7.3,12.9,2.8
1993/1/2,9.7,14.6,5.4
1993/1/3,10.0,14.8,5.5
1993/1/4,9.6,11.3,7.9
1993/1/5,8.8,12.2,4.5
1993/1/6,10.6,13.4,8.2
1993/1/7,13.8,16.9,10.0
1993/1/8,11.1,14.9,8.3
1993/1/9,10.8,11.5,9.9
1993/1/10,10.8,11.7,8.4
1993/1/11,8.7,10.8,5.1
1993/1/12,7.9,11.5,3.4
1993/1/13,9.9,12.8,7.9
1993/1/14,10.5,13.1,8.2
1993/1/15,9.1,10.1,8.0
1993/1/16,5.0,8.0,3.4
1993/1/17,5.4,7.4,3.7
1993/1/18,4.0,4.8,3.1
1993/1/19,3.9,5.3,3.2
1993/1/20,4.3,5.8,1.8
1993/1/21,3.7,8.0,0.1
1993/1/22,5.0,9.4,0.4
1993/1/23,7.5,11.0,4.1
1993/1/24,8.5,11.3,6.5
1993/1/25,8.9,14.2,4.2
1993/1/26,8.1,11.6,5.3
1993/1/27,4.2,7.2,0.7
1993/1/28,2.2,4.5,-0.7
1993/1/29,4.1,6.5,0.3
1993/1/30,5.6,8.7,2.8
1993/1/31,8.4,12.3,3.4
1993/2/1,6.1,8.5,4.2
1993/2/2,6.0,8.3,3.1
1993/2/3,6.7,12.1,0.2
1993/2/4,10.7,13.4,5.5
1993/2/5,10.3,16.5,3.7
1993/2/6,18.3,20.3,14.9
1993/2/7,11.4,19.3,5.3
1993/2/8,5.8,9.0,3.7
1993/2/9,5.3,6.4,3.7
1993/2/10,6.4,9.5,3.7
1993/2/11,8.9,12.5,4.2
1993/2/12,7.7,11.6,3.0
1993/2/13,9.6,13.4,4.3
1993/2/14,9.9,14.2,5.8
1993/2/15,9.4,15.3,3.2
1993/2/16,13.6,16.1,11.3
1993/2/17,11.0,13.3,7.6
1993/2/18,10.4,15.3,5.9
1993/2/19,10.3,14.7,7.8
1993/2/20,10.7,15.6,5.8
1993/2/21,13.4,16.7,10.6
1993/2/22,8.2,10.6,4.2
1993/2/23,3.3,4.8,1.6
1993/2/24,2.8,5.2,0.7
1993/2/25,3.9,9.3,-0.9
1993/2/26,5.9,10.2,1.9
1993/2/27,7.6,11.0,4.9
1993/2/28,8.2,10.6,5.2
1993/3/1,4.5,6.1,2.1
1993/3/2,4.0,7.3,1.8
1993/3/3,6.9,11.2,3.1
1993/3/4,8.2,13.4,3.3
1993/3/5,10.7,16.9,3.5
1993/3/6,15.1,19.1,11.0
1993/3/7,11.7,13.6,7.8
1993/3/8,7.9,11.2,4.6
1993/3/9,8.0,13.0,2.5
1993/3/10,9.5,14.2,5.5
1993/3/11,8.4,13.0,4.6
1993/3/12,9.0,13.5,5.0
1993/3/13,9.2,15.1,4.0
1993/3/14,10.6,15.2,5.9
1993/3/15,11.4,15.7,10.1
1993/3/16,7.6,10.3,4.6
1993/3/17,6.8,10.9,3.8
1993/3/18,7.3,11.8,3.5
1993/3/19,7.9,12.0,4.2
1993/3/20,9.5,14.4,5.0
1993/3/21,10.8,15.4,6.5
1993/3/22,12.9,17.4,9.7
1993/3/23,12.9,16.7,9.5
1993/3/24,16.4,20.4,13.0
1993/3/25,12.8,14.7,10.9
1993/3/26,12.4,14.0,11.1
1993/3/27,13.1,18.5,9.2
1993/3/28,12.1,14.8,10.1
1993/3/29,9.5,12.8,6.7
1993/3/30,11.3,17.6,6.1
1993/3/31,13.3,17.4,10.7
1993/4/1,14.4,17.7,9.9
1993/4/2,13.1,18.8,7.3
1993/4/3,14.6,19.9,9.5
1993/4/4,13.5,16.2,10.9
1993/4/5,11.6,15.0,9.1
1993/4/6,11.5,16.6,6.2
1993/4/7,11.9,14.1,8.2
1993/4/8,8.4,10.8,6.4
1993/4/9,8.0,10.5,4.3
1993/4/10,9.1,15.2,2.8
1993/4/11,9.9,12.4,6.6
1993/4/12,10.7,16.1,5.5
1993/4/13,11.7,16.9,5.5
1993/4/14,13.8,20.3,7.8
1993/4/15,14.5,20.5,9.4
1993/4/16,13.9,17.4,10.9
1993/4/17,15.3,19.5,10.5
1993/4/18,16.1,21.1,11.0
1993/4/19,16.1,21.2,11.6
1993/4/20,16.6,22.1,10.7
1993/4/21,17.5,23.5,14.4
1993/4/22,17.5,22.4,15.0
1993/4/23,20.7,25.1,15.9
1993/4/24,20.0,22.5,14.9
1993/4/25,13.5,16.8,10.7
1993/4/26,15.1,19.7,9.0
1993/4/27,20.4,22.3,17.7
1993/4/28,20.0,22.0,18.8
1993/4/29,16.7,21.0,14.3
1993/4/30,17.7,21.8,15.1
1993/5/1,17.0,18.5,14.2
