ダウンロードした時刻：2017/07/24 15:41:53

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,8.8,16.3,3.6
1988/1/2,9.6,15.7,2.8
1988/1/3,11.6,14.4,9.0
1988/1/4,11.4,15.6,6.2
1988/1/5,8.5,11.7,4.3
1988/1/6,6.0,9.7,2.5
1988/1/7,7.5,12.1,2.2
1988/1/8,11.4,17.5,7.4
1988/1/9,7.7,10.9,4.2
1988/1/10,5.5,10.5,3.0
1988/1/11,4.7,9.9,0.6
1988/1/12,6.7,12.8,-1.7
1988/1/13,8.3,13.9,1.8
1988/1/14,9.2,15.8,2.9
1988/1/15,11.7,20.0,3.1
1988/1/16,10.6,14.5,6.8
1988/1/17,7.0,11.4,2.2
1988/1/18,5.8,12.0,-0.3
1988/1/19,5.7,10.5,-0.8
1988/1/20,7.1,14.0,1.8
1988/1/21,8.9,11.8,1.9
1988/1/22,12.5,17.2,6.5
1988/1/23,9.3,15.6,2.9
1988/1/24,3.5,6.8,0.5
1988/1/25,6.5,10.3,2.1
1988/1/26,8.2,14.5,2.2
1988/1/27,7.1,12.5,1.4
1988/1/28,8.0,13.1,3.2
1988/1/29,7.9,13.1,-0.3
1988/1/30,9.3,12.8,6.4
1988/1/31,10.3,15.1,6.6
1988/2/1,6.6,11.7,1.8
1988/2/2,7.0,13.6,1.0
1988/2/3,2.4,5.1,0.6
1988/2/4,4.4,10.7,-2.9
1988/2/5,12.0,19.0,0.8
1988/2/6,13.2,18.1,5.3
1988/2/7,4.4,8.6,1.0
1988/2/8,4.6,9.7,-0.4
1988/2/9,5.0,11.6,-2.3
1988/2/10,5.5,10.3,0.4
1988/2/11,5.6,10.1,-1.6
1988/2/12,7.5,10.7,5.3
1988/2/13,5.2,10.8,-0.2
1988/2/14,5.1,8.9,-0.5
1988/2/15,5.3,8.8,1.1
1988/2/16,4.4,8.2,0.1
1988/2/17,4.0,7.4,0.1
1988/2/18,4.8,11.4,0.9
1988/2/19,3.9,9.3,-2.9
1988/2/20,6.4,12.8,-2.0
1988/2/21,7.5,10.7,3.2
1988/2/22,5.3,8.7,2.1
1988/2/23,10.1,14.5,5.2
1988/2/24,9.4,11.2,7.8
1988/2/25,7.1,9.7,5.4
1988/2/26,7.3,9.2,5.6
1988/2/27,4.2,5.7,3.1
1988/2/28,6.6,10.5,3.9
1988/2/29,8.4,12.1,2.9
1988/3/1,8.6,9.4,7.6
1988/3/2,8.6,10.1,6.6
1988/3/3,8.0,15.1,3.7
1988/3/4,5.3,9.5,-0.7
1988/3/5,7.6,14.3,2.3
1988/3/6,8.4,14.8,1.4
1988/3/7,7.5,11.6,2.0
1988/3/8,5.3,12.0,-1.6
1988/3/9,6.9,13.5,-0.3
1988/3/10,7.9,12.4,2.5
1988/3/11,11.2,18.2,1.3
1988/3/12,14.4,21.3,7.2
1988/3/13,11.1,16.2,4.9
1988/3/14,12.5,17.0,5.5
1988/3/15,14.9,20.2,10.5
1988/3/16,10.1,13.1,7.1
1988/3/17,8.1,8.9,7.3
1988/3/18,11.2,14.3,7.5
1988/3/19,12.2,15.8,7.2
1988/3/20,11.2,14.1,9.3
1988/3/21,8.9,10.5,7.5
1988/3/22,10.7,14.3,7.9
1988/3/23,12.1,17.7,5.9
1988/3/24,9.6,13.6,4.7
1988/3/25,9.9,13.4,6.3
1988/3/26,8.3,9.3,6.8
1988/3/27,8.8,12.2,6.2
1988/3/28,11.5,15.4,5.0
1988/3/29,10.7,12.5,8.4
1988/3/30,10.4,12.6,8.5
1988/3/31,8.4,10.5,7.0
1988/4/1,9.9,14.3,5.2
1988/4/2,10.5,12.6,7.9
1988/4/3,14.0,18.7,9.4
1988/4/4,14.4,18.0,10.4
1988/4/5,13.8,17.8,10.9
1988/4/6,15.0,20.1,8.8
1988/4/7,9.2,13.5,6.5
1988/4/8,9.1,13.5,6.5
1988/4/9,8.9,12.6,5.3
1988/4/10,9.8,15.1,4.6
1988/4/11,11.8,17.3,4.1
1988/4/12,13.8,18.4,8.9
1988/4/13,15.8,19.3,13.7
1988/4/14,17.1,23.1,12.2
1988/4/15,16.6,22.7,10.4
1988/4/16,13.9,18.6,7.8
1988/4/17,14.7,19.2,10.2
1988/4/18,13.8,18.0,11.5
1988/4/19,18.4,26.6,12.8
1988/4/20,20.7,28.3,12.1
1988/4/21,17.8,22.0,15.3
1988/4/22,17.9,21.6,15.1
1988/4/23,15.0,18.0,9.8
1988/4/24,13.5,20.0,5.9
1988/4/25,14.8,21.1,7.4
1988/4/26,17.5,24.4,9.0
1988/4/27,17.0,22.4,11.5
1988/4/28,17.8,21.0,13.7
1988/4/29,16.2,17.5,14.9
1988/4/30,19.8,25.4,15.0
1988/5/1,20.3,26.3,14.7
