ダウンロードした時刻：2017/07/24 15:46:42

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,6.4,11.0,1.8
2013/1/2,8.8,12.8,5.3
2013/1/3,2.8,5.5,0.0
2013/1/4,1.9,6.2,-1.6
2013/1/5,4.3,8.7,0.1
2013/1/6,4.5,8.8,1.8
2013/1/7,5.7,10.1,1.2
2013/1/8,8.1,11.6,6.1
2013/1/9,5.8,8.4,4.0
2013/1/10,3.8,6.3,0.5
2013/1/11,3.7,9.7,-1.2
2013/1/12,7.1,12.8,3.1
2013/1/13,6.2,7.9,3.7
2013/1/14,8.3,12.2,4.6
2013/1/15,5.9,10.3,2.7
2013/1/16,6.4,9.8,2.1
2013/1/17,5.1,8.9,2.4
2013/1/18,3.9,8.1,1.3
2013/1/19,5.8,9.7,1.4
2013/1/20,7.0,11.7,3.1
2013/1/21,11.0,16.4,6.5
2013/1/22,11.3,15.3,7.6
2013/1/23,9.0,11.0,7.1
2013/1/24,9.2,12.2,6.3
2013/1/25,5.2,9.1,3.6
2013/1/26,4.8,7.6,2.2
2013/1/27,3.6,4.6,1.6
2013/1/28,4.5,8.8,0.8
2013/1/29,5.7,11.5,0.7
2013/1/30,7.6,13.8,2.7
2013/1/31,10.5,17.5,4.5
2013/2/1,13.1,16.2,10.4
2013/2/2,11.9,15.5,6.8
2013/2/3,9.8,15.4,4.3
2013/2/4,14.2,18.9,9.7
2013/2/5,9.1,11.0,8.0
2013/2/6,9.1,11.5,7.5
2013/2/7,,,
2013/2/8,1.1,3.0,-1.1
2013/2/9,4.1,6.7,0.4
2013/2/10,5.6,11.1,1.1
2013/2/11,6.2,11.7,2.1
2013/2/12,5.3,7.4,2.6
2013/2/13,5.8,9.5,2.8
2013/2/14,6.2,9.9,2.0
2013/2/15,7.4,11.9,4.2
2013/2/16,6.1,10.5,2.9
2013/2/17,7.7,11.3,2.1
2013/2/18,12.4,16.9,8.2
2013/2/19,7.6,9.5,5.9
2013/2/20,5.8,9.9,2.7
2013/2/21,5.2,9.7,1.2
2013/2/22,7.2,11.8,2.5
2013/2/23,7.9,10.3,5.1
2013/2/24,7.2,11.6,3.0
2013/2/25,9.1,14.2,3.5
2013/2/26,9.9,12.0,8.7
2013/2/27,11.7,16.5,7.6
2013/2/28,12.2,20.1,6.7
2013/3/1,12.7,18.5,8.0
2013/3/2,7.3,10.2,4.9
2013/3/3,7.0,12.0,2.5
2013/3/4,8.2,12.2,4.3
2013/3/5,9.4,14.3,4.2
2013/3/6,10.3,15.7,5.5
2013/3/7,14.2,18.7,8.1
2013/3/8,16.0,20.4,11.6
2013/3/9,18.1,22.2,14.1
2013/3/10,15.4,20.1,8.7
2013/3/11,10.4,16.6,7.0
2013/3/12,14.6,21.0,7.2
2013/3/13,15.7,21.1,10.3
2013/3/14,8.7,11.6,4.9
2013/3/15,9.0,14.8,3.2
2013/3/16,11.3,16.7,6.3
2013/3/17,13.2,18.9,7.8
2013/3/18,16.5,19.3,13.5
2013/3/19,14.5,21.1,10.5
2013/3/20,13.9,17.5,9.9
2013/3/21,10.0,14.3,7.1
2013/3/22,9.4,13.8,5.2
2013/3/23,12.0,15.3,8.8
2013/3/24,12.8,15.9,10.6
2013/3/25,11.8,16.1,7.2
2013/3/26,10.5,14.8,5.9
2013/3/27,11.6,14.0,9.5
2013/3/28,14.7,19.0,11.5
2013/3/29,13.1,16.8,10.8
2013/3/30,13.4,18.5,8.5
2013/3/31,13.4,18.5,10.2
2013/4/1,15.4,22.5,8.6
2013/4/2,14.0,17.3,10.3
2013/4/3,12.4,16.6,9.2
2013/4/4,12.9,18.2,7.4
2013/4/5,17.3,22.9,11.7
2013/4/6,15.3,19.2,9.1
2013/4/7,8.9,10.6,6.2
2013/4/8,10.9,16.1,5.3
2013/4/9,13.6,17.2,10.0
2013/4/10,10.6,13.3,9.4
2013/4/11,11.4,14.8,6.9
2013/4/12,12.6,16.3,9.1
2013/4/13,12.4,17.6,6.4
2013/4/14,17.8,22.4,11.9
2013/4/15,15.9,21.2,11.7
2013/4/16,20.5,23.9,14.8
2013/4/17,19.1,25.4,15.3
2013/4/18,17.6,23.1,14.8
2013/4/19,14.2,18.9,10.5
2013/4/20,10.7,14.1,9.3
2013/4/21,11.6,15.7,8.2
2013/4/22,12.7,19.2,6.0
2013/4/23,14.7,17.2,11.6
2013/4/24,16.0,18.0,12.3
2013/4/25,15.7,20.1,11.1
2013/4/26,15.3,18.0,12.9
2013/4/27,15.8,19.9,11.7
2013/4/28,17.5,24.5,11.1
2013/4/29,20.3,24.6,15.8
2013/4/30,15.1,21.0,11.0
2013/5/1,13.5,18.4,9.8
