ダウンロードした時刻：2017/07/24 15:38:31

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,5.6,8.1,2.3
1982/1/2,2.7,3.9,1.3
1982/1/3,3.7,6.8,-0.2
1982/1/4,12.2,16.3,4.9
1982/1/5,5.7,10.7,3.1
1982/1/6,3.3,5.7,1.4
1982/1/7,1.8,7.4,-1.9
1982/1/8,2.7,5.8,-1.0
1982/1/9,6.1,8.0,3.1
1982/1/10,3.0,5.5,0.0
1982/1/11,6.1,9.5,0.2
1982/1/12,7.9,13.6,3.7
1982/1/13,2.8,4.9,0.6
1982/1/14,2.1,4.0,0.1
1982/1/15,0.3,2.8,-1.8
1982/1/16,-0.1,1.8,-1.8
1982/1/17,1.3,3.0,-0.8
1982/1/18,2.7,6.9,-1.1
1982/1/19,0.8,3.9,-2.0
1982/1/20,1.7,4.7,-2.0
1982/1/21,6.8,8.5,3.9
1982/1/22,5.4,8.6,1.5
1982/1/23,3.0,4.4,1.8
1982/1/24,4.1,7.3,2.5
1982/1/25,4.5,7.7,1.7
1982/1/26,3.1,5.7,0.3
1982/1/27,3.9,7.7,0.8
1982/1/28,0.9,2.9,0.1
1982/1/29,-0.5,1.3,-2.3
1982/1/30,-0.4,1.1,-2.7
1982/1/31,2.4,5.0,0.3
1982/2/1,1.4,3.1,-1.4
1982/2/2,0.6,2.6,-1.8
1982/2/3,4.9,6.9,1.5
1982/2/4,0.3,4.4,-1.8
1982/2/5,-0.7,1.3,-2.0
1982/2/6,-0.2,2.3,-2.0
1982/2/7,-2.0,-0.6,-3.8
1982/2/8,-1.4,0.7,-3.9
1982/2/9,0.4,3.3,-2.6
1982/2/10,0.3,1.3,-1.8
1982/2/11,3.6,5.2,-0.4
1982/2/12,2.0,6.7,-1.1
1982/2/13,2.3,7.7,-1.8
1982/2/14,1.5,3.1,-0.4
1982/2/15,1.8,4.6,-0.8
1982/2/16,3.3,6.4,0.1
1982/2/17,3.3,7.3,-0.2
1982/2/18,3.8,8.5,-0.7
1982/2/19,6.0,8.9,1.0
1982/2/20,8.5,10.3,6.5
1982/2/21,6.2,8.0,3.0
1982/2/22,4.8,6.7,3.7
1982/2/23,3.6,7.1,2.2
1982/2/24,2.7,6.1,0.9
1982/2/25,0.6,4.1,-1.7
1982/2/26,0.9,3.4,-2.3
1982/2/27,5.4,8.4,3.2
1982/2/28,7.6,11.1,4.8
1982/3/1,5.3,6.7,3.8
1982/3/2,2.6,5.2,-0.1
1982/3/3,4.1,6.5,1.0
1982/3/4,8.0,10.8,4.2
1982/3/5,8.3,11.2,6.1
1982/3/6,3.1,6.9,-0.3
1982/3/7,0.9,2.9,-1.1
1982/3/8,2.8,5.6,-2.0
1982/3/9,4.3,7.4,0.9
1982/3/10,7.5,11.2,0.6
1982/3/11,7.1,11.7,4.5
1982/3/12,9.6,16.3,3.7
1982/3/13,6.5,11.2,0.0
1982/3/14,5.6,9.3,-0.7
1982/3/15,11.7,14.0,8.5
1982/3/16,9.0,12.4,4.1
1982/3/17,5.0,8.5,3.0
1982/3/18,4.4,7.8,1.0
1982/3/19,6.3,9.9,1.0
1982/3/20,7.0,9.1,5.7
1982/3/21,8.2,9.7,7.0
1982/3/22,7.6,11.1,2.7
1982/3/23,10.4,16.8,3.0
1982/3/24,4.2,8.3,1.3
1982/3/25,2.8,6.1,0.7
1982/3/26,3.2,5.6,1.2
1982/3/27,2.6,6.7,-0.8
1982/3/28,3.7,9.1,-0.9
1982/3/29,6.1,9.8,0.5
1982/3/30,12.2,18.1,6.6
1982/3/31,9.5,14.6,6.5
1982/4/1,6.7,11.0,4.1
1982/4/2,11.2,16.9,3.9
1982/4/3,7.4,11.9,4.8
1982/4/4,7.0,8.9,3.4
1982/4/5,7.2,11.6,2.6
1982/4/6,11.0,16.8,5.3
1982/4/7,12.9,15.9,8.5
1982/4/8,10.7,13.4,9.3
1982/4/9,11.9,17.6,8.7
1982/4/10,5.8,9.5,4.2
1982/4/11,7.7,11.6,3.7
1982/4/12,9.3,13.1,2.6
1982/4/13,13.8,18.0,10.9
1982/4/14,13.9,18.8,10.6
1982/4/15,11.8,13.8,10.0
1982/4/16,10.3,14.0,8.6
1982/4/17,8.1,11.4,2.9
1982/4/18,10.1,12.5,6.4
1982/4/19,11.3,14.1,8.6
1982/4/20,10.6,15.7,4.6
1982/4/21,8.1,12.0,4.1
1982/4/22,8.9,12.9,4.7
1982/4/23,10.2,13.8,5.3
1982/4/24,14.5,19.7,10.1
1982/4/25,11.2,15.0,7.5
1982/4/26,14.2,20.2,8.3
1982/4/27,14.9,19.2,8.9
1982/4/28,16.1,19.6,12.4
1982/4/29,16.6,21.6,14.1
1982/4/30,14.2,16.6,12.3
1982/5/1,14.7,16.3,13.5
