ダウンロードした時刻：2017/07/24 15:38:07

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,2.8,7.8,-0.9
2007/1/2,3.3,9.0,-1.6
2007/1/3,3.0,8.7,-1.1
2007/1/4,2.9,9.5,-1.8
2007/1/5,1.7,8.7,-3.1
2007/1/6,0.8,3.8,-1.1
2007/1/7,5.1,8.0,2.8
2007/1/8,3.1,6.3,0.7
2007/1/9,1.5,5.3,-1.3
2007/1/10,1.4,6.4,-3.7
2007/1/11,2.5,5.0,-0.2
2007/1/12,2.0,6.1,-2.6
2007/1/13,2.7,5.0,0.1
2007/1/14,2.0,4.9,-1.1
2007/1/15,3.2,7.1,-0.7
2007/1/16,3.5,10.2,-1.6
2007/1/17,3.2,6.9,0.6
2007/1/18,3.0,8.3,-2.2
2007/1/19,3.3,5.5,1.8
2007/1/20,3.4,8.2,0.8
2007/1/21,3.4,9.7,-2.2
2007/1/22,4.0,9.6,-1.4
2007/1/23,4.4,7.9,1.3
2007/1/24,4.2,6.5,1.3
2007/1/25,3.9,8.4,-1.0
2007/1/26,5.6,10.9,0.6
2007/1/27,5.7,11.2,2.0
2007/1/28,4.5,10.5,-0.9
2007/1/29,4.1,6.5,1.3
2007/1/30,3.9,11.4,-1.7
2007/1/31,5.1,13.1,-1.2
2007/2/1,4.5,8.4,-0.4
2007/2/2,0.0,2.4,-2.2
2007/2/3,2.7,8.7,-3.8
2007/2/4,2.5,4.6,-1.1
2007/2/5,4.0,12.4,-2.2
2007/2/6,6.5,13.8,-0.1
2007/2/7,5.6,8.6,2.9
2007/2/8,5.8,10.2,2.0
2007/2/9,5.4,11.0,-0.8
2007/2/10,5.9,9.0,4.0
2007/2/11,3.5,7.2,0.9
2007/2/12,3.6,8.1,1.0
2007/2/13,3.3,10.0,-1.8
2007/2/14,2.3,12.8,0.2
2007/2/15,3.2,11.6,-0.3
2007/2/16,3.5,7.1,-0.1
2007/2/17,4.4,10.5,-0.8
2007/2/18,4.1,6.7,2.4
2007/2/19,5.4,9.3,1.2
2007/2/20,3.4,10.7,-2.4
2007/2/21,5.3,13.0,-2.2
2007/2/22,7.6,14.8,-0.6
2007/2/23,9.6,13.0,4.7
2007/2/24,1.5,4.7,-1.1
2007/2/25,1.0,6.7,-4.9
2007/2/26,1.4,9.0,-4.8
2007/2/27,3.6,12.1,-3.5
2007/2/28,5.5,8.7,3.3
2007/3/1,4.9,9.7,1.9
2007/3/2,5.3,12.4,-1.5
2007/3/3,6.9,16.2,-0.6
2007/3/4,9.4,15.4,6.7
2007/3/5,10.9,16.4,6.4
2007/3/6,7.9,13.0,1.3
2007/3/7,1.9,5.2,-0.4
2007/3/8,2.7,8.8,-2.5
2007/3/9,4.4,9.8,0.4
2007/3/10,6.3,13.2,-1.4
2007/3/11,4.8,9.9,-0.8
2007/3/12,0.5,4.5,-1.2
2007/3/13,2.9,7.6,-1.3
2007/3/14,3.5,7.4,0.6
2007/3/15,4.0,8.2,0.6
2007/3/16,3.3,9.4,-2.7
2007/3/17,2.2,6.8,-1.4
2007/3/18,2.1,5.7,-0.2
2007/3/19,2.2,6.9,-1.0
2007/3/20,3.1,8.6,-1.5
2007/3/21,4.2,11.3,-2.0
2007/3/22,6.1,14.9,-1.2
2007/3/23,8.4,13.4,5.3
2007/3/24,9.4,17.9,1.5
2007/3/25,12.4,15.9,10.2
2007/3/26,10.3,14.7,4.9
2007/3/27,10.0,16.9,2.4
2007/3/28,10.7,16.0,7.5
2007/3/29,10.5,18.4,5.9
2007/3/30,7.7,12.5,4.0
2007/3/31,7.3,10.8,2.3
2007/4/1,14.0,19.5,7.0
2007/4/2,10.2,15.9,6.6
2007/4/3,7.5,12.2,4.8
2007/4/4,6.0,12.7,0.0
2007/4/5,5.2,9.6,1.4
2007/4/6,7.5,14.2,0.4
2007/4/7,10.7,18.8,5.6
2007/4/8,10.6,15.3,8.1
2007/4/9,10.0,14.4,5.8
2007/4/10,10.4,17.8,3.6
2007/4/11,10.8,15.5,5.9
2007/4/12,9.8,18.2,1.9
2007/4/13,10.4,14.7,6.7
2007/4/14,13.3,19.6,8.3
2007/4/15,10.6,17.5,7.4
2007/4/16,6.5,7.9,4.8
2007/4/17,6.7,10.5,4.4
2007/4/18,6.7,10.5,3.9
2007/4/19,7.2,11.8,4.3
2007/4/20,12.0,20.1,1.9
2007/4/21,17.2,22.2,11.5
2007/4/22,12.9,17.4,9.2
2007/4/23,11.0,17.3,7.2
2007/4/24,11.3,17.3,6.7
2007/4/25,11.7,13.2,10.6
2007/4/26,10.7,16.5,7.6
2007/4/27,10.3,15.9,5.3
2007/4/28,10.9,19.6,3.2
2007/4/29,14.7,22.2,5.5
2007/4/30,18.0,28.6,9.0
2007/5/1,14.2,18.3,10.5
