É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:41:18

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2000/1/1,4.5,12.8,-1.7
2000/1/2,3.9,9.7,-0.9
2000/1/3,6.5,15.2,-0.4
2000/1/4,6.7,15.4,-0.7
2000/1/5,5.3,11.3,-1.6
2000/1/6,7.0,9.7,3.8
2000/1/7,10.2,19.0,4.4
2000/1/8,4.6,9.4,1.0
2000/1/9,4.4,9.4,-1.8
2000/1/10,8.7,14.4,4.4
2000/1/11,5.6,11.6,1.3
2000/1/12,3.5,6.1,2.2
2000/1/13,5.9,8.3,3.5
2000/1/14,10.4,17.6,6.1
2000/1/15,8.1,14.2,5.0
2000/1/16,7.0,10.9,4.1
2000/1/17,4.5,6.4,1.7
2000/1/18,6.1,10.8,1.3
2000/1/19,6.4,11.6,3.0
2000/1/20,3.8,9.7,-0.5
2000/1/21,1.3,4.6,-0.4
2000/1/22,1.0,7.4,-5.3
2000/1/23,1.6,6.4,-3.1
2000/1/24,3.6,8.0,1.5
2000/1/25,2.4,5.6,-1.5
2000/1/26,1.2,7.8,-5.0
2000/1/27,1.1,7.5,-4.4
2000/1/28,0.5,7.8,-6.1
2000/1/29,1.5,9.2,-5.8
2000/1/30,4.6,12.2,-3.4
2000/1/31,5.9,10.6,-0.2
2000/2/1,1.9,8.5,-4.5
2000/2/2,4.6,11.6,-1.4
2000/2/3,3.4,11.1,-3.6
2000/2/4,3.5,10.7,-2.5
2000/2/5,2.6,10.6,-4.4
2000/2/6,3.7,8.7,-1.7
2000/2/7,8.0,15.7,1.2
2000/2/8,5.1,13.0,-0.1
2000/2/9,3.5,7.7,-0.9
2000/2/10,2.4,9.9,-4.2
2000/2/11,3.1,12.1,-5.0
2000/2/12,5.2,14.0,-2.7
2000/2/13,5.3,13.1,-1.9
2000/2/14,6.1,11.6,3.0
2000/2/15,3.5,9.2,0.7
2000/2/16,1.2,4.8,-1.8
2000/2/17,1.3,9.0,-6.1
2000/2/18,2.5,7.7,-2.0
2000/2/19,2.0,7.8,-4.1
2000/2/20,4.1,8.9,1.3
2000/2/21,3.0,8.0,-2.2
2000/2/22,3.3,8.8,-3.1
2000/2/23,2.7,9.3,-4.3
2000/2/24,3.0,11.7,-1.0
2000/2/25,1.9,8.0,-3.1
2000/2/26,1.3,6.3,-2.5
2000/2/27,3.9,11.8,-1.3
2000/2/28,3.9,11.6,-3.2
2000/2/29,2.4,8.2,-2.1
2000/3/1,2.8,11.4,-5.8
2000/3/2,5.8,16.5,-3.7
2000/3/3,7.1,17.3,-1.8
2000/3/4,7.1,14.0,1.6
2000/3/5,9.7,17.0,5.3
2000/3/6,8.6,13.7,5.6
2000/3/7,8.4,16.6,0.6
2000/3/8,5.1,12.1,0.2
2000/3/9,3.3,9.6,-3.2
2000/3/10,5.3,11.3,-0.4
2000/3/11,5.0,10.1,-0.8
2000/3/12,5.2,10.7,2.0
2000/3/13,6.6,15.4,0.3
2000/3/14,5.7,13.2,-1.2
2000/3/15,6.6,13.2,0.1
2000/3/16,4.3,9.7,1.9
2000/3/17,7.9,13.4,1.1
2000/3/18,6.2,15.3,-2.6
2000/3/19,9.0,16.2,1.8
2000/3/20,9.2,14.6,3.0
2000/3/21,6.3,13.9,-1.0
2000/3/22,8.0,14.4,1.9
2000/3/23,8.3,15.8,0.1
2000/3/24,10.6,18.7,3.7
2000/3/25,6.1,11.4,1.1
2000/3/26,5.4,10.7,1.6
2000/3/27,10.0,18.2,2.1
2000/3/28,8.7,12.3,4.4
2000/3/29,13.5,19.8,8.3
2000/3/30,13.1,19.7,5.9
2000/3/31,11.4,19.0,3.6
2000/4/1,11.8,18.1,5.9
2000/4/2,9.4,15.7,1.7
2000/4/3,11.0,18.3,6.1
2000/4/4,11.7,19.3,4.3
2000/4/5,11.1,14.4,8.2
2000/4/6,15.1,21.5,10.3
2000/4/7,14.4,21.8,8.9
2000/4/8,13.9,21.4,7.0
2000/4/9,12.8,20.3,5.2
2000/4/10,13.1,16.4,11.3
2000/4/11,13.4,18.5,8.8
2000/4/12,13.9,23.7,4.2
2000/4/13,15.1,23.3,8.9
2000/4/14,16.0,24.7,8.2
2000/4/15,11.2,13.8,8.2
2000/4/16,10.0,16.3,7.2
2000/4/17,9.6,16.7,3.3
2000/4/18,12.6,22.4,3.4
2000/4/19,15.2,21.4,9.1
2000/4/20,12.0,15.1,9.5
2000/4/21,14.5,17.4,12.3
2000/4/22,18.2,25.4,10.3
2000/4/23,16.2,22.9,9.7
2000/4/24,12.6,21.5,5.5
2000/4/25,13.3,22.5,4.7
2000/4/26,11.4,12.9,10.3
2000/4/27,16.1,24.5,10.1
2000/4/28,15.5,21.9,8.9
2000/4/29,15.0,23.8,7.7
2000/4/30,14.8,21.3,8.1
2000/5/1,17.5,24.7,13.4
