ダウンロードした時刻：2017/07/24 15:37:43

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,1.0,3.2,-1.0
1992/1/2,0.7,4.1,-0.8
1992/1/3,1.8,4.6,-0.5
1992/1/4,2.7,4.9,1.3
1992/1/5,2.9,6.5,-1.2
1992/1/6,0.7,3.6,-2.4
1992/1/7,2.7,6.4,0.2
1992/1/8,4.7,7.9,0.5
1992/1/9,0.8,2.5,-0.2
1992/1/10,1.2,3.5,0.1
1992/1/11,3.2,7.6,-1.2
1992/1/12,2.1,7.5,-3.3
1992/1/13,4.2,8.7,0.6
1992/1/14,-0.1,2.5,-3.4
1992/1/15,-0.2,3.8,-3.7
1992/1/16,2.0,6.6,-1.6
1992/1/17,2.1,8.3,-3.6
1992/1/18,0.9,3.7,-1.5
1992/1/19,0.0,3.1,-2.6
1992/1/20,0.4,3.1,-2.1
1992/1/21,1.9,6.3,-1.6
1992/1/22,0.7,6.6,-3.5
1992/1/23,-0.7,0.9,-2.3
1992/1/24,-2.0,1.5,-4.3
1992/1/25,-1.2,3.1,-5.3
1992/1/26,1.2,5.4,-2.8
1992/1/27,0.2,8.0,-5.5
1992/1/28,1.5,5.4,-1.7
1992/1/29,0.3,3.1,-1.3
1992/1/30,0.3,3.0,-1.7
1992/1/31,-1.2,0.3,-2.8
1992/2/1,-1.5,0.8,-4.6
1992/2/2,0.1,3.4,-3.9
1992/2/3,2.4,6.7,-2.8
1992/2/4,1.7,5.8,-0.8
1992/2/5,-0.3,2.5,-1.5
1992/2/6,0.0,3.7,-2.6
1992/2/7,0.0,4.4,-3.7
1992/2/8,-1.0,1.1,-2.6
1992/2/9,-0.6,3.3,-4.2
1992/2/10,1.6,8.1,-5.2
1992/2/11,-1.1,1.9,-4.3
1992/2/12,-0.9,7.5,-6.8
1992/2/13,2.1,4.3,-1.2
1992/2/14,1.3,3.9,-0.4
1992/2/15,3.7,9.7,-1.1
1992/2/16,0.6,6.6,-3.6
1992/2/17,-0.6,3.3,-3.4
1992/2/18,1.1,8.8,-4.9
1992/2/19,-0.9,2.6,-3.4
1992/2/20,-2.2,1.6,-4.9
1992/2/21,-2.0,2.3,-6.1
1992/2/22,-1.6,1.9,-3.2
1992/2/23,0.0,3.8,-3.1
1992/2/24,0.4,4.1,-4.2
1992/2/25,0.8,4.5,-1.4
1992/2/26,0.1,4.5,-3.6
1992/2/27,3.5,9.6,-1.8
1992/2/28,4.2,12.6,-2.5
1992/2/29,4.1,6.8,0.7
1992/3/1,5.4,8.6,0.5
1992/3/2,1.0,4.0,-2.0
1992/3/3,0.1,4.0,-3.2
1992/3/4,1.5,6.7,-2.4
1992/3/5,-0.7,1.2,-3.4
1992/3/6,1.0,3.0,0.0
1992/3/7,0.8,3.9,-1.6
1992/3/8,2.7,8.8,-2.8
1992/3/9,4.7,13.2,-1.9
1992/3/10,5.2,11.9,0.6
1992/3/11,4.6,9.0,-0.6
1992/3/12,3.6,10.7,-3.0
1992/3/13,7.1,13.5,1.4
1992/3/14,8.6,15.1,3.1
1992/3/15,7.2,11.0,4.9
1992/3/16,4.7,9.7,0.1
1992/3/17,2.3,5.5,-0.1
1992/3/18,0.3,2.1,-0.6
1992/3/19,3.6,8.6,0.0
1992/3/20,4.5,9.3,0.8
1992/3/21,-0.8,1.0,-2.1
1992/3/22,0.3,3.4,-2.5
1992/3/23,1.6,5.9,-3.3
1992/3/24,3.2,6.6,0.2
1992/3/25,5.9,9.0,3.0
1992/3/26,7.0,12.3,2.4
1992/3/27,5.9,11.2,0.4
1992/3/28,7.0,13.8,-0.6
1992/3/29,9.1,15.0,3.0
1992/3/30,8.8,11.0,7.0
1992/3/31,9.3,14.7,6.6
1992/4/1,9.2,13.1,5.1
1992/4/2,10.8,16.2,7.2
1992/4/3,10.8,18.0,4.6
1992/4/4,11.8,20.1,4.2
1992/4/5,10.0,10.9,8.8
1992/4/6,11.0,16.4,6.8
1992/4/7,6.5,9.2,3.5
1992/4/8,9.5,17.6,0.6
1992/4/9,11.8,15.5,5.7
1992/4/10,6.7,11.7,3.5
1992/4/11,6.6,12.1,3.2
1992/4/12,7.9,15.5,1.0
1992/4/13,6.0,11.0,1.1
1992/4/14,6.7,11.7,3.2
1992/4/15,7.8,15.3,2.4
1992/4/16,8.4,10.5,6.2
1992/4/17,8.1,12.2,3.6
1992/4/18,10.3,18.7,1.7
1992/4/19,10.3,16.2,5.8
1992/4/20,9.3,16.7,2.8
1992/4/21,11.7,20.1,3.3
1992/4/22,11.2,17.6,6.3
1992/4/23,12.5,17.4,7.4
1992/4/24,15.4,27.3,4.6
1992/4/25,12.1,15.1,7.9
1992/4/26,14.0,21.6,3.9
1992/4/27,18.1,26.1,7.4
1992/4/28,17.1,28.3,7.3
1992/4/29,13.4,17.9,7.9
1992/4/30,6.1,9.1,1.2
1992/5/1,8.5,14.4,0.4
