ダウンロードした時刻：2017/07/24 15:41:53

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,7.5,10.5,4.9
1986/1/2,5.3,9.9,-0.3
1986/1/3,3.7,8.3,-2.7
1986/1/4,5.1,8.7,2.1
1986/1/5,2.8,6.0,-0.5
1986/1/6,1.4,4.9,-2.0
1986/1/7,2.3,10.0,-3.9
1986/1/8,5.3,12.7,-1.9
1986/1/9,3.3,6.6,1.1
1986/1/10,2.8,6.9,-0.8
1986/1/11,2.3,7.9,-4.0
1986/1/12,2.9,7.8,-2.0
1986/1/13,5.0,9.2,0.2
1986/1/14,3.5,9.0,-2.3
1986/1/15,3.7,10.1,-2.8
1986/1/16,6.2,9.2,1.1
1986/1/17,6.2,11.8,0.7
1986/1/18,6.2,11.6,0.7
1986/1/19,6.9,12.3,1.8
1986/1/20,8.3,13.1,4.0
1986/1/21,6.6,10.7,4.1
1986/1/22,4.7,9.4,0.0
1986/1/23,4.6,10.3,0.1
1986/1/24,5.7,10.7,2.6
1986/1/25,4.2,10.6,-1.0
1986/1/26,2.6,9.7,-3.8
1986/1/27,2.7,8.7,-3.7
1986/1/28,3.1,9.3,-4.6
1986/1/29,4.3,9.8,-1.3
1986/1/30,6.1,12.6,-1.1
1986/1/31,6.9,11.6,1.8
1986/2/1,5.7,10.0,-0.2
1986/2/2,5.9,12.8,0.6
1986/2/3,7.5,12.9,-0.3
1986/2/4,4.4,9.8,-0.1
1986/2/5,4.1,10.9,-2.6
1986/2/6,3.8,8.2,-2.1
1986/2/7,4.0,8.3,-2.3
1986/2/8,3.9,8.1,-0.2
1986/2/9,3.6,9.9,-3.0
1986/2/10,3.2,7.4,-2.6
1986/2/11,3.4,5.4,1.8
1986/2/12,4.4,9.2,-0.1
1986/2/13,7.6,14.5,-1.5
1986/2/14,10.6,14.3,5.2
1986/2/15,8.7,11.9,4.3
1986/2/16,3.6,7.3,0.4
1986/2/17,4.2,9.2,-1.1
1986/2/18,3.0,5.9,1.0
1986/2/19,5.4,10.1,2.0
1986/2/20,5.2,10.6,-0.4
1986/2/21,5.4,11.3,-0.8
1986/2/22,5.1,9.9,0.6
1986/2/23,6.5,13.5,-1.2
1986/2/24,5.2,10.8,-0.8
1986/2/25,3.5,9.4,-2.3
1986/2/26,4.3,9.3,-0.8
1986/2/27,7.4,13.3,1.6
1986/2/28,4.4,8.8,1.4
1986/3/1,3.8,10.3,-3.5
1986/3/2,4.2,8.7,0.5
1986/3/3,5.7,12.3,-2.1
1986/3/4,5.0,9.0,1.8
1986/3/5,6.7,13.4,-0.4
1986/3/6,7.0,11.5,-0.1
1986/3/7,8.9,13.7,4.6
1986/3/8,10.1,14.8,2.7
1986/3/9,12.7,19.5,4.4
1986/3/10,12.5,15.2,9.1
1986/3/11,10.1,13.7,8.0
1986/3/12,9.7,14.6,5.8
1986/3/13,10.0,15.6,3.1
1986/3/14,8.4,11.2,6.5
1986/3/15,11.5,17.1,7.1
1986/3/16,13.0,20.1,5.6
1986/3/17,9.8,13.6,5.3
1986/3/18,8.5,11.7,3.3
1986/3/19,10.4,12.1,8.3
1986/3/20,11.4,16.8,4.0
1986/3/21,9.1,14.1,2.7
1986/3/22,9.6,13.1,7.7
1986/3/23,7.4,9.6,5.6
1986/3/24,7.3,12.1,4.0
1986/3/25,7.9,13.1,1.5
1986/3/26,8.2,13.1,2.9
1986/3/27,10.9,17.8,1.5
1986/3/28,9.7,12.3,7.5
1986/3/29,10.8,12.8,8.1
1986/3/30,10.8,11.7,9.9
1986/3/31,13.4,19.9,9.9
1986/4/1,10.2,13.1,7.8
1986/4/2,11.3,16.3,5.5
1986/4/3,12.8,17.8,7.2
1986/4/4,12.7,15.0,10.6
1986/4/5,15.9,22.8,11.3
1986/4/6,13.5,18.7,6.4
1986/4/7,9.2,13.2,4.2
1986/4/8,9.3,14.8,1.7
1986/4/9,14.5,21.5,5.3
1986/4/10,14.4,17.9,12.3
1986/4/11,13.4,16.0,10.5
1986/4/12,10.2,15.6,4.3
1986/4/13,11.6,16.1,5.1
1986/4/14,13.3,19.3,5.6
1986/4/15,12.1,13.8,10.6
1986/4/16,14.8,19.0,10.6
1986/4/17,14.0,18.5,11.2
1986/4/18,14.5,18.7,11.2
1986/4/19,14.2,15.8,12.6
1986/4/20,16.5,18.6,14.4
1986/4/21,17.2,21.0,13.0
1986/4/22,16.1,19.3,15.0
1986/4/23,17.9,20.8,14.7
1986/4/24,16.9,19.8,15.4
1986/4/25,17.2,22.8,12.5
1986/4/26,18.5,25.1,13.5
1986/4/27,18.7,23.3,14.9
1986/4/28,17.3,22.0,12.6
1986/4/29,16.0,20.5,12.5
1986/4/30,15.8,20.8,12.2
1986/5/1,16.7,21.0,12.2
