ダウンロードした時刻：2017/07/24 15:36:39

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-5.7,-3.6,-8.5
1995/1/2,-4.1,1.0,-10.4
1995/1/3,1.7,4.0,-0.5
1995/1/4,2.3,4.6,0.8
1995/1/5,0.6,3.6,-1.8
1995/1/6,-3.2,-0.8,-6.4
1995/1/7,-0.6,1.7,-3.7
1995/1/8,0.1,3.8,-3.4
1995/1/9,4.2,8.7,-1.6
1995/1/10,-2.7,2.1,-5.0
1995/1/11,-5.5,-4.1,-7.0
1995/1/12,-5.0,-2.7,-6.6
1995/1/13,-7.2,-4.3,-10.0
1995/1/14,-9.6,-6.2,-13.1
1995/1/15,-8.0,-3.4,-12.0
1995/1/16,-6.8,-3.0,-11.1
1995/1/17,-7.2,-2.0,-12.0
1995/1/18,-4.5,0.8,-11.8
1995/1/19,-4.7,-2.1,-8.3
1995/1/20,-5.4,-0.9,-9.8
1995/1/21,-4.4,0.7,-11.8
1995/1/22,0.1,4.4,-7.5
1995/1/23,3.8,5.8,1.7
1995/1/24,-0.6,2.1,-4.2
1995/1/25,-2.5,1.3,-4.9
1995/1/26,-1.9,2.1,-6.0
1995/1/27,-4.6,-2.6,-6.9
1995/1/28,-4.9,-1.8,-7.6
1995/1/29,-3.0,1.4,-6.5
1995/1/30,-3.4,-1.8,-7.3
1995/1/31,-1.1,1.7,-5.1
1995/2/1,0.0,2.1,-3.0
1995/2/2,-4.0,-0.5,-7.6
1995/2/3,-5.1,0.4,-10.7
1995/2/4,-3.4,0.7,-6.9
1995/2/5,-3.0,1.6,-8.1
1995/2/6,-3.5,1.1,-7.1
1995/2/7,-2.0,2.2,-7.4
1995/2/8,-0.9,2.3,-2.6
1995/2/9,-3.1,1.4,-7.4
1995/2/10,-4.2,0.9,-9.0
1995/2/11,0.0,3.8,-4.8
1995/2/12,2.6,6.9,-2.0
1995/2/13,0.4,4.5,-2.5
1995/2/14,-1.5,0.9,-3.0
1995/2/15,-2.7,1.3,-5.5
1995/2/16,-2.5,2.1,-7.6
1995/2/17,-0.9,3.8,-5.5
1995/2/18,-0.5,2.6,-2.8
1995/2/19,1.1,4.5,-2.2
1995/2/20,2.0,6.2,-1.7
1995/2/21,1.8,4.7,0.1
1995/2/22,0.4,3.4,-3.0
1995/2/23,-0.3,2.8,-3.4
1995/2/24,-0.9,2.6,-4.9
1995/2/25,-2.2,2.1,-6.9
1995/2/26,-1.1,3.0,-6.7
1995/2/27,-0.4,1.1,-2.9
1995/2/28,-2.0,2.4,-8.3
1995/3/1,0.8,2.7,-0.8
1995/3/2,-1.9,1.0,-4.4
1995/3/3,-3.7,1.2,-8.8
1995/3/4,-3.0,1.4,-7.3
1995/3/5,-2.2,2.2,-7.7
1995/3/6,-1.8,2.4,-6.9
1995/3/7,1.0,6.0,-3.2
1995/3/8,1.9,6.6,-3.8
1995/3/9,1.7,5.2,-1.7
1995/3/10,1.7,5.8,-3.5
1995/3/11,2.0,4.0,0.8
1995/3/12,2.4,4.6,1.2
1995/3/13,3.0,6.3,0.6
1995/3/14,4.0,8.8,-0.4
1995/3/15,3.8,9.7,-3.1
1995/3/16,6.2,10.7,-0.9
1995/3/17,5.6,11.3,-1.2
1995/3/18,-0.2,3.5,-3.8
1995/3/19,1.0,5.5,-3.2
1995/3/20,3.8,7.0,-2.2
1995/3/21,6.0,8.8,1.7
1995/3/22,0.0,1.9,-2.7
1995/3/23,-0.4,3.5,-3.4
1995/3/24,0.4,3.4,-2.0
1995/3/25,-0.6,2.5,-4.4
1995/3/26,-0.8,3.2,-6.3
1995/3/27,1.4,4.9,-0.8
1995/3/28,3.4,9.1,-0.6
1995/3/29,3.6,8.3,-2.7
1995/3/30,6.8,12.3,2.3
1995/3/31,6.5,8.6,4.1
1995/4/1,3.7,7.0,0.0
1995/4/2,3.1,6.6,0.1
1995/4/3,3.2,6.7,-0.6
1995/4/4,5.5,10.9,-0.5
1995/4/5,5.3,11.0,-1.9
1995/4/6,8.5,15.2,0.9
1995/4/7,7.4,12.4,2.0
1995/4/8,6.5,10.7,2.5
1995/4/9,7.4,10.3,2.8
1995/4/10,2.6,6.1,-0.7
1995/4/11,3.2,7.2,0.0
1995/4/12,1.7,4.3,0.1
1995/4/13,4.6,9.0,0.4
1995/4/14,5.3,9.1,-0.1
1995/4/15,6.4,11.3,1.0
1995/4/16,5.4,10.4,-0.4
1995/4/17,6.7,10.6,2.0
1995/4/18,6.6,12.1,0.7
1995/4/19,7.2,9.2,3.6
1995/4/20,7.2,11.9,2.8
1995/4/21,9.7,13.7,3.8
1995/4/22,11.4,15.6,7.7
1995/4/23,11.2,14.5,7.5
1995/4/24,10.7,16.2,7.0
1995/4/25,10.7,16.6,4.3
1995/4/26,8.6,10.9,7.2
1995/4/27,10.2,14.3,5.5
1995/4/28,11.2,17.6,4.1
1995/4/29,13.9,19.8,6.7
1995/4/30,12.0,18.2,7.6
1995/5/1,12.4,17.7,9.0
