ダウンロードした時刻：2017/07/24 15:39:57

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-1.1,4.3,-5.6
1995/1/2,-2.5,4.4,-7.4
1995/1/3,2.6,10.7,-7.9
1995/1/4,5.3,8.4,3.5
1995/1/5,2.9,7.0,-0.4
1995/1/6,-1.5,1.1,-5.8
1995/1/7,0.2,9.2,-8.3
1995/1/8,0.3,7.8,-4.9
1995/1/9,5.8,11.2,-2.2
1995/1/10,1.9,5.3,-1.5
1995/1/11,0.8,4.6,-1.3
1995/1/12,1.3,7.0,-3.4
1995/1/13,-0.4,3.6,-2.9
1995/1/14,-3.6,-0.5,-7.2
1995/1/15,-3.5,0.9,-6.7
1995/1/16,-4.6,2.2,-9.6
1995/1/17,-3.9,4.0,-9.1
1995/1/18,-2.5,5.1,-10.1
1995/1/19,-1.9,1.9,-6.7
1995/1/20,-2.5,5.5,-7.5
1995/1/21,-1.2,7.8,-8.1
1995/1/22,-2.1,0.5,-5.4
1995/1/23,1.7,4.5,0.2
1995/1/24,0.5,4.0,-3.2
1995/1/25,-2.8,2.8,-7.2
1995/1/26,-2.0,5.7,-8.8
1995/1/27,-2.2,3.2,-6.1
1995/1/28,-0.1,5.8,-6.6
1995/1/29,0.6,6.2,-3.1
1995/1/30,-2.5,2.5,-5.0
1995/1/31,-3.0,0.5,-6.1
1995/2/1,-2.0,4.2,-5.8
1995/2/2,-2.8,5.4,-9.1
1995/2/3,-2.5,5.2,-8.2
1995/2/4,-1.8,2.8,-6.8
1995/2/5,-1.2,3.1,-3.6
1995/2/6,-1.5,5.4,-6.7
1995/2/7,-1.1,5.7,-4.8
1995/2/8,-0.1,10.1,-7.7
1995/2/9,3.0,10.7,-3.5
1995/2/10,-0.8,3.5,-5.5
1995/2/11,-1.2,8.3,-8.5
1995/2/12,2.2,11.0,-6.0
1995/2/13,2.0,5.7,-0.4
1995/2/14,0.9,5.3,-3.8
1995/2/15,-0.3,8.3,-6.5
1995/2/16,0.5,4.7,-4.1
1995/2/17,-1.8,4.5,-6.1
1995/2/18,-1.8,6.3,-8.4
1995/2/19,0.0,7.7,-5.8
1995/2/20,0.0,7.1,-4.8
1995/2/21,-0.1,6.7,-4.1
1995/2/22,-0.7,7.2,-6.5
1995/2/23,1.4,11.3,-4.8
1995/2/24,-0.1,5.8,-4.9
1995/2/25,1.4,6.3,-1.9
1995/2/26,-0.4,2.2,-2.4
1995/2/27,2.7,8.4,-1.4
1995/2/28,3.0,10.4,-2.1
1995/3/1,2.6,9.5,-0.3
1995/3/2,0.6,5.5,-2.9
1995/3/3,0.4,7.3,-6.2
1995/3/4,0.2,4.7,-2.7
1995/3/5,-0.3,6.2,-6.5
1995/3/6,1.1,8.9,-4.0
1995/3/7,1.9,12.0,-5.6
1995/3/8,2.9,11.1,-4.0
1995/3/9,3.3,11.3,-3.0
1995/3/10,1.2,2.9,0.2
1995/3/11,3.0,9.4,-0.9
1995/3/12,4.1,12.2,-2.3
1995/3/13,3.5,9.8,-0.4
1995/3/14,3.7,10.4,-1.1
1995/3/15,5.4,14.7,-1.8
1995/3/16,5.0,9.3,1.2
1995/3/17,11.3,17.3,2.6
1995/3/18,1.9,4.3,-0.8
1995/3/19,2.5,11.1,-2.9
1995/3/20,5.0,14.2,-3.8
1995/3/21,7.9,16.7,-2.1
1995/3/22,7.9,12.2,1.6
1995/3/23,6.9,15.8,0.4
1995/3/24,8.3,15.6,3.0
1995/3/25,2.2,6.6,-1.6
1995/3/26,-0.6,3.3,-2.6
1995/3/27,4.4,12.2,-4.7
1995/3/28,3.0,7.7,-1.3
1995/3/29,5.1,12.3,-2.2
1995/3/30,5.7,7.9,4.2
1995/3/31,8.4,15.1,4.8
1995/4/1,7.1,12.9,-0.4
1995/4/2,3.2,11.0,-3.2
1995/4/3,2.7,9.0,-2.0
1995/4/4,4.8,15.5,-4.5
1995/4/5,8.2,18.1,-1.3
1995/4/6,11.2,17.8,2.9
1995/4/7,8.8,17.1,2.3
1995/4/8,9.7,19.3,-0.6
1995/4/9,12.0,15.5,8.2
1995/4/10,7.8,15.5,2.6
1995/4/11,7.5,15.9,0.9
1995/4/12,7.2,12.2,2.0
1995/4/13,7.5,16.1,-0.3
1995/4/14,6.4,10.1,3.8
1995/4/15,10.1,15.8,5.4
1995/4/16,10.5,12.6,8.1
1995/4/17,13.4,20.4,8.4
1995/4/18,13.5,21.6,6.6
1995/4/19,10.5,18.2,3.5
1995/4/20,6.8,14.7,-0.3
1995/4/21,10.8,19.9,-0.3
1995/4/22,15.0,19.1,11.3
1995/4/23,18.3,22.0,10.9
1995/4/24,13.1,21.1,4.4
1995/4/25,12.6,17.7,11.1
1995/4/26,13.8,18.9,5.9
1995/4/27,12.2,21.0,3.4
1995/4/28,13.4,18.9,8.4
1995/4/29,13.4,22.5,5.4
1995/4/30,16.3,22.9,11.8
1995/5/1,14.7,17.3,13.8
