ダウンロードした時刻：2017/07/24 15:46:24

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,2.6,6.3,-0.8
2015/1/2,4.3,5.8,2.5
2015/1/3,5.8,9.1,2.5
2015/1/4,9.7,14.6,5.6
2015/1/5,9.7,12.0,6.3
2015/1/6,10.9,14.1,8.3
2015/1/7,6.6,8.9,3.7
2015/1/8,6.1,7.7,4.0
2015/1/9,7.8,9.8,5.5
2015/1/10,8.3,10.6,6.7
2015/1/11,9.3,12.0,7.1
2015/1/12,6.2,8.5,3.6
2015/1/13,7.2,9.9,5.0
2015/1/14,7.9,9.5,6.3
2015/1/15,9.6,11.1,8.4
2015/1/16,9.0,13.2,5.0
2015/1/17,7.4,8.6,6.0
2015/1/18,7.0,10.8,3.3
2015/1/19,9.1,10.9,7.5
2015/1/20,8.3,11.3,6.8
2015/1/21,8.8,10.9,6.7
2015/1/22,9.1,12.4,6.9
2015/1/23,7.2,10.1,4.1
2015/1/24,7.9,11.9,3.9
2015/1/25,9.2,11.4,7.2
2015/1/26,10.6,13.0,8.8
2015/1/27,10.0,12.2,7.6
2015/1/28,7.3,10.4,4.8
2015/1/29,4.7,6.5,3.7
2015/1/30,5.7,8.5,3.2
2015/1/31,5.6,8.2,3.7
2015/2/1,5.9,9.6,4.2
2015/2/2,6.1,10.3,2.9
2015/2/3,7.1,10.6,4.3
2015/2/4,6.6,7.5,5.7
2015/2/5,5.5,7.4,3.2
2015/2/6,6.1,9.8,2.9
2015/2/7,6.7,10.2,4.5
2015/2/8,5.2,8.3,1.6
2015/2/9,1.8,4.4,0.5
2015/2/10,6.6,9.2,4.1
2015/2/11,9.3,12.5,7.6
2015/2/12,8.2,12.1,5.6
2015/2/13,5.7,7.6,4.3
2015/2/14,8.0,11.0,4.5
2015/2/15,10.0,13.5,7.1
2015/2/16,8.4,9.4,7.5
2015/2/17,10.2,12.1,8.6
2015/2/18,7.4,9.6,5.2
2015/2/19,6.5,10.6,3.6
2015/2/20,7.4,11.9,4.8
2015/2/21,7.8,9.7,5.3
2015/2/22,10.9,12.7,9.3
2015/2/23,10.0,13.0,8.1
2015/2/24,9.4,13.7,6.8
2015/2/25,8.8,12.0,6.2
2015/2/26,10.2,13.7,8.3
2015/2/27,5.8,9.4,3.8
2015/2/28,7.1,10.0,4.2
2015/3/1,7.8,9.0,6.1
2015/3/2,8.2,11.2,5.8
2015/3/3,7.1,10.1,5.3
2015/3/4,7.4,10.1,5.7
2015/3/5,6.8,9.4,4.8
2015/3/6,6.5,8.6,4.8
2015/3/7,8.8,12.7,5.8
2015/3/8,10.0,15.1,5.2
2015/3/9,9.7,12.2,7.6
2015/3/10,3.4,7.8,1.2
2015/3/11,6.4,8.9,3.9
2015/3/12,8.2,10.6,6.3
2015/3/13,10.0,15.4,4.9
2015/3/14,10.5,14.2,8.5
2015/3/15,10.2,13.7,7.7
2015/3/16,11.8,17.5,9.5
2015/3/17,12.9,18.1,9.2
2015/3/18,13.5,15.9,11.8
2015/3/19,13.2,15.0,12.3
2015/3/20,13.3,16.6,11.1
2015/3/21,13.4,17.4,10.2
2015/3/22,13.7,17.5,10.1
2015/3/23,11.3,14.4,8.6
2015/3/24,8.6,12.6,5.9
2015/3/25,8.8,14.0,4.4
2015/3/26,10.0,16.5,4.6
2015/3/27,11.4,16.9,6.6
2015/3/28,14.8,19.7,10.2
2015/3/29,15.2,18.8,12.5
2015/3/30,15.3,21.4,10.8
2015/3/31,14.6,18.5,11.8
2015/4/1,15.0,16.7,13.5
2015/4/2,15.5,18.2,11.8
2015/4/3,18.1,23.7,14.9
2015/4/4,15.5,18.9,14.1
2015/4/5,15.3,16.6,14.6
2015/4/6,14.1,15.6,12.1
2015/4/7,12.6,17.7,10.4
2015/4/8,11.1,15.1,8.9
2015/4/9,11.8,16.5,7.8
2015/4/10,11.9,13.2,10.5
2015/4/11,14.5,20.1,11.2
2015/4/12,13.4,17.0,10.3
2015/4/13,12.8,13.7,12.3
2015/4/14,12.2,16.0,9.6
2015/4/15,13.7,17.8,8.8
2015/4/16,17.6,21.8,12.7
2015/4/17,14.5,17.8,11.1
2015/4/18,14.5,19.0,9.8
2015/4/19,15.7,17.8,14.5
2015/4/20,14.9,18.3,12.7
2015/4/21,14.2,18.1,12.0
2015/4/22,15.3,19.8,10.9
2015/4/23,16.9,23.1,13.0
2015/4/24,16.6,20.5,12.2
2015/4/25,16.5,19.6,14.6
2015/4/26,17.7,24.3,12.5
2015/4/27,19.0,26.4,13.4
2015/4/28,18.2,20.8,15.2
2015/4/29,19.4,23.0,17.2
2015/4/30,17.5,19.1,16.7
2015/5/1,20.1,25.3,16.7
