ダウンロードした時刻：2017/07/24 15:45:29

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,8.2,11.7,2.4
1996/1/2,5.1,11.0,0.1
1996/1/3,7.0,13.7,1.8
1996/1/4,3.8,7.3,0.3
1996/1/5,5.1,10.8,0.2
1996/1/6,7.7,12.1,2.5
1996/1/7,8.7,13.7,3.8
1996/1/8,7.2,11.9,1.2
1996/1/9,1.6,4.3,0.0
1996/1/10,5.2,7.8,2.1
1996/1/11,4.8,10.5,0.0
1996/1/12,5.6,11.8,0.6
1996/1/13,5.7,12.6,-0.7
1996/1/14,9.5,17.1,4.5
1996/1/15,12.5,16.9,8.8
1996/1/16,9.4,12.1,3.5
1996/1/17,5.6,9.4,1.2
1996/1/18,6.2,9.4,4.1
1996/1/19,5.7,10.5,1.5
1996/1/20,7.5,11.2,4.6
1996/1/21,6.1,10.5,2.0
1996/1/22,5.9,9.4,2.8
1996/1/23,6.4,10.6,2.1
1996/1/24,4.2,6.9,0.3
1996/1/25,2.9,6.3,-0.9
1996/1/26,2.6,6.7,0.1
1996/1/27,2.9,7.8,-1.3
1996/1/28,4.4,8.7,0.0
1996/1/29,7.1,10.7,2.6
1996/1/30,4.8,7.2,2.2
1996/1/31,3.7,6.1,2.0
1996/2/1,2.9,4.8,1.1
1996/2/2,0.4,2.3,-2.4
1996/2/3,2.9,6.1,0.3
1996/2/4,3.8,8.7,-0.4
1996/2/5,4.5,8.8,1.4
1996/2/6,2.1,5.5,0.1
1996/2/7,3.1,7.3,-0.2
1996/2/8,6.0,12.3,-0.5
1996/2/9,4.7,7.3,1.3
1996/2/10,1.9,5.1,-0.1
1996/2/11,2.4,8.5,-2.8
1996/2/12,8.2,14.8,0.8
1996/2/13,12.0,17.7,6.8
1996/2/14,14.4,21.7,7.4
1996/2/15,12.3,17.3,6.4
1996/2/16,7.3,12.4,3.5
1996/2/17,4.4,5.9,2.8
1996/2/18,4.2,9.6,0.6
1996/2/19,4.0,8.4,1.2
1996/2/20,4.2,8.3,1.1
1996/2/21,4.2,7.5,0.7
1996/2/22,2.9,7.5,-1.6
1996/2/23,4.3,8.6,-0.6
1996/2/24,5.5,10.7,-0.2
1996/2/25,4.5,6.5,2.6
1996/2/26,5.6,10.2,0.1
1996/2/27,6.5,10.0,1.4
1996/2/28,5.1,11.4,0.2
1996/2/29,6.8,11.8,1.8
1996/3/1,7.2,11.2,2.0
1996/3/2,5.8,10.3,1.1
1996/3/3,6.2,10.6,0.7
1996/3/4,7.6,12.1,2.6
1996/3/5,4.5,8.1,1.4
1996/3/6,4.4,9.6,-1.4
1996/3/7,6.8,8.5,2.5
1996/3/8,9.6,12.9,4.9
1996/3/9,7.2,10.8,4.5
1996/3/10,6.3,10.2,3.6
1996/3/11,6.6,11.7,3.2
1996/3/12,5.2,8.7,0.8
1996/3/13,7.4,12.9,1.8
1996/3/14,9.7,14.7,3.6
1996/3/15,9.0,14.0,5.3
1996/3/16,8.9,14.1,2.6
1996/3/17,14.7,21.3,9.1
1996/3/18,9.4,11.5,4.2
1996/3/19,7.1,12.1,1.9
1996/3/20,9.4,14.5,6.2
1996/3/21,11.1,17.2,6.4
1996/3/22,11.4,15.6,7.8
1996/3/23,9.0,12.8,6.7
1996/3/24,6.6,8.8,3.6
1996/3/25,9.6,14.8,6.2
1996/3/26,11.3,17.2,6.2
1996/3/27,10.2,12.7,8.0
1996/3/28,11.9,15.7,7.9
1996/3/29,9.6,10.6,8.4
1996/3/30,14.1,22.4,9.2
1996/3/31,12.3,15.1,9.7
1996/4/1,10.3,11.9,7.0
1996/4/2,6.4,10.6,2.8
1996/4/3,5.5,9.1,1.5
1996/4/4,6.8,11.9,1.7
1996/4/5,8.7,14.9,2.5
1996/4/6,11.1,16.6,4.3
1996/4/7,12.4,16.6,9.6
1996/4/8,11.7,16.2,7.3
1996/4/9,10.7,15.4,5.3
1996/4/10,9.5,14.9,5.4
1996/4/11,8.2,13.8,3.0
1996/4/12,7.6,12.3,2.0
1996/4/13,8.3,14.4,2.5
1996/4/14,9.3,13.7,4.9
1996/4/15,11.7,15.2,7.9
1996/4/16,11.1,13.2,8.7
1996/4/17,13.4,22.0,7.0
1996/4/18,13.8,16.4,11.3
1996/4/19,9.8,12.7,8.1
1996/4/20,10.5,15.6,7.4
1996/4/21,9.6,15.4,4.1
1996/4/22,11.6,17.2,5.3
1996/4/23,14.3,19.9,7.9
1996/4/24,15.6,20.6,9.5
1996/4/25,15.9,20.9,10.6
1996/4/26,17.0,21.8,12.7
1996/4/27,18.1,23.5,12.2
1996/4/28,19.2,24.5,12.9
1996/4/29,18.5,22.2,15.7
1996/4/30,17.6,21.4,13.4
1996/5/1,17.8,21.3,14.8
