ダウンロードした時刻：2017/07/24 15:36:47

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,-2.2,1.7,-8.0
1988/1/2,3.3,5.4,0.6
1988/1/3,0.5,3.2,-0.9
1988/1/4,-0.1,2.1,-3.1
1988/1/5,-0.9,0.5,-2.3
1988/1/6,-1.6,0.9,-5.4
1988/1/7,-1.9,0.4,-7.4
1988/1/8,1.1,5.5,-0.5
1988/1/9,-0.7,1.4,-3.3
1988/1/10,-3.5,-1.8,-4.3
1988/1/11,-1.4,0.7,-3.7
1988/1/12,1.2,5.0,-2.6
1988/1/13,-0.1,3.6,-3.9
1988/1/14,2.1,5.9,0.0
1988/1/15,4.3,7.8,1.4
1988/1/16,0.6,3.1,-1.5
1988/1/17,-0.5,1.9,-3.7
1988/1/18,-2.4,-0.2,-4.5
1988/1/19,-1.0,2.2,-6.0
1988/1/20,-2.5,3.6,-9.5
1988/1/21,3.6,8.1,-4.7
1988/1/22,5.0,11.8,2.0
1988/1/23,1.1,7.8,-2.6
1988/1/24,-3.2,-2.0,-4.2
1988/1/25,-1.9,1.0,-4.0
1988/1/26,-1.7,0.9,-3.3
1988/1/27,-2.6,-0.3,-5.6
1988/1/28,-1.7,1.6,-4.2
1988/1/29,-0.8,2.7,-3.4
1988/1/30,-2.3,-0.9,-2.8
1988/1/31,-1.8,-0.5,-3.2
1988/2/1,-3.9,0.5,-9.9
1988/2/2,-2.7,4.9,-9.0
1988/2/3,-6.2,-4.2,-7.5
1988/2/4,-3.0,-0.3,-6.8
1988/2/5,0.8,6.6,-2.4
1988/2/6,0.8,3.9,-2.2
1988/2/7,-3.8,-1.5,-5.4
1988/2/8,-2.8,-0.5,-4.9
1988/2/9,-1.7,1.2,-3.3
1988/2/10,-3.6,-0.9,-8.0
1988/2/11,-3.6,-0.6,-7.3
1988/2/12,-3.0,0.7,-8.8
1988/2/13,-1.6,1.0,-2.7
1988/2/14,-4.6,-1.7,-6.0
1988/2/15,-5.6,-2.9,-10.8
1988/2/16,-5.1,-2.8,-7.3
1988/2/17,-4.6,-2.5,-9.3
1988/2/18,-3.8,-0.1,-8.2
1988/2/19,-3.4,-1.8,-5.6
1988/2/20,-1.1,1.3,-2.7
1988/2/21,-5.1,-2.1,-10.0
1988/2/22,-6.0,0.0,-13.0
1988/2/23,-2.8,1.5,-9.4
1988/2/24,-1.0,1.4,-3.7
1988/2/25,-1.4,2.0,-4.6
1988/2/26,-1.3,2.2,-5.3
1988/2/27,-1.7,1.3,-4.8
1988/2/28,-1.6,1.8,-3.9
1988/2/29,-0.3,2.3,-2.7
1988/3/1,0.2,1.9,-1.4
1988/3/2,1.9,3.4,0.4
1988/3/3,0.0,2.2,-1.8
1988/3/4,-1.3,1.5,-3.9
1988/3/5,-0.6,3.4,-4.2
1988/3/6,-1.0,2.0,-5.4
1988/3/7,-1.0,1.5,-4.0
1988/3/8,-1.8,0.4,-3.4
1988/3/9,-2.5,0.4,-6.2
1988/3/10,-0.9,4.0,-7.0
1988/3/11,0.3,7.4,-8.9
1988/3/12,3.4,7.3,0.8
1988/3/13,4.8,9.8,-0.9
1988/3/14,3.7,11.9,-3.3
1988/3/15,0.1,3.8,-5.8
1988/3/16,-0.4,2.1,-6.3
1988/3/17,2.3,6.0,-0.3
1988/3/18,2.1,4.1,0.3
1988/3/19,2.8,5.3,-1.1
1988/3/20,1.4,4.3,-2.0
1988/3/21,2.4,7.8,-4.5
1988/3/22,4.7,7.8,2.7
1988/3/23,3.5,6.2,1.7
1988/3/24,0.9,3.0,-2.2
1988/3/25,1.4,7.0,-5.4
1988/3/26,2.3,6.8,-3.9
1988/3/27,2.2,6.4,-0.1
1988/3/28,3.0,7.8,-2.5
1988/3/29,4.8,10.8,-1.8
1988/3/30,3.5,8.4,-1.4
1988/3/31,2.6,6.4,-1.2
1988/4/1,2.5,8.7,-4.7
1988/4/2,3.9,11.2,-2.1
1988/4/3,5.7,14.2,-1.4
1988/4/4,4.5,11.8,-1.3
1988/4/5,5.7,12.5,-0.1
1988/4/6,5.4,8.1,2.5
1988/4/7,5.2,8.9,1.9
1988/4/8,1.9,4.5,0.3
1988/4/9,2.5,9.4,-2.6
1988/4/10,3.3,9.5,-2.8
1988/4/11,6.5,16.0,0.2
1988/4/12,9.5,17.6,0.2
1988/4/13,10.2,14.0,7.2
1988/4/14,9.6,19.4,4.7
1988/4/15,2.2,8.7,0.6
1988/4/16,5.0,10.6,-0.7
1988/4/17,7.9,19.2,-2.6
1988/4/18,11.2,19.4,1.0
1988/4/19,10.4,14.9,5.3
1988/4/20,9.8,14.6,5.7
1988/4/21,10.4,17.6,4.4
1988/4/22,8.0,11.1,6.5
1988/4/23,8.5,12.5,5.4
1988/4/24,5.8,9.0,3.7
1988/4/25,6.9,9.9,2.9
1988/4/26,12.1,19.5,5.2
1988/4/27,14.6,22.5,7.4
1988/4/28,15.1,25.3,4.2
1988/4/29,13.3,17.8,7.6
1988/4/30,12.2,15.6,7.7
1988/5/1,16.5,27.5,6.5
