ダウンロードした時刻：2017/07/24 15:46:25

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.8,8.4,2.3
1984/1/2,6.5,10.1,3.3
1984/1/3,5.4,9.3,2.1
1984/1/4,2.2,5.4,0.5
1984/1/5,0.6,4.9,-1.9
1984/1/6,1.9,5.8,-2.8
1984/1/7,2.9,6.4,-0.6
1984/1/8,4.7,7.4,0.5
1984/1/9,5.8,8.3,3.7
1984/1/10,8.7,12.6,3.5
1984/1/11,3.7,7.5,-1.3
1984/1/12,2.6,9.2,-2.5
1984/1/13,3.8,8.5,-0.9
1984/1/14,5.1,9.3,-1.1
1984/1/15,4.3,9.6,-0.9
1984/1/16,-1.7,1.7,-4.0
1984/1/17,-0.5,4.7,-3.0
1984/1/18,0.0,2.4,-4.1
1984/1/19,2.9,6.7,0.7
1984/1/20,4.2,8.4,2.0
1984/1/21,3.3,7.8,0.0
1984/1/22,1.2,4.9,-2.5
1984/1/23,1.0,5.3,-2.6
1984/1/24,1.9,6.3,-2.0
1984/1/25,0.5,4.2,-1.9
1984/1/26,-0.9,3.4,-3.3
1984/1/27,-0.6,3.8,-3.3
1984/1/28,0.0,4.0,-2.2
1984/1/29,1.6,5.8,-3.0
1984/1/30,5.2,6.9,2.9
1984/1/31,4.5,9.1,1.3
1984/2/1,4.9,10.4,-1.0
1984/2/2,2.4,7.1,-1.8
1984/2/3,-1.1,2.8,-4.5
1984/2/4,0.9,4.7,-2.0
1984/2/5,2.5,7.3,-2.9
1984/2/6,-1.8,3.4,-3.7
1984/2/7,-2.0,1.0,-4.9
1984/2/8,-0.1,3.2,-3.4
1984/2/9,-0.5,3.5,-3.9
1984/2/10,2.5,7.4,-3.9
1984/2/11,4.8,9.9,0.5
1984/2/12,6.9,9.0,1.4
1984/2/13,5.1,9.4,0.9
1984/2/14,3.7,7.7,-0.8
1984/2/15,4.6,7.4,-0.7
1984/2/16,3.6,8.3,-2.0
1984/2/17,4.0,8.5,2.0
1984/2/18,4.5,9.4,0.2
1984/2/19,4.5,10.7,0.2
1984/2/20,5.7,11.8,0.7
1984/2/21,5.6,11.8,0.8
1984/2/22,7.4,9.0,2.6
1984/2/23,8.8,11.5,7.2
1984/2/24,7.8,9.6,6.5
1984/2/25,7.4,9.2,5.9
1984/2/26,5.6,8.6,2.2
1984/2/27,2.1,5.1,-0.6
1984/2/28,2.1,6.0,-1.2
1984/2/29,0.8,4.6,-2.6
1984/3/1,2.8,6.9,-2.7
1984/3/2,5.0,8.8,1.9
1984/3/3,3.3,7.4,0.9
1984/3/4,1.6,4.9,-1.0
1984/3/5,3.5,9.3,-1.7
1984/3/6,4.7,9.8,0.3
1984/3/7,3.6,8.3,-0.4
1984/3/8,4.9,9.7,1.1
1984/3/9,5.9,10.9,0.7
1984/3/10,5.6,8.7,2.6
1984/3/11,5.5,9.5,1.2
1984/3/12,10.7,13.9,8.4
1984/3/13,8.3,9.6,7.5
1984/3/14,7.2,9.2,4.8
1984/3/15,8.0,9.3,6.3
1984/3/16,8.9,13.3,6.3
1984/3/17,7.9,11.4,3.9
1984/3/18,8.0,11.3,4.2
1984/3/19,6.3,7.9,5.3
1984/3/20,7.4,12.9,3.4
1984/3/21,4.0,8.4,0.7
1984/3/22,4.4,7.7,0.6
1984/3/23,6.0,12.1,-0.1
1984/3/24,9.7,15.2,3.6
1984/3/25,9.4,14.3,3.9
1984/3/26,7.6,11.6,2.7
1984/3/27,9.4,13.9,2.2
1984/3/28,10.9,15.7,8.0
1984/3/29,13.0,18.4,9.1
1984/3/30,14.0,19.0,8.3
1984/3/31,9.3,14.7,8.7
1984/4/1,9.1,11.2,8.1
1984/4/2,9.0,12.3,6.9
1984/4/3,11.2,14.2,5.7
1984/4/4,12.1,13.1,10.3
1984/4/5,12.3,14.5,8.7
1984/4/6,9.0,13.4,5.1
1984/4/7,8.1,13.3,3.2
1984/4/8,9.8,13.3,4.4
1984/4/9,10.3,13.2,9.1
1984/4/10,11.1,12.4,9.3
1984/4/11,12.3,18.6,7.4
1984/4/12,10.5,14.2,7.3
1984/4/13,11.9,16.4,6.7
1984/4/14,11.7,16.5,7.3
1984/4/15,15.2,19.0,7.6
1984/4/16,18.8,20.9,17.4
1984/4/17,19.4,21.4,17.7
1984/4/18,15.3,20.5,9.3
1984/4/19,9.3,10.2,8.6
1984/4/20,11.3,14.5,8.8
1984/4/21,10.6,12.8,9.8
1984/4/22,11.2,15.9,6.7
1984/4/23,12.4,17.9,6.5
1984/4/24,14.2,22.3,6.6
1984/4/25,15.6,19.7,11.4
1984/4/26,15.9,20.1,12.8
1984/4/27,15.1,20.2,10.9
1984/4/28,15.3,20.5,10.7
1984/4/29,15.1,17.7,12.8
1984/4/30,13.4,15.0,12.5
1984/5/1,13.3,17.7,8.8
