ダウンロードした時刻：2017/07/24 15:42:38

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,6.8,11.3,2.1
1995/1/2,5.6,9.5,2.9
1995/1/3,10.7,14.2,4.6
1995/1/4,15.4,17.6,12.5
1995/1/5,10.2,12.9,6.8
1995/1/6,7.1,8.9,4.1
1995/1/7,8.0,10.8,5.0
1995/1/8,9.1,12.4,6.5
1995/1/9,13.3,15.5,7.1
1995/1/10,9.7,14.0,6.9
1995/1/11,7.8,10.6,5.9
1995/1/12,8.2,11.1,5.2
1995/1/13,6.8,9.1,4.8
1995/1/14,5.4,9.9,1.7
1995/1/15,4.7,8.3,-1.7
1995/1/16,5.2,8.4,3.1
1995/1/17,4.8,8.0,2.7
1995/1/18,6.4,10.2,1.4
1995/1/19,7.3,10.3,5.0
1995/1/20,4.9,9.7,0.9
1995/1/21,8.5,13.3,1.8
1995/1/22,8.3,11.4,6.8
1995/1/23,10.5,15.4,7.3
1995/1/24,9.8,12.5,6.8
1995/1/25,6.9,10.2,5.0
1995/1/26,7.5,10.8,4.2
1995/1/27,6.0,10.0,2.5
1995/1/28,7.3,12.1,1.0
1995/1/29,7.9,11.5,1.7
1995/1/30,5.3,7.5,3.8
1995/1/31,4.8,8.3,2.7
1995/2/1,4.6,9.4,-1.3
1995/2/2,5.5,8.5,1.4
1995/2/3,6.7,9.1,4.2
1995/2/4,5.7,7.2,4.2
1995/2/5,3.9,5.0,2.8
1995/2/6,5.8,10.4,0.3
1995/2/7,6.3,11.5,1.0
1995/2/8,8.3,13.0,2.7
1995/2/9,8.2,14.0,4.3
1995/2/10,7.2,10.3,4.5
1995/2/11,6.3,10.3,3.4
1995/2/12,10.8,13.5,7.1
1995/2/13,10.6,14.1,7.3
1995/2/14,9.0,11.4,7.1
1995/2/15,8.9,11.5,6.2
1995/2/16,7.5,11.4,2.3
1995/2/17,5.8,10.2,2.1
1995/2/18,6.8,11.1,3.7
1995/2/19,7.1,11.8,3.6
1995/2/20,7.3,9.7,5.2
1995/2/21,6.7,11.3,2.0
1995/2/22,6.3,12.0,0.3
1995/2/23,7.8,11.8,4.7
1995/2/24,8.4,10.8,3.2
1995/2/25,4.7,7.3,3.4
1995/2/26,4.8,6.3,3.5
1995/2/27,7.8,14.0,1.3
1995/2/28,7.9,10.6,6.4
1995/3/1,8.5,13.3,4.1
1995/3/2,8.6,10.7,5.8
1995/3/3,6.7,9.9,5.0
1995/3/4,4.8,6.4,3.7
1995/3/5,6.4,10.6,2.6
1995/3/6,7.0,11.9,2.1
1995/3/7,8.7,13.2,4.7
1995/3/8,10.6,15.6,4.2
1995/3/9,9.9,13.9,5.9
1995/3/10,9.1,11.9,7.2
1995/3/11,10.6,14.5,7.0
1995/3/12,9.0,12.4,6.2
1995/3/13,7.5,12.6,4.6
1995/3/14,8.1,11.0,4.1
1995/3/15,9.5,11.7,7.2
1995/3/16,12.5,16.0,9.5
1995/3/17,15.4,17.2,12.5
1995/3/18,8.6,15.1,5.5
1995/3/19,8.7,12.3,5.0
1995/3/20,8.5,13.3,4.5
1995/3/21,11.9,15.7,4.5
1995/3/22,14.8,18.1,11.8
1995/3/23,12.1,14.4,10.5
1995/3/24,11.7,13.3,10.4
1995/3/25,9.1,13.6,4.5
1995/3/26,4.4,5.9,3.3
1995/3/27,9.8,14.6,3.2
1995/3/28,10.6,13.4,7.4
1995/3/29,9.0,12.6,5.4
1995/3/30,11.8,14.9,9.1
1995/3/31,14.6,18.3,11.7
1995/4/1,13.7,17.0,9.1
1995/4/2,10.3,13.1,7.5
1995/4/3,8.6,12.9,4.1
1995/4/4,10.3,14.5,3.7
1995/4/5,12.1,17.3,5.4
1995/4/6,13.5,16.6,11.6
1995/4/7,14.7,19.4,11.5
1995/4/8,13.8,17.4,10.2
1995/4/9,15.4,20.4,11.9
1995/4/10,14.5,18.6,11.4
1995/4/11,12.0,14.2,9.1
1995/4/12,13.2,18.2,8.4
1995/4/13,11.8,17.3,6.5
1995/4/14,12.5,14.8,8.5
1995/4/15,14.2,18.4,11.3
1995/4/16,12.5,13.9,11.2
1995/4/17,15.7,21.1,12.3
1995/4/18,14.5,16.3,12.1
1995/4/19,17.1,21.3,12.1
1995/4/20,13.2,17.8,9.4
1995/4/21,15.1,19.6,10.0
1995/4/22,17.6,20.0,14.3
1995/4/23,19.5,20.1,17.3
1995/4/24,16.6,19.4,13.8
1995/4/25,15.0,16.9,14.1
1995/4/26,15.9,19.1,9.2
1995/4/27,14.9,19.7,7.2
1995/4/28,17.3,20.6,13.6
1995/4/29,15.5,18.1,12.9
1995/4/30,17.1,20.2,15.2
1995/5/1,15.5,16.6,14.9
