ダウンロードした時刻：2017/07/24 15:40:01

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,2.9,9.0,-2.3
1984/1/2,3.5,10.8,-0.7
1984/1/3,2.5,7.2,-1.0
1984/1/4,3.9,8.3,0.5
1984/1/5,1.1,6.0,-3.2
1984/1/6,2.0,7.1,-1.5
1984/1/7,1.2,6.4,-2.5
1984/1/8,0.5,7.5,-5.1
1984/1/9,2.3,10.2,-3.4
1984/1/10,4.3,10.5,-2.2
1984/1/11,2.4,6.9,-1.3
1984/1/12,0.4,5.5,-3.2
1984/1/13,1.4,8.2,-5.0
1984/1/14,2.6,8.6,-1.7
1984/1/15,5.1,12.4,-1.0
1984/1/16,-0.1,4.7,-3.8
1984/1/17,-1.0,5.4,-5.0
1984/1/18,0.4,6.1,-5.2
1984/1/19,-0.7,0.5,-1.9
1984/1/20,-0.8,3.1,-3.7
1984/1/21,-0.8,4.5,-5.6
1984/1/22,1.8,6.8,-0.6
1984/1/23,2.0,6.6,-1.5
1984/1/24,0.1,4.9,-3.2
1984/1/25,-0.7,4.4,-6.1
1984/1/26,-0.2,5.3,-4.6
1984/1/27,0.7,6.0,-2.2
1984/1/28,0.4,5.4,-4.2
1984/1/29,-0.1,5.1,-2.9
1984/1/30,0.2,6.3,-4.8
1984/1/31,-0.9,1.1,-2.8
1984/2/1,3.2,8.8,-1.3
1984/2/2,2.9,10.5,-3.0
1984/2/3,-0.2,4.5,-3.7
1984/2/4,-2.5,1.1,-5.5
1984/2/5,-1.8,3.6,-7.0
1984/2/6,-1.8,1.8,-5.5
1984/2/7,-3.6,0.6,-7.4
1984/2/8,-3.0,2.6,-7.7
1984/2/9,-1.6,3.3,-6.0
1984/2/10,-1.2,3.0,-4.7
1984/2/11,0.3,6.3,-5.1
1984/2/12,0.0,3.9,-4.5
1984/2/13,1.9,6.3,-0.4
1984/2/14,2.2,6.5,-2.9
1984/2/15,0.7,5.4,-2.5
1984/2/16,-1.1,3.4,-5.8
1984/2/17,-1.6,1.5,-3.1
1984/2/18,-0.5,3.4,-3.7
1984/2/19,0.3,4.5,-5.0
1984/2/20,0.2,5.9,-5.4
1984/2/21,3.0,8.7,-1.7
1984/2/22,3.7,9.0,-1.2
1984/2/23,1.1,5.3,-0.2
1984/2/24,3.8,7.9,1.0
1984/2/25,2.0,6.4,-1.7
1984/2/26,0.5,2.3,0.0
1984/2/27,2.8,7.3,-1.3
1984/2/28,0.0,4.4,-4.1
1984/2/29,-0.1,5.8,-4.3
1984/3/1,0.5,6.3,-6.7
1984/3/2,2.0,8.2,-5.0
1984/3/3,3.5,8.1,-1.7
1984/3/4,3.1,8.1,0.0
1984/3/5,1.8,9.2,-3.5
1984/3/6,1.9,9.5,-3.4
1984/3/7,2.5,9.1,-3.0
1984/3/8,2.6,9.2,-2.6
1984/3/9,3.6,9.0,-2.6
1984/3/10,2.3,5.0,0.8
1984/3/11,2.0,6.6,-1.5
1984/3/12,2.5,11.5,-3.7
1984/3/13,1.8,6.2,-2.6
1984/3/14,0.3,2.6,-1.2
1984/3/15,3.2,8.3,-3.3
1984/3/16,1.1,4.1,0.4
1984/3/17,4.6,11.8,-0.3
1984/3/18,4.4,10.2,-0.6
1984/3/19,1.5,3.9,0.1
1984/3/20,2.1,5.8,-0.1
1984/3/21,2.6,7.7,-0.9
1984/3/22,1.1,6.2,-2.0
1984/3/23,2.6,9.0,-4.2
1984/3/24,3.0,6.7,-1.9
1984/3/25,7.2,13.3,2.4
1984/3/26,4.6,8.9,1.1
1984/3/27,5.9,12.2,-1.5
1984/3/28,3.3,5.6,0.4
1984/3/29,7.5,16.5,-1.3
1984/3/30,10.4,18.0,2.3
1984/3/31,8.6,19.2,0.5
1984/4/1,2.7,4.2,0.5
1984/4/2,5.9,11.1,3.1
1984/4/3,5.3,9.0,2.6
1984/4/4,10.9,18.0,2.3
1984/4/5,10.7,14.8,7.7
1984/4/6,10.1,14.9,4.1
1984/4/7,7.6,14.0,3.2
1984/4/8,5.8,11.1,1.8
1984/4/9,6.4,10.5,-0.2
1984/4/10,9.1,12.3,5.3
1984/4/11,9.5,13.3,6.9
1984/4/12,9.8,15.2,5.3
1984/4/13,9.7,16.2,2.9
1984/4/14,9.6,16.4,4.5
1984/4/15,9.5,13.9,3.0
1984/4/16,10.1,13.7,7.4
1984/4/17,11.5,15.6,7.8
1984/4/18,15.5,24.1,6.8
1984/4/19,7.7,16.1,4.9
1984/4/20,11.8,20.0,5.3
1984/4/21,10.7,15.6,6.1
1984/4/22,10.6,14.5,7.5
1984/4/23,12.9,20.5,6.9
1984/4/24,12.9,21.1,3.6
1984/4/25,15.4,22.8,7.3
1984/4/26,16.3,22.5,10.3
1984/4/27,16.1,22.5,10.9
1984/4/28,15.7,23.5,9.4
1984/4/29,12.2,17.9,8.0
1984/4/30,12.9,17.9,8.7
1984/5/1,13.4,17.6,11.4
