ダウンロードした時刻：2017/07/24 15:41:27

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,6.8,10.9,2.6
1996/1/2,6.2,8.3,1.0
1996/1/3,10.5,15.0,4.0
1996/1/4,6.2,12.3,2.3
1996/1/5,5.5,9.3,1.1
1996/1/6,7.3,9.9,3.5
1996/1/7,6.7,11.1,1.1
1996/1/8,11.4,15.7,2.2
1996/1/9,2.1,4.5,0.3
1996/1/10,4.6,8.1,0.6
1996/1/11,6.8,10.1,4.1
1996/1/12,5.7,9.8,1.4
1996/1/13,6.5,9.3,2.6
1996/1/14,10.1,14.0,2.6
1996/1/15,15.2,18.6,13.7
1996/1/16,11.3,17.2,6.7
1996/1/17,6.3,7.4,4.8
1996/1/18,6.4,7.6,5.2
1996/1/19,3.8,5.2,1.8
1996/1/20,4.0,5.5,2.8
1996/1/21,5.3,8.8,1.6
1996/1/22,7.1,8.4,5.5
1996/1/23,6.4,8.5,3.9
1996/1/24,4.4,7.2,0.2
1996/1/25,3.2,6.5,-1.2
1996/1/26,3.0,6.2,-0.1
1996/1/27,2.9,5.7,-1.0
1996/1/28,4.9,9.6,-0.4
1996/1/29,6.1,10.9,1.9
1996/1/30,5.2,10.3,1.4
1996/1/31,2.5,6.1,-1.4
1996/2/1,2.8,6.3,0.0
1996/2/2,-0.1,3.7,-3.2
1996/2/3,3.2,8.0,-3.0
1996/2/4,4.1,7.2,0.0
1996/2/5,7.4,10.3,2.4
1996/2/6,4.8,9.0,1.8
1996/2/7,4.5,7.8,0.8
1996/2/8,5.7,7.0,4.4
1996/2/9,4.5,8.3,1.7
1996/2/10,2.7,5.7,-0.4
1996/2/11,4.4,9.0,-1.6
1996/2/12,7.6,12.7,1.9
1996/2/13,8.9,13.0,2.7
1996/2/14,12.2,17.5,5.0
1996/2/15,9.6,14.4,6.4
1996/2/16,2.8,6.5,1.0
1996/2/17,1.6,3.3,0.0
1996/2/18,2.5,3.7,1.4
1996/2/19,3.0,4.5,1.4
1996/2/20,2.0,4.1,-1.3
1996/2/21,3.6,5.0,1.2
1996/2/22,3.0,,-0.9
1996/2/23,5.3,7.4,3.0
1996/2/24,4.8,7.1,2.9
1996/2/25,6.8,8.8,2.4
1996/2/26,7.4,9.3,5.5
1996/2/27,8.0,10.4,5.0
1996/2/28,6.9,11.4,3.2
1996/2/29,8.4,12.0,3.1
1996/3/1,10.2,13.6,6.7
1996/3/2,6.2,9.8,2.3
1996/3/3,4.9,8.5,1.1
1996/3/4,7.1,10.5,2.0
1996/3/5,4.4,7.4,1.8
1996/3/6,4.2,7.0,-0.1
1996/3/7,7.4,9.8,3.5
1996/3/8,6.7,8.3,5.2
1996/3/9,7.4,9.8,4.5
1996/3/10,6.0,9.0,1.6
1996/3/11,7.7,11.6,4.7
1996/3/12,5.1,7.9,3.5
1996/3/13,7.7,10.7,4.5
1996/3/14,8.9,12.8,3.3
1996/3/15,9.8,15.4,6.0
1996/3/16,9.6,13.3,5.8
1996/3/17,12.4,15.8,10.7
1996/3/18,9.9,13.6,5.7
1996/3/19,7.1,9.9,5.2
1996/3/20,7.8,9.5,6.6
1996/3/21,11.3,13.6,9.2
1996/3/22,11.0,14.9,9.3
1996/3/23,9.1,12.2,6.5
1996/3/24,7.1,8.9,5.9
1996/3/25,9.2,11.7,6.3
1996/3/26,10.7,13.3,7.9
1996/3/27,11.7,13.6,7.0
1996/3/28,10.8,13.0,8.8
1996/3/29,9.4,11.5,7.7
1996/3/30,14.7,16.7,11.5
1996/3/31,15.3,17.8,12.5
1996/4/1,10.4,12.7,6.4
1996/4/2,6.1,7.6,4.7
1996/4/3,7.5,12.5,4.1
1996/4/4,7.8,11.3,3.5
1996/4/5,8.8,13.7,5.2
1996/4/6,10.8,16.4,4.9
1996/4/7,11.8,13.6,10.4
1996/4/8,11.4,14.0,9.5
1996/4/9,11.1,13.4,9.7
1996/4/10,10.6,12.6,9.5
1996/4/11,8.7,10.1,7.0
1996/4/12,7.0,11.0,3.5
1996/4/13,7.0,10.9,2.2
1996/4/14,11.1,15.3,4.5
1996/4/15,13.0,16.6,11.1
1996/4/16,11.9,13.4,8.7
1996/4/17,12.4,17.1,7.5
1996/4/18,12.9,17.6,10.0
1996/4/19,12.0,15.0,9.0
1996/4/20,8.8,10.5,7.7
1996/4/21,9.3,12.1,5.4
1996/4/22,9.6,11.2,8.4
1996/4/23,12.9,17.7,6.2
1996/4/24,15.4,19.8,12.0
1996/4/25,14.8,17.7,10.9
1996/4/26,14.1,17.5,11.9
1996/4/27,16.0,20.1,11.5
1996/4/28,15.9,18.5,12.5
1996/4/29,17.8,21.9,14.8
1996/4/30,16.8,19.7,14.8
1996/5/1,17.9,22.0,14.1
