ダウンロードした時刻：2017/07/24 15:37:30

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/1/1,-3.9,1.5,-9.0
2003/1/2,-3.1,1.9,-6.4
2003/1/3,-0.3,3.8,-6.1
2003/1/4,3.4,9.5,-1.0
2003/1/5,-1.8,0.5,-3.8
2003/1/6,-1.1,3.3,-5.1
2003/1/7,-0.4,3.9,-3.8
2003/1/8,-1.2,5.3,-6.6
2003/1/9,1.9,8.5,-4.3
2003/1/10,3.4,7.7,-1.2
2003/1/11,0.3,4.9,-3.5
2003/1/12,0.9,5.0,-2.9
2003/1/13,3.4,10.2,-3.8
2003/1/14,3.3,6.8,0.6
2003/1/15,-3.8,1.4,-8.5
2003/1/16,-0.9,3.9,-8.8
2003/1/17,3.5,8.9,-0.5
2003/1/18,-0.6,4.0,-4.5
2003/1/19,0.2,4.3,-2.7
2003/1/20,0.0,4.8,-2.9
2003/1/21,-1.5,3.1,-3.9
2003/1/22,-1.7,3.5,-7.2
2003/1/23,-0.7,2.2,-4.4
2003/1/24,0.5,3.8,-1.3
2003/1/25,0.7,3.8,-1.7
2003/1/26,0.2,3.4,-3.6
2003/1/27,1.8,6.1,-1.4
2003/1/28,4.6,8.3,1.8
2003/1/29,-0.4,4.0,-4.7
2003/1/30,-1.3,2.2,-4.7
2003/1/31,-0.2,3.7,-3.5
2003/2/1,-0.2,4.8,-5.1
2003/2/2,-0.4,5.0,-5.4
2003/2/3,-0.2,5.0,-4.2
2003/2/4,0.1,3.1,-2.5
2003/2/5,-1.1,3.5,-4.6
2003/2/6,-1.1,3.9,-4.2
2003/2/7,0.9,6.3,-6.1
2003/2/8,4.8,10.8,-0.2
2003/2/9,3.8,6.6,1.0
2003/2/10,3.2,11.0,-0.4
2003/2/11,1.1,2.4,-0.5
2003/2/12,-0.4,3.0,-3.5
2003/2/13,-0.8,2.9,-4.1
2003/2/14,0.0,5.4,-4.6
2003/2/15,0.4,5.7,-2.7
2003/2/16,0.8,4.8,-2.5
2003/2/17,2.0,7.5,-1.7
2003/2/18,-0.2,4.3,-3.1
2003/2/19,-0.7,3.6,-5.1
2003/2/20,0.7,2.4,-0.5
2003/2/21,-1.3,0.5,-2.9
2003/2/22,-0.7,4.5,-5.6
2003/2/23,-1.3,0.6,-4.6
2003/2/24,-2.9,1.1,-7.4
2003/2/25,-1.0,2.4,-5.7
2003/2/26,0.1,3.8,-4.8
2003/2/27,-1.0,1.3,-3.2
2003/2/28,0.2,5.2,-5.4
2003/3/1,2.7,8.2,-2.3
2003/3/2,4.1,9.2,1.1
2003/3/3,5.1,10.4,-0.4
2003/3/4,-0.1,3.1,-2.2
2003/3/5,0.8,5.8,-4.8
2003/3/6,1.1,6.4,-3.8
2003/3/7,2.5,5.0,0.0
2003/3/8,-0.1,0.8,-0.7
2003/3/9,-0.9,1.7,-3.4
2003/3/10,-3.5,-0.1,-7.1
2003/3/11,-2.4,1.5,-8.5
2003/3/12,-0.4,4.5,-7.1
2003/3/13,0.8,6.0,-4.9
2003/3/14,1.9,7.8,-4.4
2003/3/15,1.6,6.3,-1.8
2003/3/16,3.7,10.3,-2.9
2003/3/17,1.0,2.6,-1.8
2003/3/18,1.2,6.0,-3.5
2003/3/19,1.8,8.3,-3.4
2003/3/20,0.1,4.4,-2.7
2003/3/21,0.2,4.9,-4.7
2003/3/22,3.0,10.8,-3.9
2003/3/23,4.4,11.4,-2.5
2003/3/24,4.6,8.9,-0.7
2003/3/25,7.5,15.0,1.6
2003/3/26,3.9,8.0,0.5
2003/3/27,5.9,13.8,0.2
2003/3/28,7.9,11.8,4.4
2003/3/29,5.2,10.5,0.9
2003/3/30,6.1,11.3,-0.1
2003/3/31,4.8,6.7,2.5
2003/4/1,4.2,7.5,0.9
2003/4/2,4.0,8.7,-0.5
2003/4/3,3.1,8.0,-0.6
2003/4/4,5.1,12.4,-1.5
2003/4/5,4.0,5.4,2.6
2003/4/6,7.3,13.6,2.5
2003/4/7,11.5,18.0,6.2
2003/4/8,12.5,18.0,8.0
2003/4/9,4.7,11.2,1.5
2003/4/10,5.6,11.3,-1.0
2003/4/11,10.4,16.9,4.6
2003/4/12,13.4,18.0,9.3
2003/4/13,13.7,18.5,9.7
2003/4/14,9.1,16.3,4.5
2003/4/15,9.2,15.6,3.4
2003/4/16,10.8,17.3,4.8
2003/4/17,17.8,25.4,7.0
2003/4/18,12.7,16.4,9.9
2003/4/19,11.8,22.9,4.3
2003/4/20,5.1,6.4,4.5
2003/4/21,4.7,8.9,1.5
2003/4/22,6.1,11.4,1.0
2003/4/23,9.8,11.7,4.4
2003/4/24,9.9,12.9,7.6
2003/4/25,9.4,12.3,7.0
2003/4/26,8.4,11.7,6.8
2003/4/27,9.5,14.6,5.0
2003/4/28,13.1,25.6,5.4
2003/4/29,17.3,25.4,10.7
2003/4/30,13.9,20.9,6.6
2003/5/1,8.1,13.3,3.8
