É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:23

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2007/1/1,3.0,8.1,-2.4
2007/1/2,5.2,8.8,0.4
2007/1/3,7.7,11.8,5.3
2007/1/4,5.7,11.7,1.6
2007/1/5,4.0,9.7,-1.9
2007/1/6,4.0,6.2,2.5
2007/1/7,6.8,10.1,2.8
2007/1/8,6.0,11.2,1.8
2007/1/9,4.5,9.8,-0.2
2007/1/10,4.9,12.0,-1.3
2007/1/11,5.8,10.7,1.8
2007/1/12,3.3,8.0,0.0
2007/1/13,4.6,10.7,-0.7
2007/1/14,4.6,9.8,0.6
2007/1/15,5.0,11.7,0.4
2007/1/16,4.8,11.5,-1.3
2007/1/17,4.4,6.2,1.4
2007/1/18,6.8,11.5,2.5
2007/1/19,5.5,9.7,2.4
2007/1/20,3.1,7.0,-1.5
2007/1/21,4.7,9.5,-1.5
2007/1/22,6.5,11.8,2.7
2007/1/23,6.7,11.3,4.1
2007/1/24,6.1,11.6,1.7
2007/1/25,5.9,11.4,1.8
2007/1/26,6.0,11.8,-0.1
2007/1/27,8.1,15.8,1.4
2007/1/28,7.4,12.1,1.2
2007/1/29,7.0,11.3,3.5
2007/1/30,6.1,13.0,-0.6
2007/1/31,7.6,16.0,1.3
2007/2/1,6.0,13.3,1.5
2007/2/2,4.3,9.8,0.1
2007/2/3,5.0,11.7,-0.3
2007/2/4,5.3,9.0,0.4
2007/2/5,5.0,12.0,-2.6
2007/2/6,10.1,19.1,2.5
2007/2/7,9.0,13.7,5.0
2007/2/8,8.2,14.3,1.9
2007/2/9,8.5,14.5,1.7
2007/2/10,8.9,13.8,4.8
2007/2/11,7.0,12.2,2.9
2007/2/12,6.5,13.4,-0.3
2007/2/13,7.3,13.5,0.3
2007/2/14,7.9,9.6,6.7
2007/2/15,8.1,13.8,3.4
2007/2/16,6.5,11.5,2.5
2007/2/17,5.3,10.5,-1.3
2007/2/18,6.6,11.3,4.3
2007/2/19,8.6,14.5,5.2
2007/2/20,5.7,8.4,2.1
2007/2/21,8.5,16.4,1.6
2007/2/22,8.8,16.0,0.3
2007/2/23,9.6,13.4,6.9
2007/2/24,5.3,9.5,0.5
2007/2/25,2.9,7.6,-2.5
2007/2/26,4.1,10.7,-2.0
2007/2/27,6.5,14.2,-1.5
2007/2/28,8.6,14.2,4.8
2007/3/1,8.6,15.5,4.1
2007/3/2,7.2,14.5,-0.8
2007/3/3,10.0,16.2,2.4
2007/3/4,13.5,20.7,7.3
2007/3/5,13.8,20.4,11.0
2007/3/6,12.1,18.8,4.2
2007/3/7,6.4,12.3,1.7
2007/3/8,5.9,12.1,-1.1
2007/3/9,7.2,13.4,1.2
2007/3/10,9.0,14.2,3.6
2007/3/11,7.4,12.0,2.2
2007/3/12,5.9,12.6,-0.4
2007/3/13,6.7,13.0,1.6
2007/3/14,6.3,11.7,2.2
2007/3/15,6.9,11.9,0.9
2007/3/16,7.2,14.5,2.1
2007/3/17,6.3,13.0,2.2
2007/3/18,4.6,10.9,0.4
2007/3/19,6.1,11.7,0.0
2007/3/20,6.8,12.8,2.1
2007/3/21,8.5,14.5,1.8
2007/3/22,10.4,16.7,5.8
2007/3/23,11.9,19.2,4.2
2007/3/24,11.0,13.9,6.5
2007/3/25,13.2,18.7,9.7
2007/3/26,14.3,21.1,8.6
2007/3/27,10.4,13.8,6.5
2007/3/28,14.6,22.4,7.4
2007/3/29,16.6,25.4,8.7
2007/3/30,11.7,19.9,8.2
2007/3/31,9.1,14.0,4.5
2007/4/1,15.4,23.9,7.0
2007/4/2,12.6,14.4,10.1
2007/4/3,7.8,10.2,6.2
2007/4/4,6.7,12.1,3.8
2007/4/5,8.4,14.6,2.8
2007/4/6,9.3,15.3,2.8
2007/4/7,12.4,19.1,6.5
2007/4/8,13.1,19.3,8.9
2007/4/9,12.0,17.9,8.6
2007/4/10,12.8,20.2,5.0
2007/4/11,11.3,17.9,8.4
2007/4/12,12.6,18.6,7.5
2007/4/13,15.1,22.0,8.6
2007/4/14,17.5,24.8,11.7
2007/4/15,14.8,21.4,10.7
2007/4/16,10.0,12.0,7.6
2007/4/17,9.4,12.1,7.3
2007/4/18,8.3,11.6,6.2
2007/4/19,9.7,15.9,5.3
2007/4/20,13.4,20.2,8.6
2007/4/21,17.6,26.0,9.7
2007/4/22,19.5,26.3,13.0
2007/4/23,15.6,20.4,10.9
2007/4/24,11.7,13.6,10.3
2007/4/25,12.5,16.1,10.5
2007/4/26,14.7,24.2,8.2
2007/4/27,13.2,19.8,6.9
2007/4/28,12.7,21.2,7.9
2007/4/29,16.3,25.0,8.0
2007/4/30,18.8,28.5,8.8
2007/5/1,15.1,17.2,13.3
