ダウンロードした時刻：2017/07/24 15:43:57

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,3.2,5.9,2.0
1985/1/2,3.6,7.2,1.7
1985/1/3,3.2,4.6,1.1
1985/1/4,3.4,6.6,0.7
1985/1/5,0.9,2.9,-0.1
1985/1/6,2.0,3.7,0.0
1985/1/7,1.2,4.2,-1.6
1985/1/8,0.5,4.8,-3.1
1985/1/9,1.4,6.7,-3.2
1985/1/10,4.0,7.5,0.2
1985/1/11,4.3,7.0,0.4
1985/1/12,3.9,8.6,-1.2
1985/1/13,2.9,5.9,0.6
1985/1/14,-0.3,3.4,-2.8
1985/1/15,-0.9,3.9,-4.2
1985/1/16,2.4,6.3,-3.0
1985/1/17,0.3,2.9,-2.2
1985/1/18,0.1,4.1,-4.1
1985/1/19,1.3,4.9,-4.4
1985/1/20,4.6,9.2,2.8
1985/1/21,3.4,4.6,2.1
1985/1/22,2.7,5.7,0.0
1985/1/23,4.2,7.5,0.8
1985/1/24,2.2,4.3,-0.2
1985/1/25,0.9,3.3,-1.9
1985/1/26,1.3,3.1,-0.6
1985/1/27,2.3,6.8,-2.8
1985/1/28,3.4,6.3,2.0
1985/1/29,1.0,3.8,-2.5
1985/1/30,-2.1,-0.4,-3.3
1985/1/31,-0.6,4.1,-4.1
1985/2/1,3.0,5.5,-2.6
1985/2/2,3.3,7.6,-0.3
1985/2/3,3.1,8.7,-1.6
1985/2/4,4.9,9.6,0.8
1985/2/5,4.5,5.8,3.2
1985/2/6,5.4,6.6,4.1
1985/2/7,6.1,11.4,1.8
1985/2/8,5.0,8.3,0.3
1985/2/9,9.5,12.1,6.4
1985/2/10,6.3,9.3,2.8
1985/2/11,4.6,8.4,2.1
1985/2/12,4.0,7.7,-0.4
1985/2/13,3.5,8.0,1.3
1985/2/14,0.1,2.2,-1.4
1985/2/15,1.7,5.0,-1.3
1985/2/16,3.1,5.8,0.7
1985/2/17,4.5,6.6,2.2
1985/2/18,5.7,8.4,2.9
1985/2/19,5.2,6.9,3.8
1985/2/20,6.1,8.4,4.4
1985/2/21,2.1,5.7,-0.9
1985/2/22,0.7,3.6,-2.3
1985/2/23,2.0,5.5,-1.1
1985/2/24,0.1,2.9,-2.9
1985/2/25,2.2,5.9,-0.9
1985/2/26,2.4,5.9,-0.9
1985/2/27,5.1,7.4,2.0
1985/2/28,5.6,7.3,3.3
1985/3/1,7.2,10.3,6.2
1985/3/2,6.2,7.1,5.5
1985/3/3,5.2,7.0,2.6
1985/3/4,4.3,7.3,2.0
1985/3/5,5.1,8.9,1.7
1985/3/6,5.8,9.4,2.8
1985/3/7,5.5,10.0,1.2
1985/3/8,9.4,15.1,4.8
1985/3/9,7.2,10.7,5.4
1985/3/10,5.3,8.3,3.1
1985/3/11,4.4,5.7,3.1
1985/3/12,5.1,7.8,1.7
1985/3/13,4.9,8.8,0.8
1985/3/14,6.3,8.8,4.4
1985/3/15,5.4,8.2,2.5
1985/3/16,6.1,12.3,-0.6
1985/3/17,8.0,10.5,6.4
1985/3/18,9.3,12.3,7.4
1985/3/19,6.6,8.0,5.0
1985/3/20,7.4,11.7,2.6
1985/3/21,7.8,9.9,6.6
1985/3/22,7.1,12.5,2.5
1985/3/23,6.4,12.5,1.3
1985/3/24,8.5,14.9,1.8
1985/3/25,11.6,16.3,6.0
1985/3/26,9.9,12.6,6.3
1985/3/27,8.6,11.2,6.3
1985/3/28,10.3,14.6,7.3
1985/3/29,9.5,16.0,4.9
1985/3/30,6.5,10.2,4.0
1985/3/31,4.5,8.5,2.1
1985/4/1,6.5,11.3,2.6
1985/4/2,8.1,15.4,0.3
1985/4/3,14.0,17.5,7.4
1985/4/4,12.5,16.4,9.5
1985/4/5,10.1,14.5,7.3
1985/4/6,11.1,16.0,5.5
1985/4/7,10.9,12.9,9.6
1985/4/8,13.5,19.0,9.8
1985/4/9,13.7,22.6,7.2
1985/4/10,15.2,22.0,8.7
1985/4/11,14.3,19.3,11.2
1985/4/12,11.5,12.8,10.4
1985/4/13,12.0,16.8,10.6
1985/4/14,13.1,15.6,10.3
1985/4/15,11.5,15.1,8.7
1985/4/16,9.7,13.4,5.8
1985/4/17,10.5,17.9,4.1
1985/4/18,10.5,14.7,6.6
1985/4/19,12.6,20.3,4.3
1985/4/20,13.2,18.1,9.9
1985/4/21,14.5,21.6,6.8
1985/4/22,15.5,21.8,10.9
1985/4/23,15.0,18.7,12.3
1985/4/24,12.3,15.7,10.4
1985/4/25,13.5,21.7,7.4
1985/4/26,15.9,20.8,10.2
1985/4/27,12.7,17.7,10.3
1985/4/28,12.3,18.0,6.8
1985/4/29,12.9,20.3,6.1
1985/4/30,15.3,25.0,7.7
1985/5/1,17.1,23.6,10.9
