ダウンロードした時刻：2017/07/24 15:44:41

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,7.2,10.4,5.3
1989/1/2,6.8,12.0,2.7
1989/1/3,7.3,13.1,2.0
1989/1/4,6.0,8.7,3.7
1989/1/5,5.0,9.5,2.1
1989/1/6,6.0,10.2,0.3
1989/1/7,10.3,15.1,6.3
1989/1/8,12.6,14.5,9.9
1989/1/9,12.4,13.5,11.7
1989/1/10,11.8,15.2,9.2
1989/1/11,10.2,13.2,6.7
1989/1/12,9.9,11.7,6.0
1989/1/13,6.2,8.8,4.7
1989/1/14,6.3,8.9,4.3
1989/1/15,4.6,7.4,1.6
1989/1/16,4.8,9.6,-0.2
1989/1/17,7.2,12.9,2.1
1989/1/18,7.7,10.7,3.3
1989/1/19,12.7,15.5,10.6
1989/1/20,13.8,16.9,11.6
1989/1/21,9.4,12.9,7.5
1989/1/22,7.7,10.3,6.1
1989/1/23,9.1,12.4,6.1
1989/1/24,7.7,10.9,4.9
1989/1/25,6.7,11.3,2.5
1989/1/26,5.9,6.9,4.4
1989/1/27,6.1,9.7,2.0
1989/1/28,2.2,5.4,0.6
1989/1/29,3.2,6.7,0.4
1989/1/30,6.2,11.4,0.9
1989/1/31,8.8,13.6,2.0
1989/2/1,7.7,10.5,4.0
1989/2/2,4.3,8.5,2.1
1989/2/3,4.0,7.1,1.9
1989/2/4,4.8,8.2,1.2
1989/2/5,6.1,11.2,2.2
1989/2/6,7.0,11.7,2.7
1989/2/7,8.2,13.0,4.5
1989/2/8,8.3,10.1,5.4
1989/2/9,10.6,13.8,8.4
1989/2/10,6.1,8.8,3.5
1989/2/11,4.9,7.2,2.9
1989/2/12,5.2,9.3,2.0
1989/2/13,5.3,9.1,1.4
1989/2/14,6.5,11.0,3.9
1989/2/15,8.9,16.6,1.3
1989/2/16,11.2,12.3,9.4
1989/2/17,10.9,14.1,9.3
1989/2/18,9.2,12.2,7.3
1989/2/19,7.3,12.2,4.1
1989/2/20,7.6,13.8,2.4
1989/2/21,8.4,9.5,7.4
1989/2/22,7.4,10.7,5.0
1989/2/23,6.7,9.8,4.0
1989/2/24,7.5,8.5,5.6
1989/2/25,10.5,13.9,7.7
1989/2/26,7.2,10.3,4.9
1989/2/27,8.0,14.6,1.8
1989/2/28,13.7,21.2,7.6
1989/3/1,10.2,15.5,4.9
1989/3/2,9.9,16.9,2.8
1989/3/3,13.4,18.2,9.4
1989/3/4,13.1,21.2,8.4
1989/3/5,8.2,11.3,5.8
1989/3/6,8.5,13.4,3.3
1989/3/7,7.1,9.8,5.0
1989/3/8,5.1,8.9,3.0
1989/3/9,5.6,10.3,0.4
1989/3/10,7.4,11.8,2.4
1989/3/11,8.6,13.0,3.0
1989/3/12,11.0,16.5,4.5
1989/3/13,10.1,12.0,8.3
1989/3/14,13.0,17.1,10.1
1989/3/15,10.6,15.9,7.3
1989/3/16,9.4,12.8,5.2
1989/3/17,7.4,10.6,4.3
1989/3/18,7.3,12.1,3.8
1989/3/19,8.7,14.0,5.2
1989/3/20,8.1,12.5,3.7
1989/3/21,8.5,13.1,5.7
1989/3/22,8.5,11.9,6.5
1989/3/23,8.9,14.2,5.3
1989/3/24,10.4,13.5,7.3
1989/3/25,10.7,13.3,7.8
1989/3/26,9.5,14.5,5.5
1989/3/27,9.4,13.5,7.1
1989/3/28,9.4,14.2,7.1
1989/3/29,10.4,14.3,6.2
1989/3/30,12.1,17.4,5.8
1989/3/31,13.0,16.1,10.7
1989/4/1,13.7,19.1,8.9
1989/4/2,14.3,20.3,7.4
1989/4/3,16.3,19.8,13.7
1989/4/4,12.8,18.9,9.2
1989/4/5,13.3,19.9,7.1
1989/4/6,15.2,21.6,8.6
1989/4/7,17.1,23.3,11.3
1989/4/8,14.0,16.0,12.8
1989/4/9,14.9,19.9,10.8
1989/4/10,14.4,17.2,11.7
1989/4/11,12.9,17.3,9.1
1989/4/12,11.3,16.3,6.4
1989/4/13,14.8,20.1,8.8
1989/4/14,16.6,22.5,9.9
1989/4/15,16.2,18.2,14.4
1989/4/16,16.9,21.4,13.6
1989/4/17,15.8,19.1,12.6
1989/4/18,18.1,23.9,11.7
1989/4/19,20.1,26.7,13.6
1989/4/20,19.8,25.7,14.6
1989/4/21,19.9,27.2,14.7
1989/4/22,17.1,19.8,15.3
1989/4/23,15.4,16.7,14.6
1989/4/24,14.6,16.9,12.6
1989/4/25,13.8,19.1,10.6
1989/4/26,15.6,22.7,8.7
1989/4/27,18.1,24.3,12.3
1989/4/28,12.2,16.1,9.5
1989/4/29,13.8,20.7,7.1
1989/4/30,16.4,21.3,10.3
1989/5/1,14.5,16.1,13.8
