ダウンロードした時刻：2017/07/24 15:38:45

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,3.5,8.6,0.8
2002/1/2,0.2,2.0,-1.7
2002/1/3,1.1,3.0,-1.4
2002/1/4,2.1,5.2,0.4
2002/1/5,3.4,5.3,1.0
2002/1/6,1.4,3.2,0.3
2002/1/7,2.9,6.2,-0.4
2002/1/8,3.0,6.2,0.7
2002/1/9,3.4,4.7,1.3
2002/1/10,4.5,6.7,1.2
2002/1/11,6.0,8.3,3.9
2002/1/12,7.6,12.0,4.1
2002/1/13,5.4,8.8,2.8
2002/1/14,4.3,7.3,1.3
2002/1/15,6.5,12.7,1.6
2002/1/16,6.2,9.2,4.5
2002/1/17,4.1,5.1,2.8
2002/1/18,2.9,5.5,0.5
2002/1/19,3.7,6.6,0.5
2002/1/20,3.9,9.1,-2.0
2002/1/21,9.1,13.1,6.5
2002/1/22,5.0,8.3,2.0
2002/1/23,1.9,3.7,0.5
2002/1/24,3.7,4.9,1.7
2002/1/25,3.3,4.9,2.1
2002/1/26,3.6,6.8,0.6
2002/1/27,4.8,6.6,3.3
2002/1/28,3.8,8.0,0.3
2002/1/29,1.7,4.0,0.0
2002/1/30,1.8,3.7,0.3
2002/1/31,1.8,3.8,0.4
2002/2/1,1.6,3.5,-0.1
2002/2/2,3.9,7.5,0.9
2002/2/3,5.2,7.7,2.7
2002/2/4,4.7,8.5,1.6
2002/2/5,5.1,9.8,0.5
2002/2/6,6.4,10.9,3.8
2002/2/7,5.6,11.6,2.8
2002/2/8,7.4,10.5,3.3
2002/2/9,1.6,9.3,-1.0
2002/2/10,0.8,4.8,-1.3
2002/2/11,0.7,3.1,-1.5
2002/2/12,1.3,3.8,-1.3
2002/2/13,0.4,2.5,-1.0
2002/2/14,1.0,4.5,-2.2
2002/2/15,1.8,4.3,0.0
2002/2/16,2.6,4.9,0.0
2002/2/17,5.1,10.8,0.9
2002/2/18,3.4,8.1,-0.7
2002/2/19,2.1,4.7,-0.9
2002/2/20,6.8,9.5,3.7
2002/2/21,8.7,12.4,5.7
2002/2/22,7.0,9.4,5.3
2002/2/23,6.5,10.1,4.0
2002/2/24,4.1,6.9,0.8
2002/2/25,3.7,7.8,-0.2
2002/2/26,6.1,11.6,1.0
2002/2/27,8.4,11.9,5.1
2002/2/28,7.4,8.9,5.8
2002/3/1,8.0,11.9,4.6
2002/3/2,4.0,11.9,1.4
2002/3/3,2.3,6.0,0.2
2002/3/4,4.7,10.6,-1.4
2002/3/5,6.0,10.6,2.3
2002/3/6,7.7,11.5,5.4
2002/3/7,5.6,7.8,2.8
2002/3/8,4.7,8.3,2.3
2002/3/9,7.2,12.4,1.5
2002/3/10,6.5,14.0,2.4
2002/3/11,7.0,10.9,1.9
2002/3/12,8.2,10.2,4.4
2002/3/13,7.5,11.3,3.3
2002/3/14,10.7,19.1,1.9
2002/3/15,10.4,12.7,8.2
2002/3/16,8.2,12.1,5.6
2002/3/17,10.3,17.4,4.2
2002/3/18,9.2,14.9,4.1
2002/3/19,9.7,14.5,4.5
2002/3/20,8.8,12.5,6.2
2002/3/21,11.9,20.0,4.5
2002/3/22,8.1,11.3,5.7
2002/3/23,5.8,10.4,1.8
2002/3/24,4.4,9.4,1.2
2002/3/25,5.6,10.3,1.0
2002/3/26,11.6,18.1,3.7
2002/3/27,8.3,12.0,5.1
2002/3/28,7.1,11.2,4.0
2002/3/29,10.6,17.0,5.2
2002/3/30,10.2,12.9,7.2
2002/3/31,9.7,13.3,5.4
2002/4/1,13.3,17.5,9.0
2002/4/2,14.3,18.0,10.3
2002/4/3,14.4,22.2,9.5
2002/4/4,10.4,13.8,8.7
2002/4/5,9.8,14.0,6.4
2002/4/6,9.9,14.3,3.9
2002/4/7,13.7,19.2,9.1
2002/4/8,15.0,19.7,10.3
2002/4/9,9.4,10.7,8.1
2002/4/10,10.8,15.0,6.6
2002/4/11,11.1,15.5,7.0
2002/4/12,9.0,12.0,7.1
2002/4/13,10.8,17.0,4.9
2002/4/14,14.7,19.7,9.7
2002/4/15,18.9,27.9,12.1
2002/4/16,18.9,24.2,15.0
2002/4/17,15.3,20.6,10.5
2002/4/18,12.0,16.0,8.5
2002/4/19,12.7,17.6,8.5
2002/4/20,17.2,23.3,10.4
2002/4/21,17.2,21.0,14.9
2002/4/22,20.0,26.2,14.7
2002/4/23,19.1,28.5,14.6
2002/4/24,19.2,26.8,13.2
2002/4/25,12.4,16.1,9.6
2002/4/26,11.7,14.6,8.3
2002/4/27,12.8,16.4,8.6
2002/4/28,13.4,17.7,9.2
2002/4/29,13.8,18.8,7.2
2002/4/30,15.3,16.6,13.9
2002/5/1,13.1,17.2,10.8
