ダウンロードした時刻：2017/07/24 15:47:34

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,8.8,14.9,3.3
1993/1/2,10.0,17.4,4.5
1993/1/3,10.8,17.4,5.8
1993/1/4,10.3,14.0,7.0
1993/1/5,10.6,15.5,5.9
1993/1/6,14.0,17.5,10.7
1993/1/7,14.6,18.3,11.7
1993/1/8,12.5,16.8,8.1
1993/1/9,12.1,13.5,10.8
1993/1/10,14.0,17.3,12.1
1993/1/11,11.0,13.8,7.2
1993/1/12,8.7,13.8,3.3
1993/1/13,11.7,14.4,7.8
1993/1/14,14.5,17.3,12.2
1993/1/15,10.6,12.2,9.0
1993/1/16,6.3,9.1,4.2
1993/1/17,6.5,10.7,2.1
1993/1/18,6.2,11.8,2.9
1993/1/19,5.6,8.7,4.1
1993/1/20,5.6,6.9,4.5
1993/1/21,5.5,11.2,1.3
1993/1/22,6.2,11.5,-0.5
1993/1/23,9.5,13.6,5.4
1993/1/24,9.3,11.6,6.7
1993/1/25,9.8,15.6,3.6
1993/1/26,8.7,14.3,3.9
1993/1/27,4.5,10.3,1.1
1993/1/28,2.6,5.6,0.0
1993/1/29,4.2,7.9,-0.7
1993/1/30,6.4,10.4,2.9
1993/1/31,8.2,13.3,1.0
1993/2/1,7.6,11.2,4.1
1993/2/2,6.0,11.1,1.1
1993/2/3,6.5,14.0,-0.1
1993/2/4,10.5,17.4,5.2
1993/2/5,10.0,18.1,2.4
1993/2/6,15.8,22.7,8.8
1993/2/7,13.9,19.6,7.1
1993/2/8,7.4,12.5,4.1
1993/2/9,6.1,9.3,3.4
1993/2/10,7.2,11.5,3.6
1993/2/11,8.2,13.0,2.9
1993/2/12,8.8,14.5,3.8
1993/2/13,7.9,15.6,1.2
1993/2/14,9.3,16.5,3.6
1993/2/15,10.3,17.0,2.4
1993/2/16,14.0,17.7,9.8
1993/2/17,12.7,15.3,8.1
1993/2/18,11.2,17.6,4.8
1993/2/19,12.2,17.0,8.0
1993/2/20,12.7,17.6,6.6
1993/2/21,15.4,18.9,12.7
1993/2/22,10.7,12.7,7.0
1993/2/23,5.2,7.1,3.9
1993/2/24,4.9,7.9,3.2
1993/2/25,5.2,11.5,-0.4
1993/2/26,6.7,11.1,1.3
1993/2/27,8.3,11.0,3.9
1993/2/28,10.0,13.0,7.7
1993/3/1,6.1,8.8,3.7
1993/3/2,5.5,10.8,2.2
1993/3/3,7.2,14.6,0.2
1993/3/4,10.0,16.9,4.8
1993/3/5,10.3,18.2,2.0
1993/3/6,13.5,19.1,6.3
1993/3/7,15.0,19.5,8.9
1993/3/8,9.2,14.3,4.5
1993/3/9,8.6,14.0,2.2
1993/3/10,11.3,16.9,6.6
1993/3/11,9.1,14.7,3.9
1993/3/12,10.1,16.4,3.9
1993/3/13,10.3,17.2,3.5
1993/3/14,11.5,16.2,5.2
1993/3/15,15.2,19.1,11.5
1993/3/16,10.1,11.5,7.9
1993/3/17,7.9,12.1,5.7
1993/3/18,9.1,15.6,3.5
1993/3/19,9.5,16.1,4.4
1993/3/20,9.8,16.3,3.2
1993/3/21,10.8,14.3,6.4
1993/3/22,13.3,19.9,9.4
1993/3/23,13.1,17.9,9.6
1993/3/24,18.3,22.4,13.5
1993/3/25,15.2,18.8,12.7
1993/3/26,12.8,13.7,11.7
1993/3/27,13.7,16.0,12.0
1993/3/28,13.5,15.7,12.6
1993/3/29,11.8,16.7,7.9
1993/3/30,12.6,17.3,7.3
1993/3/31,15.6,20.1,12.6
1993/4/1,15.1,21.2,10.3
1993/4/2,14.3,21.3,6.2
1993/4/3,16.8,23.4,10.5
1993/4/4,14.7,16.2,13.5
1993/4/5,14.0,19.0,10.5
1993/4/6,13.1,18.5,8.4
1993/4/7,12.5,16.7,7.7
1993/4/8,10.4,13.2,8.3
1993/4/9,10.0,13.9,6.5
1993/4/10,10.1,16.7,3.3
1993/4/11,9.2,14.2,4.0
1993/4/12,10.8,17.6,4.2
1993/4/13,12.6,19.8,4.6
1993/4/14,15.1,22.0,9.1
1993/4/15,14.8,21.4,7.9
1993/4/16,13.1,15.2,11.5
1993/4/17,16.6,21.7,12.8
1993/4/18,16.4,23.3,9.2
1993/4/19,17.1,24.6,10.0
1993/4/20,17.5,25.2,9.7
1993/4/21,17.3,22.9,11.6
1993/4/22,19.9,25.5,17.5
1993/4/23,20.9,25.5,17.1
1993/4/24,20.6,22.9,18.5
1993/4/25,15.0,18.7,10.4
1993/4/26,14.7,21.6,6.5
1993/4/27,18.7,23.3,13.2
1993/4/28,22.2,25.3,18.9
1993/4/29,21.4,25.3,19.1
1993/4/30,20.0,24.1,16.6
1993/5/1,17.4,19.2,15.6
