ダウンロードした時刻：2017/07/24 15:46:47

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,9.9,16.3,5.9
1997/1/2,5.0,7.7,2.6
1997/1/3,5.0,7.9,0.6
1997/1/4,3.3,8.9,-1.6
1997/1/5,4.4,8.5,1.1
1997/1/6,4.0,5.1,3.1
1997/1/7,4.2,8.7,0.8
1997/1/8,3.2,6.0,0.6
1997/1/9,3.3,9.4,-1.2
1997/1/10,4.1,7.3,0.8
1997/1/11,5.3,11.8,0.2
1997/1/12,5.5,8.4,1.9
1997/1/13,6.7,13.2,1.0
1997/1/14,7.1,11.0,3.0
1997/1/15,6.2,12.3,-0.7
1997/1/16,5.7,9.0,0.6
1997/1/17,6.6,13.4,0.8
1997/1/18,7.3,11.7,3.1
1997/1/19,4.4,10.0,-0.4
1997/1/20,5.4,12.2,-0.8
1997/1/21,4.7,7.9,1.6
1997/1/22,1.6,5.3,-1.0
1997/1/23,1.7,6.0,-3.5
1997/1/24,3.4,5.3,0.2
1997/1/25,3.0,9.3,-2.6
1997/1/26,4.6,11.5,-1.5
1997/1/27,5.8,10.8,1.5
1997/1/28,5.7,11.0,1.3
1997/1/29,4.8,8.3,2.8
1997/1/30,5.3,9.2,1.4
1997/1/31,4.2,9.5,0.4
1997/2/1,5.1,10.3,0.2
1997/2/2,4.0,5.7,2.3
1997/2/3,5.0,10.0,1.1
1997/2/4,5.8,10.4,2.3
1997/2/5,6.6,11.4,1.2
1997/2/6,6.7,10.2,2.6
1997/2/7,6.1,9.0,1.4
1997/2/8,6.8,11.4,1.9
1997/2/9,7.6,15.4,1.1
1997/2/10,7.6,13.5,0.9
1997/2/11,5.5,7.8,2.1
1997/2/12,4.7,8.7,1.1
1997/2/13,3.8,8.9,-0.6
1997/2/14,3.8,10.4,-2.4
1997/2/15,5.6,9.1,2.4
1997/2/16,5.2,8.2,1.3
1997/2/17,4.7,10.5,0.2
1997/2/18,3.9,9.3,-1.8
1997/2/19,4.9,9.4,-0.2
1997/2/20,6.5,13.9,-0.8
1997/2/21,7.8,11.4,2.8
1997/2/22,5.2,9.8,1.5
1997/2/23,6.3,13.8,-0.7
1997/2/24,9.7,17.2,2.4
1997/2/25,14.6,18.9,9.4
1997/2/26,12.9,16.8,7.7
1997/2/27,11.8,19.4,6.0
1997/2/28,13.8,18.6,7.7
1997/3/1,11.9,16.4,6.1
1997/3/2,8.7,12.0,4.2
1997/3/3,8.2,12.4,2.7
1997/3/4,6.2,13.9,-0.4
1997/3/5,8.5,16.4,1.3
1997/3/6,11.1,16.7,3.1
1997/3/7,14.7,20.2,10.9
1997/3/8,11.8,18.1,5.7
1997/3/9,10.7,18.7,2.8
1997/3/10,12.7,17.7,7.3
1997/3/11,14.5,18.3,9.5
1997/3/12,11.9,16.2,7.9
1997/3/13,12.3,13.6,10.2
1997/3/14,14.4,15.7,13.1
1997/3/15,12.5,15.0,10.1
1997/3/16,10.2,13.2,7.7
1997/3/17,9.5,13.7,6.6
1997/3/18,11.1,17.5,5.2
1997/3/19,11.5,15.6,9.4
1997/3/20,10.1,13.0,7.5
1997/3/21,10.8,15.3,6.5
1997/3/22,11.2,17.0,5.7
1997/3/23,10.2,17.7,5.1
1997/3/24,7.9,13.2,3.9
1997/3/25,9.3,16.9,0.3
1997/3/26,10.3,12.3,8.2
1997/3/27,11.9,17.7,6.1
1997/3/28,11.8,17.4,4.0
1997/3/29,13.4,15.7,11.7
1997/3/30,10.9,15.5,4.0
1997/3/31,8.6,16.1,1.8
1997/4/1,12.3,21.2,2.6
1997/4/2,15.7,18.6,12.4
1997/4/3,16.4,18.9,13.7
1997/4/4,14.7,16.5,12.8
1997/4/5,14.5,16.1,13.0
1997/4/6,14.5,19.7,11.0
1997/4/7,13.1,18.6,7.7
1997/4/8,12.5,16.2,6.7
1997/4/9,14.6,19.8,9.5
1997/4/10,12.6,17.5,7.9
1997/4/11,13.1,20.3,5.1
1997/4/12,14.4,20.2,5.7
1997/4/13,15.3,22.4,7.4
1997/4/14,16.6,22.9,9.9
1997/4/15,15.3,17.8,12.3
1997/4/16,14.0,20.9,7.3
1997/4/17,14.2,20.6,6.2
1997/4/18,14.3,20.1,9.2
1997/4/19,15.9,23.3,8.9
1997/4/20,17.4,24.4,8.9
1997/4/21,16.3,20.0,14.8
1997/4/22,16.7,20.1,14.6
1997/4/23,14.6,19.0,8.9
1997/4/24,13.7,20.8,7.1
1997/4/25,14.9,22.2,6.7
1997/4/26,15.8,23.5,8.0
1997/4/27,15.3,21.2,8.7
1997/4/28,17.2,22.2,12.0
1997/4/29,18.2,23.5,11.4
1997/4/30,19.1,22.5,15.3
1997/5/1,19.3,26.0,13.5
