ダウンロードした時刻：2017/07/24 15:44:49

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,7.6,11.4,4.4
2016/1/2,8.1,13.0,2.9
2016/1/3,10.9,16.3,6.8
2016/1/4,11.2,15.3,6.3
2016/1/5,10.0,12.0,6.6
2016/1/6,9.9,13.6,7.4
2016/1/7,8.9,12.0,6.9
2016/1/8,8.3,10.6,5.1
2016/1/9,7.4,10.7,3.2
2016/1/10,8.1,10.9,4.2
2016/1/11,7.9,11.6,3.6
2016/1/12,7.2,10.3,3.5
2016/1/13,5.2,9.5,2.5
2016/1/14,6.3,10.0,2.3
2016/1/15,6.2,9.9,2.6
2016/1/16,5.9,10.5,2.2
2016/1/17,6.2,9.8,1.6
2016/1/18,8.5,11.3,5.1
2016/1/19,3.0,5.5,0.8
2016/1/20,3.9,7.1,0.8
2016/1/21,4.9,8.1,1.6
2016/1/22,5.0,9.7,2.5
2016/1/23,4.3,6.8,1.9
2016/1/24,0.1,3.2,-2.4
2016/1/25,1.9,6.3,-3.5
2016/1/26,4.9,8.4,0.7
2016/1/27,8.1,11.0,5.9
2016/1/28,8.0,12.2,2.5
2016/1/29,7.6,8.8,6.7
2016/1/30,8.0,10.5,6.5
2016/1/31,8.3,11.6,4.9
2016/2/1,7.2,9.5,5.3
2016/2/2,6.1,10.1,3.7
2016/2/3,4.8,9.5,1.6
2016/2/4,5.7,10.2,0.4
2016/2/5,6.8,10.9,3.0
2016/2/6,6.2,10.0,3.1
2016/2/7,4.6,8.5,2.0
2016/2/8,5.4,11.2,-0.5
2016/2/9,8.1,11.5,4.6
2016/2/10,6.1,9.5,3.9
2016/2/11,7.0,13.1,1.3
2016/2/12,10.7,16.9,5.5
2016/2/13,13.4,18.1,10.8
2016/2/14,15.5,20.3,10.7
2016/2/15,7.1,10.8,3.8
2016/2/16,5.1,8.3,2.5
2016/2/17,5.7,9.6,2.7
2016/2/18,6.1,11.5,0.9
2016/2/19,9.7,14.5,3.8
2016/2/20,8.9,10.0,8.2
2016/2/21,8.0,11.8,4.9
2016/2/22,6.5,8.8,3.1
2016/2/23,8.2,9.8,6.2
2016/2/24,5.6,9.0,2.9
2016/2/25,4.8,9.0,1.8
2016/2/26,5.3,9.6,1.6
2016/2/27,8.0,13.9,2.2
2016/2/28,10.5,15.8,5.6
2016/2/29,8.2,12.0,1.5
2016/3/1,3.3,7.3,0.8
2016/3/2,6.6,11.1,1.0
2016/3/3,8.9,14.4,2.6
2016/3/4,12.1,18.2,5.7
2016/3/5,15.6,20.3,11.2
2016/3/6,16.6,20.8,10.5
2016/3/7,17.2,20.8,14.7
2016/3/8,15.0,20.2,11.8
2016/3/9,9.0,12.8,6.9
2016/3/10,7.4,10.4,5.6
2016/3/11,7.1,12.2,4.3
2016/3/12,7.0,12.3,2.8
2016/3/13,8.6,14.3,4.1
2016/3/14,6.6,8.4,5.1
2016/3/15,8.6,13.7,5.5
2016/3/16,8.7,14.9,3.2
2016/3/17,13.1,20.1,6.2
2016/3/18,14.5,19.7,9.2
2016/3/19,14.2,16.9,10.8
2016/3/20,11.3,16.2,9.1
2016/3/21,9.8,14.7,6.4
2016/3/22,10.7,16.8,4.4
2016/3/23,12.5,19.6,7.8
2016/3/24,9.0,13.4,6.2
2016/3/25,7.6,12.3,4.6
2016/3/26,8.3,14.1,3.5
2016/3/27,10.0,15.6,4.6
2016/3/28,10.6,15.1,6.9
2016/3/29,12.1,16.6,6.0
2016/3/30,15.1,18.9,10.0
2016/3/31,16.5,22.0,11.3
2016/4/1,14.5,16.4,13.0
2016/4/2,16.9,21.5,13.2
2016/4/3,17.8,22.5,14.3
2016/4/4,16.0,21.6,12.7
2016/4/5,14.5,18.2,12.3
2016/4/6,16.5,22.3,10.7
2016/4/7,17.2,22.5,13.0
2016/4/8,16.0,18.9,13.4
2016/4/9,17.0,22.7,11.6
2016/4/10,17.4,21.0,13.5
2016/4/11,11.4,16.4,7.1
2016/4/12,12.1,18.0,5.5
2016/4/13,16.3,20.9,13.9
2016/4/14,18.4,23.3,14.7
2016/4/15,15.6,20.7,11.3
2016/4/16,16.3,23.6,8.8
2016/4/17,20.3,25.9,16.1
2016/4/18,15.8,18.9,12.8
2016/4/19,14.9,20.3,10.5
2016/4/20,15.8,22.0,9.5
2016/4/21,15.6,16.7,14.4
2016/4/22,19.4,23.8,15.8
2016/4/23,18.9,24.5,14.4
2016/4/24,18.0,23.6,15.1
2016/4/25,19.0,25.3,13.6
2016/4/26,20.6,27.5,15.8
2016/4/27,18.5,20.4,16.8
2016/4/28,16.7,19.4,13.5
2016/4/29,13.4,17.6,10.6
2016/4/30,15.8,22.0,8.4
2016/5/1,19.6,25.0,13.4
