ダウンロードした時刻：2017/07/24 15:42:48

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,9.9,12.3,7.3
1983/1/2,10.7,13.0,7.1
1983/1/3,8.9,12.6,5.4
1983/1/4,9.0,12.5,5.6
1983/1/5,15.1,18.5,6.6
1983/1/6,15.6,19.5,12.8
1983/1/7,15.6,19.0,13.0
1983/1/8,15.5,19.0,12.7
1983/1/9,10.6,13.6,9.4
1983/1/10,8.9,11.1,5.6
1983/1/11,7.9,9.5,4.9
1983/1/12,10.7,12.4,8.7
1983/1/13,10.7,12.0,9.6
1983/1/14,9.4,11.0,7.9
1983/1/15,9.9,11.2,9.1
1983/1/16,10.6,12.8,8.6
1983/1/17,11.9,14.5,10.4
1983/1/18,15.0,17.8,12.6
1983/1/19,12.4,14.4,10.0
1983/1/20,8.5,10.8,7.4
1983/1/21,9.0,11.1,7.0
1983/1/22,6.0,9.3,4.1
1983/1/23,6.3,8.0,4.7
1983/1/24,9.6,12.4,7.3
1983/1/25,10.9,13.2,8.6
1983/1/26,12.4,15.1,10.4
1983/1/27,12.1,14.9,10.0
1983/1/28,13.4,15.8,11.9
1983/1/29,14.9,17.1,12.2
1983/1/30,15.6,18.7,13.1
1983/1/31,11.5,13.7,10.6
1983/2/1,13.7,16.5,9.1
1983/2/2,17.7,20.1,12.8
1983/2/3,11.1,14.6,8.9
1983/2/4,9.5,13.0,6.8
1983/2/5,10.5,13.3,8.0
1983/2/6,12.4,15.4,10.3
1983/2/7,12.3,14.6,10.1
1983/2/8,10.8,12.7,8.1
1983/2/9,10.7,13.0,8.6
1983/2/10,9.7,12.8,7.6
1983/2/11,7.5,9.2,6.1
1983/2/12,9.5,12.3,8.0
1983/2/13,7.0,8.2,5.7
1983/2/14,7.0,9.8,4.8
1983/2/15,11.7,14.2,7.4
1983/2/16,11.5,14.4,9.4
1983/2/17,12.2,14.3,9.4
1983/2/18,10.2,15.0,7.4
1983/2/19,7.2,8.7,4.7
1983/2/20,9.1,11.6,7.4
1983/2/21,6.8,9.2,5.0
1983/2/22,8.8,11.6,6.1
1983/2/23,11.0,13.9,8.9
1983/2/24,13.2,16.6,10.0
1983/2/25,10.6,13.2,8.4
1983/2/26,8.8,11.9,7.3
1983/2/27,8.5,10.6,6.7
1983/2/28,10.0,13.7,7.0
1983/3/1,13.4,16.3,8.0
1983/3/2,16.5,17.9,14.2
1983/3/3,15.0,18.0,11.8
1983/3/4,10.9,12.7,9.3
1983/3/5,9.5,13.2,7.2
1983/3/6,8.8,12.1,5.9
1983/3/7,8.4,11.4,4.8
1983/3/8,6.8,9.2,3.1
1983/3/9,9.0,12.0,3.6
1983/3/10,13.6,16.9,9.9
1983/3/11,13.3,16.9,10.2
1983/3/12,13.8,15.8,11.6
1983/3/13,15.5,19.6,11.4
1983/3/14,9.8,11.7,8.2
1983/3/15,9.6,12.0,7.5
1983/3/16,11.8,13.8,10.2
1983/3/17,14.0,17.8,9.6
1983/3/18,8.8,11.0,6.9
1983/3/19,9.3,13.0,6.7
1983/3/20,13.2,16.2,8.6
1983/3/21,16.5,18.3,14.6
1983/3/22,15.1,18.6,11.3
1983/3/23,15.9,19.3,10.7
1983/3/24,15.7,18.5,11.6
1983/3/25,11.1,12.1,10.0
1983/3/26,13.1,15.4,11.0
1983/3/27,14.3,16.4,12.8
1983/3/28,14.4,16.7,13.0
1983/3/29,13.2,14.6,12.1
1983/3/30,13.4,14.3,12.4
1983/3/31,14.8,17.2,13.2
1983/4/1,16.6,18.8,14.6
1983/4/2,15.2,17.1,13.8
1983/4/3,16.1,19.5,12.7
1983/4/4,16.2,18.8,12.7
1983/4/5,15.3,19.2,12.0
1983/4/6,15.8,19.5,11.9
1983/4/7,16.2,20.4,10.7
1983/4/8,16.3,17.8,15.6
1983/4/9,16.4,19.4,14.3
1983/4/10,16.1,17.6,11.5
1983/4/11,18.5,19.9,17.2
1983/4/12,17.3,21.2,14.6
1983/4/13,17.0,19.5,15.6
1983/4/14,17.2,19.8,15.1
1983/4/15,19.2,20.8,16.6
1983/4/16,21.2,21.7,20.7
1983/4/17,20.5,21.7,18.9
1983/4/18,17.0,21.1,16.0
1983/4/19,20.3,22.1,17.3
1983/4/20,19.7,21.9,16.5
1983/4/21,17.7,19.5,16.2
1983/4/22,20.0,21.5,17.0
1983/4/23,18.5,21.6,16.1
1983/4/24,17.2,19.5,14.9
1983/4/25,18.7,22.4,13.6
1983/4/26,19.8,23.2,16.4
1983/4/27,20.9,23.1,18.8
1983/4/28,21.4,22.9,20.8
1983/4/29,21.8,23.3,20.9
1983/4/30,18.0,21.8,16.1
1983/5/1,18.6,21.5,13.4
