ダウンロードした時刻：2017/07/24 15:43:42

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,11.1,14.9,9.1
1991/1/2,8.9,11.2,6.2
1991/1/3,5.8,6.7,4.1
1991/1/4,4.9,8.7,3.2
1991/1/5,2.6,4.4,0.6
1991/1/6,4.2,6.6,1.9
1991/1/7,7.7,11.7,1.9
1991/1/8,5.0,7.6,2.4
1991/1/9,5.3,7.2,2.3
1991/1/10,7.5,9.0,5.0
1991/1/11,7.4,9.6,5.5
1991/1/12,6.1,8.0,2.5
1991/1/13,3.9,5.1,2.3
1991/1/14,4.0,5.0,3.0
1991/1/15,5.8,8.0,3.6
1991/1/16,8.6,10.3,5.6
1991/1/17,8.4,11.0,4.9
1991/1/18,5.3,7.0,3.0
1991/1/19,6.6,12.1,3.4
1991/1/20,7.7,13.1,2.7
1991/1/21,9.0,10.1,7.5
1991/1/22,7.2,8.9,3.9
1991/1/23,4.0,8.3,-0.1
1991/1/24,6.8,12.9,0.1
1991/1/25,7.4,10.3,6.1
1991/1/26,5.8,7.2,4.3
1991/1/27,5.1,8.1,2.9
1991/1/28,2.8,5.0,1.1
1991/1/29,3.0,5.7,1.5
1991/1/30,4.3,8.1,2.4
1991/1/31,5.0,10.3,2.0
1991/2/1,6.2,8.8,2.9
1991/2/2,4.5,6.7,1.5
1991/2/3,5.2,9.1,0.5
1991/2/4,7.0,9.1,4.5
1991/2/5,5.4,7.1,3.9
1991/2/6,6.0,8.7,2.3
1991/2/7,6.0,10.9,1.6
1991/2/8,6.3,10.4,1.7
1991/2/9,6.0,11.2,-0.8
1991/2/10,11.1,16.5,7.1
1991/2/11,9.1,12.2,6.6
1991/2/12,6.9,9.5,1.8
1991/2/13,5.0,8.3,0.6
1991/2/14,9.8,13.4,5.9
1991/2/15,10.1,13.2,7.0
1991/2/16,5.7,7.2,2.1
1991/2/17,4.6,6.5,1.9
1991/2/18,5.0,7.7,2.1
1991/2/19,3.5,7.7,0.3
1991/2/20,2.3,4.4,0.0
1991/2/21,2.5,5.3,-0.2
1991/2/22,0.4,5.3,-1.5
1991/2/23,-1.8,0.8,-4.5
1991/2/24,0.5,2.2,-0.9
1991/2/25,3.7,6.9,1.4
1991/2/26,5.7,9.0,2.4
1991/2/27,8.5,11.6,5.3
1991/2/28,9.5,14.6,6.8
1991/3/1,6.2,10.3,0.8
1991/3/2,4.8,10.6,0.4
1991/3/3,5.9,11.2,0.9
1991/3/4,8.2,13.4,1.4
1991/3/5,10.4,13.9,7.2
1991/3/6,11.3,15.5,6.4
1991/3/7,7.9,13.2,4.2
1991/3/8,6.9,10.2,4.8
1991/3/9,9.7,10.7,9.0
1991/3/10,8.9,12.0,5.5
1991/3/11,7.7,8.8,6.8
1991/3/12,7.9,11.9,5.1
1991/3/13,8.2,12.9,3.0
1991/3/14,5.5,7.5,3.6
1991/3/15,5.8,9.4,1.8
1991/3/16,6.9,9.3,4.4
1991/3/17,7.7,10.8,3.8
1991/3/18,6.3,12.1,0.6
1991/3/19,10.0,16.6,2.2
1991/3/20,15.6,20.9,9.5
1991/3/21,8.3,11.8,6.7
1991/3/22,9.3,11.7,6.2
1991/3/23,10.9,11.8,7.4
1991/3/24,9.7,14.7,5.3
1991/3/25,9.4,13.7,5.8
1991/3/26,10.6,15.8,5.6
1991/3/27,11.9,13.4,10.1
1991/3/28,9.1,10.4,7.8
1991/3/29,9.4,14.5,6.2
1991/3/30,8.2,9.7,6.0
1991/3/31,8.9,11.7,6.5
1991/4/1,6.5,10.3,2.6
1991/4/2,5.9,9.7,1.5
1991/4/3,6.7,12.9,0.5
1991/4/4,10.1,16.7,2.6
1991/4/5,13.7,17.7,8.9
1991/4/6,13.9,15.8,12.9
1991/4/7,12.8,14.2,11.6
1991/4/8,11.4,12.3,10.8
1991/4/9,10.9,14.5,7.4
1991/4/10,14.4,21.1,7.7
1991/4/11,16.5,21.8,14.2
1991/4/12,17.0,21.0,14.1
1991/4/13,15.5,18.6,12.8
1991/4/14,12.1,14.7,8.3
1991/4/15,13.3,18.2,7.6
1991/4/16,14.5,20.5,9.3
1991/4/17,18.0,25.5,10.1
1991/4/18,13.9,25.3,8.6
1991/4/19,9.9,14.1,5.3
1991/4/20,10.8,15.5,6.5
1991/4/21,12.2,17.7,6.4
1991/4/22,13.6,21.0,6.3
1991/4/23,15.7,22.7,9.3
1991/4/24,15.1,17.1,13.9
1991/4/25,15.0,18.6,13.0
1991/4/26,13.6,16.9,9.9
1991/4/27,12.9,18.9,6.7
1991/4/28,17.6,23.9,9.2
1991/4/29,14.5,16.8,12.0
1991/4/30,13.1,17.6,7.0
1991/5/1,14.9,16.4,12.8
