ダウンロードした時刻：2017/07/24 15:36:29

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,-1.2,1.5,-4.2
1986/1/2,-4.0,-1.7,-6.3
1986/1/3,-4.1,-1.2,-6.8
1986/1/4,3.9,6.9,-1.4
1986/1/5,-2.8,1.2,-5.5
1986/1/6,-5.2,-1.4,-7.2
1986/1/7,-0.4,0.7,-2.3
1986/1/8,1.3,2.6,0.1
1986/1/9,1.3,4.5,-0.2
1986/1/10,1.3,2.7,-0.2
1986/1/11,-1.9,1.0,-4.4
1986/1/12,-3.2,-1.1,-5.2
1986/1/13,0.4,2.6,-3.1
1986/1/14,-3.7,-1.8,-5.1
1986/1/15,-2.2,-0.8,-3.5
1986/1/16,-2.0,2.7,-7.0
1986/1/17,1.5,4.6,-3.8
1986/1/18,0.6,3.4,-1.7
1986/1/19,-0.4,2.1,-1.9
1986/1/20,-0.7,1.8,-4.9
1986/1/21,-5.4,-3.4,-7.2
1986/1/22,-7.2,-4.8,-10.2
1986/1/23,-8.2,-5.3,-10.5
1986/1/24,-4.6,-1.9,-7.0
1986/1/25,-5.3,-4.2,-6.5
1986/1/26,-5.5,-4.1,-7.9
1986/1/27,-6.6,-4.2,-8.1
1986/1/28,-4.6,-3.6,-6.5
1986/1/29,-4.2,-3.2,-5.3
1986/1/30,-4.7,-3.4,-6.8
1986/1/31,-4.1,-2.4,-5.6
1986/2/1,-6.1,-4.6,-7.5
1986/2/2,-4.7,-3.7,-6.3
1986/2/3,-5.4,-3.7,-7.0
1986/2/4,-6.2,-5.2,-7.1
1986/2/5,-5.4,-3.8,-7.0
1986/2/6,-4.9,-2.7,-9.4
1986/2/7,-3.4,-0.6,-10.9
1986/2/8,-2.3,-0.3,-3.5
1986/2/9,-2.8,-1.4,-4.4
1986/2/10,-3.5,-1.6,-4.8
1986/2/11,-2.3,-1.7,-3.4
1986/2/12,-0.9,0.1,-2.3
1986/2/13,0.4,2.7,-1.7
1986/2/14,-1.3,1.6,-3.9
1986/2/15,-3.2,-0.4,-5.3
1986/2/16,-2.3,0.6,-6.1
1986/2/17,-2.0,-0.9,-3.7
1986/2/18,-2.3,0.2,-4.7
1986/2/19,-1.9,1.5,-5.2
1986/2/20,-1.4,0.7,-4.4
1986/2/21,-3.1,-1.6,-4.9
1986/2/22,-2.6,-0.7,-6.3
1986/2/23,-2.1,0.7,-5.1
1986/2/24,-1.1,1.0,-3.8
1986/2/25,-1.1,0.8,-3.3
1986/2/26,0.5,3.9,-3.7
1986/2/27,0.7,4.7,-4.9
1986/2/28,1.3,3.3,-1.1
1986/3/1,-0.3,1.5,-2.9
1986/3/2,1.5,2.6,0.1
1986/3/3,-3.2,2.7,-8.1
1986/3/4,-3.8,-1.1,-9.9
1986/3/5,-0.1,2.6,-2.3
1986/3/6,-0.1,3.0,-4.9
1986/3/7,2.4,3.7,-0.3
1986/3/8,1.6,2.5,-1.0
1986/3/9,3.3,5.0,0.9
1986/3/10,3.4,6.3,1.6
1986/3/11,1.8,3.3,0.0
1986/3/12,1.3,2.8,-0.7
1986/3/13,1.8,3.3,-1.1
1986/3/14,1.2,4.4,-2.9
1986/3/15,2.9,4.6,-0.4
1986/3/16,2.5,5.3,-0.1
1986/3/17,1.3,2.4,-0.3
1986/3/18,1.7,3.0,-0.7
1986/3/19,1.7,3.4,-2.5
1986/3/20,2.6,4.5,0.6
1986/3/21,2.8,4.2,2.2
1986/3/22,3.4,6.2,0.0
1986/3/23,2.7,5.9,-0.8
1986/3/24,4.1,7.5,0.5
1986/3/25,3.1,5.2,0.3
1986/3/26,3.9,6.5,0.5
1986/3/27,3.9,6.0,1.6
1986/3/28,2.3,7.3,-2.9
1986/3/29,4.0,7.4,0.9
1986/3/30,3.4,6.4,-0.2
1986/3/31,4.3,5.8,3.0
1986/4/1,5.0,7.3,2.6
1986/4/2,4.5,7.8,2.0
1986/4/3,4.4,8.2,-0.5
1986/4/4,8.2,11.3,3.3
1986/4/5,6.1,8.0,4.6
1986/4/6,4.4,7.1,0.8
1986/4/7,4.1,5.5,0.5
1986/4/8,7.1,9.7,4.5
1986/4/9,8.5,10.2,6.8
1986/4/10,9.6,12.6,5.7
1986/4/11,5.8,8.0,4.2
1986/4/12,5.3,6.2,4.2
1986/4/13,6.2,8.6,3.1
1986/4/14,6.2,9.9,1.9
1986/4/15,9.6,16.9,2.3
1986/4/16,3.2,7.8,2.1
1986/4/17,6.2,8.9,2.0
1986/4/18,8.8,11.9,5.9
1986/4/19,12.1,20.6,4.7
1986/4/20,10.1,13.1,7.2
1986/4/21,7.3,10.5,3.2
1986/4/22,9.3,13.8,3.4
1986/4/23,8.9,12.2,5.7
1986/4/24,6.6,8.2,4.9
1986/4/25,8.1,10.6,6.4
1986/4/26,7.4,9.8,4.9
1986/4/27,8.4,10.7,5.0
1986/4/28,6.3,7.2,6.0
1986/4/29,8.3,10.3,5.9
1986/4/30,9.5,12.1,7.4
1986/5/1,10.7,15.8,3.2
