ダウンロードした時刻：2017/07/24 15:41:23

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,5.5,8.6,0.0
1981/1/2,8.8,13.0,5.9
1981/1/3,5.7,9.5,3.1
1981/1/4,5.0,10.1,1.5
1981/1/5,3.7,8.9,-1.0
1981/1/6,3.0,7.5,-0.8
1981/1/7,3.6,8.7,-0.2
1981/1/8,4.7,8.9,0.5
1981/1/9,5.8,12.1,-0.1
1981/1/10,6.3,11.2,3.1
1981/1/11,3.1,7.1,0.1
1981/1/12,3.1,7.5,-1.6
1981/1/13,1.8,5.4,-1.9
1981/1/14,2.7,7.7,-2.2
1981/1/15,4.1,8.2,-1.0
1981/1/16,4.2,5.5,1.7
1981/1/17,3.3,7.6,0.1
1981/1/18,4.4,8.5,-0.6
1981/1/19,5.9,10.6,0.5
1981/1/20,4.2,7.9,0.8
1981/1/21,2.9,6.5,-0.3
1981/1/22,1.7,5.7,-1.8
1981/1/23,3.7,7.0,-1.0
1981/1/24,6.2,11.2,2.0
1981/1/25,7.5,9.3,5.3
1981/1/26,4.0,6.4,-0.3
1981/1/27,2.2,7.4,-2.1
1981/1/28,3.0,7.6,-0.3
1981/1/29,4.5,8.6,1.0
1981/1/30,3.9,7.4,0.5
1981/1/31,4.4,8.3,0.0
1981/2/1,5.0,8.8,3.0
1981/2/2,5.0,8.8,0.5
1981/2/3,4.5,7.4,1.3
1981/2/4,3.7,8.5,0.5
1981/2/5,4.3,8.3,-0.7
1981/2/6,5.4,8.2,2.4
1981/2/7,5.8,6.6,2.6
1981/2/8,5.7,11.6,0.2
1981/2/9,6.8,11.0,1.6
1981/2/10,6.7,9.5,2.3
1981/2/11,4.4,9.5,1.1
1981/2/12,5.9,10.2,-0.4
1981/2/13,9.1,12.9,2.7
1981/2/14,9.5,11.4,7.5
1981/2/15,10.3,13.8,8.0
1981/2/16,10.7,14.5,6.0
1981/2/17,4.8,9.3,3.2
1981/2/18,5.8,10.3,0.3
1981/2/19,10.0,14.0,5.1
1981/2/20,5.5,9.5,1.0
1981/2/21,7.0,10.0,4.2
1981/2/22,6.0,7.8,2.9
1981/2/23,8.1,10.9,6.0
1981/2/24,6.4,7.6,5.1
1981/2/25,3.1,8.0,0.6
1981/2/26,0.4,6.5,-3.1
1981/2/27,0.4,5.9,-3.9
1981/2/28,2.6,6.0,-2.6
1981/3/1,5.1,8.2,1.3
1981/3/2,4.0,6.3,0.6
1981/3/3,6.7,11.2,0.0
1981/3/4,7.3,8.5,6.4
1981/3/5,7.1,10.0,5.0
1981/3/6,7.4,13.0,2.1
1981/3/7,7.6,10.6,4.3
1981/3/8,8.8,10.7,5.2
1981/3/9,6.7,11.0,4.5
1981/3/10,5.0,7.3,2.7
1981/3/11,4.7,7.3,0.3
1981/3/12,8.9,10.8,5.8
1981/3/13,8.5,12.3,3.5
1981/3/14,9.9,16.0,7.8
1981/3/15,13.2,17.7,6.9
1981/3/16,8.4,14.1,4.5
1981/3/17,6.9,10.9,3.1
1981/3/18,9.3,13.2,2.9
1981/3/19,13.8,17.7,7.5
1981/3/20,11.4,15.1,9.2
1981/3/21,11.6,15.8,8.8
1981/3/22,8.7,9.9,7.2
1981/3/23,9.5,13.0,6.4
1981/3/24,8.1,9.6,5.3
1981/3/25,13.7,16.5,8.8
1981/3/26,12.9,20.1,8.8
1981/3/27,10.2,14.5,6.5
1981/3/28,8.6,10.4,6.4
1981/3/29,10.4,12.5,7.9
1981/3/30,8.2,10.1,7.1
1981/3/31,6.6,8.1,4.5
1981/4/1,7.4,10.3,2.4
1981/4/2,10.4,14.9,5.4
1981/4/3,9.8,15.3,4.5
1981/4/4,10.5,13.6,8.4
1981/4/5,9.4,11.6,7.4
1981/4/6,9.5,12.3,6.5
1981/4/7,12.0,19.1,7.9
1981/4/8,9.9,12.3,7.2
1981/4/9,13.7,16.7,9.5
1981/4/10,11.8,14.0,9.9
1981/4/11,13.7,19.5,8.3
1981/4/12,13.2,15.7,10.1
1981/4/13,8.6,12.8,5.2
1981/4/14,10.1,13.3,5.5
1981/4/15,12.8,15.1,7.5
1981/4/16,9.9,15.2,7.7
1981/4/17,11.5,16.1,7.0
1981/4/18,9.0,11.6,6.4
1981/4/19,11.0,14.3,7.4
1981/4/20,14.4,17.3,10.4
1981/4/21,13.6,19.7,9.1
1981/4/22,13.6,17.9,9.5
1981/4/23,15.6,19.9,11.2
1981/4/24,16.3,19.4,12.9
1981/4/25,14.4,18.5,8.8
1981/4/26,12.5,15.0,8.3
1981/4/27,15.9,18.8,13.6
1981/4/28,11.7,13.9,10.1
1981/4/29,14.4,19.1,10.0
1981/4/30,16.0,18.2,13.1
1981/5/1,16.5,20.5,11.3
