ダウンロードした時刻：2017/07/24 15:36:38

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,-2.0,2.3,-4.7
1992/1/2,-1.3,2.9,-6.1
1992/1/3,-0.5,4.1,-4.3
1992/1/4,-0.8,2.3,-5.3
1992/1/5,0.1,1.7,-1.2
1992/1/6,-1.3,0.8,-4.4
1992/1/7,0.1,4.2,-5.9
1992/1/8,0.8,3.0,-2.1
1992/1/9,-1.2,2.6,-4.9
1992/1/10,-0.6,2.2,-3.2
1992/1/11,1.1,4.6,-1.7
1992/1/12,3.9,8.9,-2.0
1992/1/13,1.3,3.4,-1.6
1992/1/14,-1.9,1.6,-5.3
1992/1/15,-2.9,-0.5,-6.9
1992/1/16,1.2,5.4,-4.2
1992/1/17,3.2,7.0,0.1
1992/1/18,-0.5,2.6,-3.7
1992/1/19,-0.6,2.6,-4.5
1992/1/20,-1.2,0.1,-3.2
1992/1/21,1.3,4.3,-0.6
1992/1/22,0.9,3.6,-2.7
1992/1/23,-4.0,-1.3,-7.1
1992/1/24,-5.9,-2.0,-8.9
1992/1/25,-2.2,1.1,-5.8
1992/1/26,-1.1,1.7,-3.1
1992/1/27,0.0,4.2,-4.1
1992/1/28,-3.8,-1.5,-5.7
1992/1/29,-3.2,0.8,-6.9
1992/1/30,-4.6,-1.3,-7.3
1992/1/31,-4.6,0.3,-8.6
1992/2/1,-3.0,-0.6,-7.1
1992/2/2,-1.7,1.9,-5.3
1992/2/3,1.2,4.3,-1.0
1992/2/4,-0.7,2.6,-5.0
1992/2/5,-3.5,-0.6,-6.8
1992/2/6,-2.0,1.4,-7.5
1992/2/7,-0.2,2.9,-4.5
1992/2/8,-5.0,-2.4,-9.2
1992/2/9,-4.4,-1.3,-10.3
1992/2/10,-0.5,4.1,-3.9
1992/2/11,-4.9,-1.8,-9.4
1992/2/12,-0.1,3.5,-3.6
1992/2/13,-2.1,1.4,-5.8
1992/2/14,-2.7,1.1,-6.2
1992/2/15,1.6,6.3,-5.1
1992/2/16,-0.8,3.8,-6.9
1992/2/17,-3.7,-0.5,-6.5
1992/2/18,-1.3,1.5,-4.4
1992/2/19,-5.4,-0.2,-9.2
1992/2/20,-6.2,-2.8,-9.1
1992/2/21,-4.4,-0.8,-7.5
1992/2/22,-4.4,1.0,-11.2
1992/2/23,-2.4,1.7,-6.8
1992/2/24,-0.9,3.1,-5.3
1992/2/25,-0.8,3.9,-6.3
1992/2/26,-1.5,2.6,-5.4
1992/2/27,-0.3,2.4,-4.2
1992/2/28,2.1,6.1,-4.4
1992/2/29,5.8,11.1,2.3
1992/3/1,0.4,4.6,-3.5
1992/3/2,-2.0,2.2,-4.8
1992/3/3,-2.1,2.2,-5.8
1992/3/4,-1.6,1.8,-5.9
1992/3/5,-1.7,2.1,-6.2
1992/3/6,-1.4,0.2,-3.2
1992/3/7,-0.8,3.5,-6.4
1992/3/8,2.1,7.4,-1.7
1992/3/9,1.2,5.0,-3.6
1992/3/10,2.4,7.0,-1.1
1992/3/11,1.1,5.5,-2.8
1992/3/12,1.5,6.9,-4.9
1992/3/13,3.0,6.4,-0.8
1992/3/14,4.7,9.6,0.7
1992/3/15,4.7,8.9,1.8
1992/3/16,1.1,5.3,-2.9
1992/3/17,-0.7,3.2,-5.8
1992/3/18,-0.1,1.6,-1.0
1992/3/19,1.8,5.2,-1.0
1992/3/20,0.3,2.6,-2.0
1992/3/21,-1.3,1.4,-3.7
1992/3/22,-1.5,3.1,-6.8
1992/3/23,1.7,7.4,-3.8
1992/3/24,3.0,8.0,-2.3
1992/3/25,4.0,5.6,2.6
1992/3/26,5.4,10.2,1.2
1992/3/27,5.7,10.9,1.2
1992/3/28,5.7,13.3,-0.2
1992/3/29,6.2,15.0,-0.7
1992/3/30,5.8,7.9,4.0
1992/3/31,7.7,12.7,2.5
1992/4/1,7.4,13.4,1.5
1992/4/2,9.1,15.0,5.1
1992/4/3,7.9,14.0,2.1
1992/4/4,9.9,17.6,1.7
1992/4/5,8.1,13.7,3.6
1992/4/6,6.5,11.5,3.1
1992/4/7,2.9,6.0,-0.4
1992/4/8,4.8,10.1,-2.0
1992/4/9,7.9,14.3,1.5
1992/4/10,5.4,11.5,-1.0
1992/4/11,1.0,3.7,0.0
1992/4/12,1.6,3.1,0.2
1992/4/13,2.3,4.5,-0.2
1992/4/14,2.9,6.8,-1.0
1992/4/15,3.7,8.1,-0.7
1992/4/16,5.9,9.0,3.3
1992/4/17,6.8,10.7,4.4
1992/4/18,8.4,12.1,5.5
1992/4/19,10.2,14.1,6.2
1992/4/20,6.9,11.3,3.5
1992/4/21,8.9,15.0,2.0
1992/4/22,9.7,11.7,6.7
1992/4/23,6.6,10.5,2.2
1992/4/24,10.4,17.7,2.3
1992/4/25,7.4,9.6,4.0
1992/4/26,9.6,13.7,2.6
1992/4/27,11.4,16.8,7.9
1992/4/28,12.1,16.8,6.4
1992/4/29,9.8,12.8,6.0
1992/4/30,8.7,14.1,3.2
1992/5/1,6.7,12.4,3.8
