ダウンロードした時刻：2019/10/10 15:56:40

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,11.5,15.5,6.4
2015/12/2,12.6,15.2,9.7
2015/12/3,12.3,16.9,9.7
2015/12/4,11.1,13.8,7.9
2015/12/5,10.9,15.4,6.0
2015/12/6,11.9,13.8,9.7
2015/12/7,11.4,12.3,10.4
2015/12/8,10.9,12.2,9.9
2015/12/9,10.1,13.3,7.2
2015/12/10,12.8,18.6,6.4
2015/12/11,18.4,22.1,13.6
2015/12/12,13.2,14.2,12.3
2015/12/13,13.3,14.5,12.5
2015/12/14,13.1,13.5,12.4
2015/12/15,13.7,16.0,11.9
2015/12/16,13.6,16.4,10.5
2015/12/17,10.6,13.6,7.6
2015/12/18,7.1,10.2,4.3
2015/12/19,7.5,11.5,3.6
2015/12/20,7.3,10.8,2.8
2015/12/21,9.5,11.9,7.3
2015/12/22,10.2,13.6,6.4
2015/12/23,10.3,12.2,8.3
2015/12/24,11.5,12.9,8.0
2015/12/25,12.0,14.3,9.2
2015/12/26,9.6,12.7,6.7
2015/12/27,8.0,10.9,4.1
2015/12/28,5.8,9.6,2.7
2015/12/29,6.2,10.4,2.2
2015/12/30,7.1,10.9,3.1
2015/12/31,9.2,10.8,7.9
2016/1/1,8.1,11.2,4.2
2016/1/2,8.6,12.0,4.6
2016/1/3,11.0,16.7,5.8
2016/1/4,9.9,14.9,5.5
2016/1/5,11.8,14.5,7.7
2016/1/6,9.8,10.5,8.9
2016/1/7,9.2,12.6,5.6
2016/1/8,8.8,13.3,5.4
2016/1/9,7.6,10.3,3.7
2016/1/10,9.1,13.6,4.7
2016/1/11,8.0,9.9,5.2
2016/1/12,5.6,7.1,2.6
2016/1/13,5.3,10.0,0.8
2016/1/14,6.8,11.0,3.1
2016/1/15,8.1,9.8,6.7
2016/1/16,7.8,10.6,3.9
2016/1/17,7.8,9.4,6.3
2016/1/18,9.6,17.2,6.0
2016/1/19,6.8,10.0,2.4
2016/1/20,4.1,8.3,0.0
2016/1/21,5.1,9.1,1.3
2016/1/22,5.7,10.0,2.7
2016/1/23,6.0,7.9,2.5
2016/1/24,3.7,7.8,0.1
2016/1/25,2.8,7.4,-1.3
2016/1/26,4.3,8.9,-0.6
2016/1/27,6.7,12.4,1.0
2016/1/28,8.2,12.9,3.4
2016/1/29,7.0,10.2,4.5
2016/1/30,6.0,6.8,4.8
2016/1/31,7.2,9.4,3.0
2016/2/1,6.0,9.1,4.4
2016/2/2,5.5,8.4,2.8
2016/2/3,5.2,6.7,2.2
2016/2/4,6.3,8.2,4.3
2016/2/5,7.1,11.0,2.4
2016/2/6,8.1,9.1,6.2
2016/2/7,5.1,6.7,4.1
2016/2/8,7.2,11.5,3.7
2016/2/9,6.7,13.6,1.0
2016/2/10,5.3,10.2,2.5
2016/2/11,5.4,8.0,1.1
2016/2/12,9.0,12.1,3.3
2016/2/13,14.7,19.2,9.3
2016/2/14,17.7,20.0,15.7
2016/2/15,7.1,16.7,2.3
2016/2/16,5.7,8.7,1.7
2016/2/17,7.1,13.3,2.8
2016/2/18,6.7,10.4,2.4
2016/2/19,10.5,16.4,4.4
2016/2/20,13.4,17.1,7.1
2016/2/21,10.6,16.1,7.8
2016/2/22,7.4,8.6,6.6
2016/2/23,7.8,10.3,6.1
2016/2/24,5.9,7.9,2.9
2016/2/25,4.1,6.4,1.3
2016/2/26,6.2,9.6,2.6
2016/2/27,7.6,10.9,2.4
2016/2/28,9.5,12.4,6.3
2016/2/29,11.3,16.1,4.6
2016/3/1,5.0,9.2,1.4
2016/3/2,6.2,11.7,0.4
2016/3/3,10.6,16.2,4.0
2016/3/4,10.2,12.2,8.9
2016/3/5,11.2,13.3,9.2
2016/3/6,12.8,16.8,8.3
2016/3/7,15.3,16.8,12.2
2016/3/8,13.3,15.2,11.1
2016/3/9,9.1,14.2,5.8
2016/3/10,7.0,8.4,5.8
2016/3/11,5.7,7.0,4.1
2016/3/12,7.0,8.1,6.1
2016/3/13,8.2,9.1,7.3
2016/3/14,7.8,9.3,6.0
2016/3/15,8.0,11.5,5.5
2016/3/16,9.7,12.0,6.3
2016/3/17,12.3,16.0,7.0
2016/3/18,15.2,18.9,8.7
2016/3/19,14.0,17.3,11.3
2016/3/20,11.2,12.9,9.3
2016/3/21,8.4,10.3,7.2
2016/3/22,10.8,15.4,6.5
2016/3/23,10.4,13.1,7.5
2016/3/24,7.0,8.6,4.9
2016/3/25,7.4,10.9,5.2
2016/3/26,7.5,9.6,6.1
2016/3/27,9.8,11.9,8.4
2016/3/28,10.3,12.0,9.0
2016/3/29,11.4,14.4,7.6
2016/3/30,15.4,18.9,12.2
2016/3/31,13.7,16.7,10.2
