ダウンロードした時刻：2017/07/24 15:45:40

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,7.4,12.2,3.7
2000/1/2,5.9,11.1,1.5
2000/1/3,9.1,14.9,3.1
2000/1/4,6.4,11.7,1.8
2000/1/5,7.3,12.3,0.8
2000/1/6,12.1,16.5,8.9
2000/1/7,9.6,13.3,4.1
2000/1/8,6.6,9.8,3.8
2000/1/9,6.1,9.6,2.2
2000/1/10,9.4,13.8,6.6
2000/1/11,6.9,9.3,3.2
2000/1/12,7.4,9.3,5.7
2000/1/13,9.5,12.1,7.0
2000/1/14,9.8,12.7,6.3
2000/1/15,7.6,11.2,4.1
2000/1/16,5.8,7.6,3.7
2000/1/17,7.8,11.1,4.4
2000/1/18,7.0,10.6,2.0
2000/1/19,4.9,10.5,0.2
2000/1/20,2.3,6.0,0.2
2000/1/21,2.5,5.8,0.1
2000/1/22,3.4,6.5,0.0
2000/1/23,6.1,7.7,3.7
2000/1/24,9.9,12.5,7.0
2000/1/25,4.8,9.0,1.9
2000/1/26,2.4,5.8,0.8
2000/1/27,2.2,4.7,-1.0
2000/1/28,2.2,7.3,-1.9
2000/1/29,3.8,9.3,-2.3
2000/1/30,5.8,8.8,2.0
2000/1/31,4.5,7.7,1.1
2000/2/1,3.4,7.4,-1.5
2000/2/2,6.4,10.3,2.7
2000/2/3,6.4,10.6,2.0
2000/2/4,6.0,9.6,1.1
2000/2/5,4.0,9.5,-1.9
2000/2/6,6.5,8.2,4.6
2000/2/7,7.2,10.7,4.3
2000/2/8,3.4,7.6,0.6
2000/2/9,3.7,7.2,0.7
2000/2/10,4.8,10.3,-0.6
2000/2/11,7.0,12.8,0.0
2000/2/12,7.6,13.2,1.9
2000/2/13,8.3,13.4,3.5
2000/2/14,8.7,14.2,4.5
2000/2/15,3.5,7.9,0.9
2000/2/16,2.3,6.1,0.7
2000/2/17,3.1,8.0,-2.0
2000/2/18,4.7,9.1,0.0
2000/2/19,3.4,6.7,0.6
2000/2/20,5.6,9.8,2.0
2000/2/21,5.0,8.4,2.4
2000/2/22,4.3,8.6,-0.6
2000/2/23,4.2,9.2,-0.5
2000/2/24,5.6,10.7,1.9
2000/2/25,3.0,7.3,-0.9
2000/2/26,4.3,9.8,0.9
2000/2/27,5.2,9.3,0.9
2000/2/28,5.1,10.6,-0.6
2000/2/29,3.3,7.9,-0.4
2000/3/1,4.6,10.1,-0.7
2000/3/2,7.0,15.6,-0.6
2000/3/3,8.5,15.4,0.7
2000/3/4,9.4,10.7,7.8
2000/3/5,10.7,14.7,7.3
2000/3/6,10.0,16.0,5.2
2000/3/7,9.2,13.9,4.2
2000/3/8,5.1,9.9,1.0
2000/3/9,6.1,10.3,0.9
2000/3/10,6.2,12.0,-0.4
2000/3/11,4.9,8.6,2.5
2000/3/12,6.9,13.8,1.4
2000/3/13,9.5,15.9,4.9
2000/3/14,7.9,15.6,1.5
2000/3/15,7.7,13.5,0.7
2000/3/16,11.2,15.9,7.3
2000/3/17,8.9,13.6,4.2
2000/3/18,8.1,15.1,0.6
2000/3/19,9.0,11.2,7.4
2000/3/20,8.6,12.6,3.5
2000/3/21,7.4,13.6,1.3
2000/3/22,10.2,14.7,5.6
2000/3/23,7.7,12.1,1.7
2000/3/24,10.4,13.8,8.5
2000/3/25,9.1,13.0,5.8
2000/3/26,11.2,16.0,7.0
2000/3/27,10.8,18.0,4.0
2000/3/28,12.5,18.1,9.9
2000/3/29,10.7,13.7,9.5
2000/3/30,12.5,17.3,8.4
2000/3/31,9.7,14.1,5.6
2000/4/1,11.8,18.2,7.3
2000/4/2,10.2,13.3,5.5
2000/4/3,12.6,17.4,9.8
2000/4/4,13.2,18.6,6.7
2000/4/5,13.2,16.4,11.0
2000/4/6,12.9,17.3,9.8
2000/4/7,13.2,19.5,7.3
2000/4/8,13.9,18.3,10.0
2000/4/9,13.0,18.8,6.5
2000/4/10,15.0,18.5,10.1
2000/4/11,12.1,16.9,8.3
2000/4/12,15.5,21.4,10.9
2000/4/13,17.2,23.2,11.2
2000/4/14,19.5,26.0,12.9
2000/4/15,11.7,15.6,9.5
2000/4/16,11.3,15.3,7.9
2000/4/17,13.1,20.2,5.0
2000/4/18,16.8,23.9,8.4
2000/4/19,15.4,20.9,12.8
2000/4/20,16.7,21.5,13.6
2000/4/21,14.8,19.0,12.4
2000/4/22,17.2,23.5,10.5
2000/4/23,16.5,20.3,13.1
2000/4/24,15.5,20.2,11.2
2000/4/25,15.7,22.6,7.0
2000/4/26,13.5,15.7,12.3
2000/4/27,15.4,20.1,12.5
2000/4/28,13.0,16.5,10.2
2000/4/29,14.6,22.1,8.1
2000/4/30,14.2,18.8,9.0
2000/5/1,17.5,23.0,12.9
