ダウンロードした時刻：2017/07/24 15:38:32

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,2.6,4.3,1.4
1983/1/2,2.8,5.6,0.1
1983/1/3,4.3,5.4,2.3
1983/1/4,5.1,8.0,3.0
1983/1/5,7.2,10.1,4.3
1983/1/6,5.3,8.2,2.7
1983/1/7,7.9,11.6,2.9
1983/1/8,7.5,14.2,1.8
1983/1/9,1.3,2.8,0.0
1983/1/10,-0.6,0.9,-1.9
1983/1/11,2.2,4.7,-1.2
1983/1/12,2.8,4.5,1.3
1983/1/13,1.4,2.6,0.4
1983/1/14,2.0,3.7,0.3
1983/1/15,3.2,4.0,2.3
1983/1/16,4.5,6.3,2.3
1983/1/17,4.7,6.4,2.8
1983/1/18,3.9,5.1,2.9
1983/1/19,2.1,5.1,0.2
1983/1/20,0.5,1.8,-0.7
1983/1/21,-1.2,0.9,-2.8
1983/1/22,-0.9,0.1,-2.7
1983/1/23,2.2,5.1,-2.3
1983/1/24,4.4,5.9,2.4
1983/1/25,7.3,8.9,4.3
1983/1/26,5.0,8.3,4.0
1983/1/27,6.8,8.3,4.5
1983/1/28,9.5,11.4,7.2
1983/1/29,10.1,12.4,8.1
1983/1/30,2.1,8.1,0.0
1983/1/31,2.6,4.4,-0.3
1983/2/1,4.2,8.0,1.8
1983/2/2,5.0,7.1,2.8
1983/2/3,2.1,4.3,0.8
1983/2/4,2.6,4.5,0.6
1983/2/5,4.2,7.1,0.9
1983/2/6,4.7,7.0,2.6
1983/2/7,3.5,5.6,1.5
1983/2/8,1.1,3.5,-0.3
1983/2/9,2.1,4.4,-0.1
1983/2/10,-0.6,1.2,-2.1
1983/2/11,-0.6,1.0,-2.1
1983/2/12,-2.5,-1.2,-3.4
1983/2/13,-2.7,-1.3,-4.2
1983/2/14,-1.8,-0.4,-3.6
1983/2/15,3.5,7.6,-1.3
1983/2/16,2.4,4.2,1.0
1983/2/17,4.5,6.0,0.0
1983/2/18,4.6,7.8,1.0
1983/2/19,3.7,5.7,1.0
1983/2/20,2.2,5.0,-1.0
1983/2/21,0.8,2.1,-1.4
1983/2/22,1.5,3.1,-0.7
1983/2/23,3.6,5.9,-0.7
1983/2/24,3.2,7.0,0.2
1983/2/25,2.7,4.5,0.5
1983/2/26,1.2,2.9,-0.9
1983/2/27,2.6,5.4,-0.2
1983/2/28,6.0,8.6,1.2
1983/3/1,7.5,10.6,3.5
1983/3/2,8.5,14.1,4.4
1983/3/3,5.3,10.2,4.1
1983/3/4,3.6,5.6,1.5
1983/3/5,3.0,5.2,0.8
1983/3/6,2.9,5.7,0.1
1983/3/7,2.0,4.0,-0.1
1983/3/8,2.4,4.6,-0.6
1983/3/9,4.3,7.5,1.2
1983/3/10,5.9,9.4,1.8
1983/3/11,6.1,8.8,3.5
1983/3/12,7.8,13.2,3.0
1983/3/13,5.5,7.5,2.8
1983/3/14,2.4,4.1,0.3
1983/3/15,4.4,7.1,0.0
1983/3/16,5.8,10.2,-0.3
1983/3/17,6.5,8.3,4.9
1983/3/18,2.0,5.0,0.0
1983/3/19,3.6,6.9,1.2
1983/3/20,7.9,12.7,1.6
1983/3/21,9.0,11.4,6.9
1983/3/22,7.3,11.9,3.6
1983/3/23,9.4,15.0,5.2
1983/3/24,7.4,10.0,4.8
1983/3/25,6.1,8.5,2.7
1983/3/26,5.9,9.5,2.8
1983/3/27,5.8,9.6,2.4
1983/3/28,5.8,10.2,1.7
1983/3/29,8.5,13.3,3.5
1983/3/30,8.6,12.8,3.9
1983/3/31,10.6,15.2,3.6
1983/4/1,13.3,16.9,9.2
1983/4/2,9.8,14.8,8.5
1983/4/3,9.8,11.7,7.0
1983/4/4,10.0,13.0,5.7
1983/4/5,9.6,13.4,4.4
1983/4/6,14.1,19.6,6.3
1983/4/7,14.4,18.6,10.9
1983/4/8,10.8,13.9,5.2
1983/4/9,10.6,16.8,4.7
1983/4/10,15.7,18.1,11.2
1983/4/11,12.1,15.9,10.3
1983/4/12,10.2,13.9,6.3
1983/4/13,10.6,14.8,5.0
1983/4/14,18.6,23.4,10.8
1983/4/15,14.9,18.7,11.9
1983/4/16,9.2,12.7,6.9
1983/4/17,9.4,13.3,6.3
1983/4/18,11.0,14.5,7.2
1983/4/19,13.6,18.3,9.9
1983/4/20,10.8,13.7,5.2
1983/4/21,11.9,15.4,4.2
1983/4/22,14.0,16.1,12.2
1983/4/23,12.5,14.7,10.1
1983/4/24,14.9,19.7,10.7
1983/4/25,15.4,21.0,10.8
1983/4/26,20.3,26.1,13.0
1983/4/27,17.7,21.2,14.6
1983/4/28,18.4,23.2,14.0
1983/4/29,16.5,25.1,9.5
1983/4/30,11.1,13.4,8.3
1983/5/1,13.2,19.6,9.1
