ダウンロードした時刻：2017/07/24 15:47:42

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,6.7,13.2,2.1
1983/1/2,7.6,15.1,1.8
1983/1/3,8.2,15.1,2.3
1983/1/4,6.7,13.2,-0.4
1983/1/5,11.9,16.1,7.2
1983/1/6,14.0,16.2,12.3
1983/1/7,13.7,17.2,10.5
1983/1/8,9.2,13.5,6.1
1983/1/9,6.2,11.2,1.9
1983/1/10,4.3,9.3,0.6
1983/1/11,4.7,10.3,-2.6
1983/1/12,6.6,8.7,5.0
1983/1/13,7.0,10.7,4.4
1983/1/14,5.0,10.6,-0.3
1983/1/15,5.6,12.0,-1.1
1983/1/16,7.1,14.1,1.7
1983/1/17,7.5,11.3,2.1
1983/1/18,11.3,18.0,7.4
1983/1/19,6.4,11.4,2.3
1983/1/20,3.7,8.2,0.0
1983/1/21,3.5,8.5,-0.7
1983/1/22,2.0,7.3,-1.8
1983/1/23,3.0,10.2,-4.0
1983/1/24,5.2,12.4,-0.9
1983/1/25,6.8,15.0,0.6
1983/1/26,6.9,14.4,0.5
1983/1/27,7.2,15.5,0.5
1983/1/28,10.2,17.7,3.6
1983/1/29,10.2,18.2,2.9
1983/1/30,12.8,20.9,7.7
1983/1/31,6.9,12.6,1.2
1983/2/1,8.6,11.7,2.8
1983/2/2,14.6,18.0,10.7
1983/2/3,11.7,15.4,8.4
1983/2/4,8.0,12.4,4.5
1983/2/5,8.9,16.2,2.1
1983/2/6,10.0,17.3,2.8
1983/2/7,9.8,15.1,5.6
1983/2/8,7.3,11.9,3.2
1983/2/9,8.4,13.2,4.0
1983/2/10,6.7,10.7,3.6
1983/2/11,5.2,11.7,0.0
1983/2/12,5.8,12.2,0.4
1983/2/13,3.9,9.1,0.3
1983/2/14,3.9,9.3,-2.4
1983/2/15,11.1,19.2,4.4
1983/2/16,8.9,12.0,3.7
1983/2/17,9.7,12.0,7.8
1983/2/18,5.4,9.2,1.8
1983/2/19,3.9,8.5,1.0
1983/2/20,4.3,9.9,-0.3
1983/2/21,3.0,8.6,-2.7
1983/2/22,6.3,12.7,-1.5
1983/2/23,9.2,13.6,3.9
1983/2/24,11.4,15.6,8.9
1983/2/25,9.2,14.2,4.7
1983/2/26,6.9,13.4,0.7
1983/2/27,7.5,13.7,0.5
1983/2/28,8.5,12.7,2.9
1983/3/1,12.4,14.2,9.6
1983/3/2,16.5,21.6,13.6
1983/3/3,13.7,18.0,11.0
1983/3/4,9.4,13.0,6.8
1983/3/5,8.3,12.2,5.2
1983/3/6,8.9,15.6,2.8
1983/3/7,8.5,15.0,2.0
1983/3/8,5.4,10.5,-0.3
1983/3/9,6.6,10.9,0.2
1983/3/10,12.8,19.8,8.6
1983/3/11,10.3,16.2,4.1
1983/3/12,11.2,14.5,6.1
1983/3/13,12.8,18.5,7.0
1983/3/14,9.4,13.5,5.8
1983/3/15,9.9,12.9,6.5
1983/3/16,11.7,13.6,9.1
1983/3/17,9.7,12.5,6.3
1983/3/18,9.0,15.6,4.9
1983/3/19,9.4,15.2,1.2
1983/3/20,12.3,15.3,8.5
1983/3/21,15.4,19.4,12.5
1983/3/22,17.2,20.1,15.1
1983/3/23,17.9,21.8,15.4
1983/3/24,16.9,20.9,13.3
1983/3/25,13.2,16.2,10.3
1983/3/26,11.3,12.5,10.3
1983/3/27,12.7,14.1,10.8
1983/3/28,12.6,13.9,11.4
1983/3/29,12.3,13.5,10.7
1983/3/30,13.2,15.1,12.4
1983/3/31,15.2,18.3,12.4
1983/4/1,14.4,18.6,10.9
1983/4/2,15.5,22.7,10.7
1983/4/3,15.4,21.7,9.0
1983/4/4,16.8,23.5,11.3
1983/4/5,13.6,20.4,7.5
1983/4/6,15.1,21.8,6.8
1983/4/7,14.8,17.8,12.5
1983/4/8,17.0,21.0,14.7
1983/4/9,17.3,21.6,13.3
1983/4/10,19.6,22.5,16.6
1983/4/11,19.9,24.0,17.6
1983/4/12,18.8,22.8,14.3
1983/4/13,18.4,20.9,14.8
1983/4/14,19.3,19.9,18.2
1983/4/15,21.6,27.3,18.0
1983/4/16,16.3,20.1,13.2
1983/4/17,14.4,16.5,12.5
1983/4/18,16.3,21.0,9.9
1983/4/19,20.9,24.6,16.9
1983/4/20,20.0,24.4,16.2
1983/4/21,17.4,19.7,13.2
1983/4/22,18.6,22.2,15.7
1983/4/23,17.6,22.0,13.5
1983/4/24,18.7,23.3,15.2
1983/4/25,19.1,24.6,12.7
1983/4/26,20.0,23.3,15.7
1983/4/27,23.5,28.8,18.4
1983/4/28,24.7,31.4,18.9
1983/4/29,20.2,26.5,13.8
1983/4/30,15.8,20.2,11.2
1983/5/1,14.2,15.5,12.9
