ダウンロードした時刻：2017/07/24 15:47:44

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,4.6,11.4,-1.5
1990/1/2,7.2,12.7,2.3
1990/1/3,5.3,9.9,1.3
1990/1/4,4.2,11.1,-1.6
1990/1/5,5.7,13.8,-1.7
1990/1/6,8.5,14.3,3.2
1990/1/7,4.4,11.3,-1.1
1990/1/8,7.0,13.2,-0.2
1990/1/9,11.7,14.9,8.2
1990/1/10,14.1,19.3,9.6
1990/1/11,10.0,15.0,4.4
1990/1/12,11.1,16.9,8.3
1990/1/13,7.7,11.8,3.3
1990/1/14,6.4,13.1,1.1
1990/1/15,4.4,8.1,0.8
1990/1/16,6.4,12.1,2.9
1990/1/17,4.8,11.5,-1.1
1990/1/18,8.7,14.3,1.7
1990/1/19,11.9,17.1,8.3
1990/1/20,6.1,10.0,2.8
1990/1/21,5.6,10.8,1.8
1990/1/22,7.3,12.6,2.3
1990/1/23,3.3,6.5,-0.1
1990/1/24,1.6,8.6,-3.3
1990/1/25,2.2,7.0,-1.3
1990/1/26,2.7,9.0,-2.6
1990/1/27,4.3,10.4,0.7
1990/1/28,5.5,9.0,-0.1
1990/1/29,13.2,19.9,7.6
1990/1/30,12.1,14.5,8.7
1990/1/31,10.6,12.8,8.9
1990/2/1,8.7,10.9,6.2
1990/2/2,7.4,12.1,1.0
1990/2/3,9.6,12.0,7.5
1990/2/4,9.7,13.0,7.9
1990/2/5,9.9,14.5,6.4
1990/2/6,10.2,13.3,7.6
1990/2/7,11.5,14.2,8.8
1990/2/8,8.7,10.8,7.9
1990/2/9,9.6,14.8,5.9
1990/2/10,9.7,15.1,3.3
1990/2/11,13.0,16.2,9.3
1990/2/12,10.1,16.3,4.1
1990/2/13,9.2,13.3,4.0
1990/2/14,9.5,11.2,7.5
1990/2/15,12.1,13.9,10.5
1990/2/16,11.4,16.1,7.9
1990/2/17,8.0,14.2,1.2
1990/2/18,9.9,15.4,3.3
1990/2/19,15.2,17.8,12.0
1990/2/20,14.2,22.2,8.0
1990/2/21,11.3,15.3,6.5
1990/2/22,13.8,16.9,10.8
1990/2/23,17.7,20.9,15.8
1990/2/24,15.1,17.5,12.6
1990/2/25,12.3,14.6,11.4
1990/2/26,12.5,14.9,10.2
1990/2/27,12.5,17.8,8.8
1990/2/28,9.3,11.1,7.0
1990/3/1,11.7,13.4,9.7
1990/3/2,12.9,15.2,10.6
1990/3/3,11.2,15.0,8.4
1990/3/4,9.9,15.8,3.7
1990/3/5,10.9,16.2,6.3
1990/3/6,10.5,15.5,5.9
1990/3/7,10.1,16.5,5.1
1990/3/8,7.7,13.9,0.8
1990/3/9,10.4,18.7,2.7
1990/3/10,10.6,18.1,3.5
1990/3/11,12.7,19.3,5.5
1990/3/12,12.8,15.7,6.9
1990/3/13,9.6,16.3,1.9
1990/3/14,12.1,17.3,5.4
1990/3/15,16.4,21.4,10.7
1990/3/16,12.2,16.7,7.9
1990/3/17,10.5,15.3,6.6
1990/3/18,11.6,17.1,5.5
1990/3/19,10.2,17.6,1.5
1990/3/20,13.3,19.8,8.4
1990/3/21,13.5,19.3,7.7
1990/3/22,15.0,21.3,7.6
1990/3/23,15.4,20.0,10.4
1990/3/24,16.3,17.9,13.7
1990/3/25,11.4,13.7,7.6
1990/3/26,10.4,15.9,4.7
1990/3/27,12.6,17.9,4.4
1990/3/28,15.6,18.5,12.4
1990/3/29,18.6,23.7,15.7
1990/3/30,15.8,18.2,14.2
1990/3/31,15.2,19.1,12.9
1990/4/1,15.0,17.2,12.4
1990/4/2,15.8,22.7,9.9
1990/4/3,15.5,21.8,8.4
1990/4/4,14.9,20.1,9.2
1990/4/5,11.2,16.5,7.2
1990/4/6,13.3,18.5,6.3
1990/4/7,13.1,16.3,9.2
1990/4/8,14.7,19.3,10.5
1990/4/9,15.8,21.6,7.9
1990/4/10,13.6,18.4,9.2
1990/4/11,15.0,16.9,12.1
1990/4/12,17.4,20.0,14.9
1990/4/13,17.6,21.5,13.5
1990/4/14,16.2,22.1,11.9
1990/4/15,16.0,22.4,11.2
1990/4/16,16.0,23.1,9.4
1990/4/17,14.6,18.9,10.6
1990/4/18,13.3,17.6,7.0
1990/4/19,13.6,17.3,8.3
1990/4/20,14.7,16.8,11.6
1990/4/21,16.4,17.6,15.6
1990/4/22,18.6,20.2,16.1
1990/4/23,17.9,22.5,15.2
1990/4/24,15.1,20.4,10.2
1990/4/25,14.1,19.1,7.3
1990/4/26,17.1,22.1,13.2
1990/4/27,17.7,23.0,10.6
1990/4/28,19.1,24.0,13.1
1990/4/29,20.3,24.8,16.4
1990/4/30,17.7,22.2,12.9
1990/5/1,17.9,22.4,10.1
