ダウンロードした時刻：2017/07/24 15:46:05

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,6.1,10.8,1.7
1985/1/2,6.9,11.1,2.9
1985/1/3,6.1,9.1,4.1
1985/1/4,5.7,9.3,3.8
1985/1/5,4.3,8.0,1.3
1985/1/6,5.3,9.4,2.0
1985/1/7,5.1,8.8,2.2
1985/1/8,4.7,8.6,1.8
1985/1/9,5.5,10.2,1.3
1985/1/10,6.9,12.9,2.4
1985/1/11,5.6,9.1,2.2
1985/1/12,6.1,10.9,1.4
1985/1/13,3.3,7.7,0.2
1985/1/14,-1.3,0.6,-2.5
1985/1/15,1.3,5.8,-2.7
1985/1/16,4.7,10.3,-0.7
1985/1/17,3.5,6.9,0.7
1985/1/18,3.5,6.5,1.0
1985/1/19,5.0,8.7,-0.8
1985/1/20,6.3,8.8,3.3
1985/1/21,5.0,8.2,0.9
1985/1/22,4.3,8.7,-1.6
1985/1/23,6.9,11.8,3.9
1985/1/24,5.8,9.2,1.6
1985/1/25,4.2,6.9,2.5
1985/1/26,4.9,9.1,1.4
1985/1/27,5.4,9.9,-0.6
1985/1/28,6.2,9.5,2.4
1985/1/29,2.4,5.9,-0.7
1985/1/30,-0.1,3.6,-1.4
1985/1/31,2.8,7.5,-1.4
1985/2/1,5.8,11.8,-1.3
1985/2/2,8.8,13.2,5.8
1985/2/3,8.6,14.8,2.4
1985/2/4,7.9,12.6,2.0
1985/2/5,7.4,8.4,6.0
1985/2/6,6.9,8.0,5.1
1985/2/7,8.7,13.4,4.1
1985/2/8,6.8,8.4,4.3
1985/2/9,11.9,16.4,6.9
1985/2/10,8.9,13.4,5.6
1985/2/11,7.0,10.9,3.9
1985/2/12,5.8,10.0,1.8
1985/2/13,6.8,13.4,2.8
1985/2/14,4.2,8.1,1.9
1985/2/15,5.4,10.5,0.4
1985/2/16,5.1,7.9,3.3
1985/2/17,6.1,9.8,3.0
1985/2/18,5.3,8.2,2.5
1985/2/19,6.4,7.7,4.8
1985/2/20,7.3,11.1,3.9
1985/2/21,3.3,7.4,-0.8
1985/2/22,2.3,5.2,-1.0
1985/2/23,3.3,7.5,-0.4
1985/2/24,2.5,6.4,-1.0
1985/2/25,4.4,8.2,0.9
1985/2/26,5.2,7.6,2.2
1985/2/27,6.0,8.5,4.1
1985/2/28,6.7,8.8,3.7
1985/3/1,10.3,14.0,7.8
1985/3/2,7.5,9.6,5.5
1985/3/3,7.7,10.5,4.4
1985/3/4,6.0,10.3,1.7
1985/3/5,8.1,11.4,4.8
1985/3/6,7.7,11.3,4.7
1985/3/7,8.3,13.4,3.6
1985/3/8,14.0,18.3,8.1
1985/3/9,10.4,16.7,8.4
1985/3/10,7.6,10.2,5.7
1985/3/11,5.8,6.6,5.0
1985/3/12,7.6,11.1,5.4
1985/3/13,6.8,10.1,3.3
1985/3/14,7.5,9.7,5.0
1985/3/15,7.2,10.8,4.6
1985/3/16,9.3,14.6,3.6
1985/3/17,11.0,12.9,9.3
1985/3/18,11.9,15.6,9.9
1985/3/19,8.0,9.9,6.8
1985/3/20,8.9,11.8,6.8
1985/3/21,9.4,12.8,7.7
1985/3/22,9.8,14.5,4.7
1985/3/23,9.1,13.0,6.1
1985/3/24,10.9,16.6,4.7
1985/3/25,13.8,17.3,7.3
1985/3/26,14.5,18.6,11.9
1985/3/27,12.7,14.9,9.9
1985/3/28,13.1,16.4,10.2
1985/3/29,13.1,17.8,9.1
1985/3/30,9.9,13.3,7.6
1985/3/31,7.9,11.2,4.9
1985/4/1,8.3,13.7,3.9
1985/4/2,10.8,15.8,3.1
1985/4/3,14.2,17.3,11.5
1985/4/4,15.6,19.2,12.5
1985/4/5,14.1,20.0,10.4
1985/4/6,11.5,15.8,6.4
1985/4/7,11.7,13.8,10.5
1985/4/8,16.9,23.0,11.2
1985/4/9,17.7,26.0,12.5
1985/4/10,16.9,22.6,10.2
1985/4/11,13.9,17.3,11.9
1985/4/12,11.5,12.6,10.6
1985/4/13,15.8,20.4,12.3
1985/4/14,15.4,17.6,11.9
1985/4/15,14.1,16.8,11.7
1985/4/16,13.2,18.5,10.4
1985/4/17,13.8,19.7,7.8
1985/4/18,14.5,20.5,9.9
1985/4/19,16.2,21.7,8.6
1985/4/20,18.0,22.8,13.1
1985/4/21,17.0,21.7,10.5
1985/4/22,16.8,21.4,12.6
1985/4/23,19.1,24.6,14.9
1985/4/24,16.9,20.6,12.9
1985/4/25,15.5,22.4,9.4
1985/4/26,17.9,22.3,10.4
1985/4/27,16.7,21.6,12.7
1985/4/28,14.8,19.4,10.0
1985/4/29,15.7,21.6,9.3
1985/4/30,17.9,24.4,10.1
1985/5/1,17.9,23.7,11.8
