ダウンロードした時刻：2017/07/24 15:39:48

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,-2.1,-0.2,-4.1
1990/1/2,-0.8,1.8,-3.4
1990/1/3,-1.2,2.9,-3.1
1990/1/4,-2.0,1.1,-3.7
1990/1/5,-0.4,5.0,-6.7
1990/1/6,1.1,3.4,-1.6
1990/1/7,-2.6,-0.6,-6.5
1990/1/8,-3.9,3.1,-9.6
1990/1/9,-0.3,6.9,-5.2
1990/1/10,4.1,11.4,0.2
1990/1/11,1.7,5.1,-1.2
1990/1/12,3.5,10.2,-1.4
1990/1/13,-0.7,3.3,-4.3
1990/1/14,-0.8,4.0,-4.3
1990/1/15,0.0,3.4,-2.8
1990/1/16,0.0,3.2,-1.4
1990/1/17,0.0,6.0,-3.7
1990/1/18,1.2,6.6,-4.7
1990/1/19,1.8,2.9,0.5
1990/1/20,-2.4,1.9,-6.3
1990/1/21,-2.4,3.8,-7.2
1990/1/22,-1.3,5.3,-7.3
1990/1/23,-3.0,-0.9,-5.4
1990/1/24,-5.1,-1.0,-7.8
1990/1/25,-6.4,-2.5,-11.1
1990/1/26,-6.8,-1.4,-11.9
1990/1/27,-7.3,-1.2,-12.7
1990/1/28,-4.3,1.7,-11.2
1990/1/29,-0.6,1.5,-3.8
1990/1/30,-0.5,2.0,-2.7
1990/1/31,-2.0,-1.0,-3.0
1990/2/1,-1.2,1.3,-2.7
1990/2/2,-2.2,3.6,-7.8
1990/2/3,0.4,5.3,-3.9
1990/2/4,2.3,6.8,-0.8
1990/2/5,1.0,6.0,-3.9
1990/2/6,0.7,7.7,-3.9
1990/2/7,1.2,9.4,-2.9
1990/2/8,0.8,3.6,-1.4
1990/2/9,-0.1,4.8,-4.1
1990/2/10,2.2,9.1,-6.3
1990/2/11,5.1,7.0,3.1
1990/2/12,1.7,5.1,-0.6
1990/2/13,1.0,5.3,-1.9
1990/2/14,0.9,3.9,-2.6
1990/2/15,2.9,6.3,0.8
1990/2/16,2.2,5.3,0.5
1990/2/17,2.9,8.6,-1.5
1990/2/18,3.5,9.7,-2.1
1990/2/19,6.0,9.2,2.9
1990/2/20,8.4,14.4,3.4
1990/2/21,5.7,11.2,1.2
1990/2/22,9.1,18.5,2.5
1990/2/23,9.3,12.4,6.8
1990/2/24,8.4,11.3,5.9
1990/2/25,5.0,6.2,2.5
1990/2/26,4.9,7.5,2.5
1990/2/27,3.0,6.5,0.3
1990/2/28,3.2,9.7,-0.5
1990/3/1,2.5,4.8,-1.2
1990/3/2,4.2,6.4,1.7
1990/3/3,6.0,9.9,0.9
1990/3/4,3.0,7.3,-0.8
1990/3/5,2.3,8.9,-1.9
1990/3/6,2.2,7.9,-2.6
1990/3/7,1.3,7.3,-2.5
1990/3/8,-0.7,2.4,-3.6
1990/3/9,2.7,10.3,-3.1
1990/3/10,4.0,12.6,-3.2
1990/3/11,6.5,17.0,-3.3
1990/3/12,4.0,11.4,-2.1
1990/3/13,-1.5,2.4,-4.8
1990/3/14,2.0,12.5,-6.8
1990/3/15,5.1,11.7,2.3
1990/3/16,3.6,9.2,-1.2
1990/3/17,2.2,8.9,-3.1
1990/3/18,2.3,7.1,-2.6
1990/3/19,4.0,11.6,-0.7
1990/3/20,4.3,14.8,-2.6
1990/3/21,3.1,9.6,-2.6
1990/3/22,5.9,16.0,-3.6
1990/3/23,9.0,19.8,-0.9
1990/3/24,7.9,11.1,4.2
1990/3/25,2.1,5.3,-0.3
1990/3/26,1.7,7.1,-2.0
1990/3/27,4.9,13.3,-3.8
1990/3/28,6.0,13.2,1.7
1990/3/29,5.8,8.8,3.8
1990/3/30,10.3,16.7,5.7
1990/3/31,10.7,12.8,8.2
1990/4/1,11.9,17.6,7.7
1990/4/2,10.0,18.5,3.8
1990/4/3,11.3,19.9,0.4
1990/4/4,9.4,13.1,3.6
1990/4/5,2.3,6.3,-0.6
1990/4/6,3.1,10.8,-0.6
1990/4/7,4.4,11.4,-1.7
1990/4/8,7.2,11.4,4.2
1990/4/9,8.6,17.5,2.3
1990/4/10,9.7,19.3,1.6
1990/4/11,11.4,22.1,1.2
1990/4/12,13.0,21.4,2.2
1990/4/13,11.7,14.0,8.8
1990/4/14,11.7,15.4,8.7
1990/4/15,7.9,13.0,5.5
1990/4/16,6.4,11.0,3.3
1990/4/17,6.4,11.8,4.3
1990/4/18,5.6,9.8,2.9
1990/4/19,6.8,15.7,1.9
1990/4/20,8.9,17.9,-0.4
1990/4/21,12.1,18.7,7.2
1990/4/22,13.5,22.8,6.7
1990/4/23,10.9,14.9,4.6
1990/4/24,6.3,12.8,0.5
1990/4/25,8.5,17.2,-1.0
1990/4/26,13.3,20.7,5.2
1990/4/27,13.9,23.6,4.5
1990/4/28,14.3,23.6,6.3
1990/4/29,9.4,16.2,2.2
1990/4/30,7.9,14.7,0.4
1990/5/1,7.8,11.8,4.8
