ダウンロードした時刻：2017/07/24 15:46:21

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,7.2,10.6,4.3
2006/1/2,8.9,10.2,7.0
2006/1/3,7.8,9.6,6.8
2006/1/4,6.2,8.0,3.8
2006/1/5,3.9,5.7,1.8
2006/1/6,3.5,4.9,1.1
2006/1/7,3.5,5.5,1.9
2006/1/8,4.7,7.2,2.1
2006/1/9,5.4,9.7,0.6
2006/1/10,8.4,10.3,6.1
2006/1/11,7.4,11.3,4.4
2006/1/12,7.3,10.0,3.3
2006/1/13,10.5,11.8,9.3
2006/1/14,11.1,12.7,9.3
2006/1/15,9.2,11.0,6.6
2006/1/16,7.3,8.7,6.0
2006/1/17,9.2,12.3,7.4
2006/1/18,8.4,10.5,7.1
2006/1/19,6.6,8.4,4.9
2006/1/20,5.0,6.2,3.1
2006/1/21,6.4,8.7,3.7
2006/1/22,6.4,9.6,3.2
2006/1/23,4.2,7.0,1.6
2006/1/24,5.5,8.8,2.9
2006/1/25,6.3,9.9,3.1
2006/1/26,7.3,10.2,5.4
2006/1/27,8.0,10.0,6.1
2006/1/28,7.8,10.8,5.2
2006/1/29,7.9,10.1,4.8
2006/1/30,11.7,15.9,9.2
2006/1/31,11.7,14.8,9.8
2006/2/1,10.2,11.9,8.5
2006/2/2,8.5,10.6,7.0
2006/2/3,4.7,9.3,-0.3
2006/2/4,2.6,4.9,0.3
2006/2/5,4.5,7.0,3.1
2006/2/6,4.1,5.9,1.4
2006/2/7,6.5,8.5,4.7
2006/2/8,4.0,6.8,2.8
2006/2/9,3.5,5.5,2.3
2006/2/10,6.6,8.9,3.4
2006/2/11,8.5,10.2,6.9
2006/2/12,6.2,9.7,2.5
2006/2/13,6.7,13.3,1.4
2006/2/14,10.0,13.7,5.7
2006/2/15,12.1,14.0,10.2
2006/2/16,10.0,11.8,8.8
2006/2/17,6.9,10.7,2.9
2006/2/18,4.9,7.1,2.5
2006/2/19,6.1,8.6,3.6
2006/2/20,6.5,9.8,4.0
2006/2/21,9.5,14.4,5.4
2006/2/22,9.4,11.4,6.7
2006/2/23,9.7,13.1,7.4
2006/2/24,10.0,14.4,7.1
2006/2/25,9.6,11.9,6.6
2006/2/26,11.4,14.1,8.8
2006/2/27,7.8,10.8,4.7
2006/2/28,5.8,8.6,3.0
2006/3/1,7.1,8.4,6.1
2006/3/2,5.9,7.6,2.9
2006/3/3,5.2,7.7,2.8
2006/3/4,6.4,10.9,1.7
2006/3/5,9.4,13.0,5.0
2006/3/6,11.1,14.0,9.2
2006/3/7,10.6,15.4,7.0
2006/3/8,12.5,16.1,8.9
2006/3/9,10.2,12.0,7.7
2006/3/10,12.2,17.1,9.2
2006/3/11,13.1,17.7,8.6
2006/3/12,8.7,14.6,4.3
2006/3/13,2.4,5.2,0.0
2006/3/14,5.6,7.9,3.0
2006/3/15,10.2,13.8,5.9
2006/3/16,10.1,12.9,8.3
2006/3/17,11.7,14.8,9.5
2006/3/18,10.0,11.8,9.2
2006/3/19,9.9,12.7,6.4
2006/3/20,8.9,13.5,4.9
2006/3/21,9.4,13.2,7.9
2006/3/22,9.8,10.6,9.0
2006/3/23,11.5,14.8,9.2
2006/3/24,10.8,16.0,8.1
2006/3/25,11.4,16.6,6.8
2006/3/26,12.2,16.3,9.9
2006/3/27,12.9,17.4,9.5
2006/3/28,10.2,12.8,5.8
2006/3/29,8.0,10.6,4.9
2006/3/30,9.9,12.6,7.0
2006/3/31,9.0,13.2,4.6
2006/4/1,10.2,13.5,7.5
2006/4/2,14.1,17.0,11.7
2006/4/3,14.5,18.6,10.8
2006/4/4,11.9,13.3,10.6
2006/4/5,12.0,13.7,9.1
2006/4/6,11.7,15.4,7.3
2006/4/7,13.2,17.1,8.6
2006/4/8,15.8,18.9,13.2
2006/4/9,13.2,14.9,11.1
2006/4/10,13.6,15.2,11.9
2006/4/11,15.1,21.0,12.8
2006/4/12,14.4,18.1,12.8
2006/4/13,13.1,14.6,11.3
2006/4/14,11.7,14.0,10.3
2006/4/15,10.8,11.8,9.7
2006/4/16,12.5,15.8,9.2
2006/4/17,11.9,17.0,7.1
2006/4/18,15.1,20.0,11.3
2006/4/19,17.2,22.8,12.9
2006/4/20,12.3,14.0,10.9
2006/4/21,12.9,15.7,11.1
2006/4/22,11.5,12.1,10.9
2006/4/23,14.6,18.6,11.8
2006/4/24,13.9,15.7,12.0
2006/4/25,14.3,17.0,11.4
2006/4/26,12.5,15.6,10.4
2006/4/27,14.3,17.9,12.0
2006/4/28,15.8,21.4,10.7
2006/4/29,16.7,19.7,13.3
2006/4/30,20.8,27.9,13.7
2006/5/1,23.5,28.7,19.8
