ダウンロードした時刻：2017/07/24 15:42:29

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,11.3,15.1,5.3
1988/1/2,11.7,15.6,7.8
1988/1/3,8.8,12.7,4.4
1988/1/4,11.9,17.6,4.5
1988/1/5,6.0,9.6,1.7
1988/1/6,3.2,8.5,-1.6
1988/1/7,5.0,9.3,-2.2
1988/1/8,11.0,16.1,7.0
1988/1/9,10.2,12.9,6.5
1988/1/10,4.1,7.3,0.0
1988/1/11,2.8,9.7,-2.1
1988/1/12,5.9,12.8,-2.7
1988/1/13,6.6,13.5,1.7
1988/1/14,10.1,16.3,0.2
1988/1/15,15.1,18.1,10.6
1988/1/16,10.0,14.3,6.3
1988/1/17,6.0,10.7,1.0
1988/1/18,5.8,13.4,-0.7
1988/1/19,5.2,9.8,-1.0
1988/1/20,5.7,12.8,1.1
1988/1/21,9.0,16.4,0.5
1988/1/22,14.2,20.2,5.8
1988/1/23,11.5,16.0,5.4
1988/1/24,5.7,8.2,3.9
1988/1/25,8.1,10.7,2.4
1988/1/26,7.3,12.1,1.1
1988/1/27,5.1,11.6,0.5
1988/1/28,8.0,13.1,1.6
1988/1/29,10.5,14.8,-0.3
1988/1/30,7.5,12.0,0.9
1988/1/31,8.9,12.8,5.3
1988/2/1,5.9,10.3,3.2
1988/2/2,9.1,13.1,1.7
1988/2/3,4.4,8.4,1.0
1988/2/4,5.2,9.1,-3.3
1988/2/5,13.2,17.9,1.9
1988/2/6,12.7,17.5,7.6
1988/2/7,5.7,9.3,1.8
1988/2/8,3.6,9.7,-3.0
1988/2/9,4.1,11.0,-1.9
1988/2/10,5.0,10.1,-0.1
1988/2/11,5.9,9.6,0.2
1988/2/12,3.7,8.4,-0.5
1988/2/13,3.9,10.6,-1.2
1988/2/14,5.1,7.9,0.0
1988/2/15,3.4,8.1,-0.9
1988/2/16,2.4,7.2,-2.1
1988/2/17,2.6,6.9,-0.7
1988/2/18,3.2,9.1,-1.7
1988/2/19,2.6,8.8,-3.7
1988/2/20,5.6,12.3,-3.7
1988/2/21,4.9,10.3,-0.2
1988/2/22,3.3,9.1,-2.4
1988/2/23,10.8,14.6,1.1
1988/2/24,6.7,10.3,4.9
1988/2/25,4.7,6.0,3.5
1988/2/26,5.3,6.7,3.8
1988/2/27,3.3,4.8,2.1
1988/2/28,4.8,10.2,-0.3
1988/2/29,6.6,11.9,-1.5
1988/3/1,7.8,10.5,6.0
1988/3/2,6.1,7.2,4.3
1988/3/3,6.7,12.4,1.6
1988/3/4,6.1,9.9,2.5
1988/3/5,8.3,12.8,1.6
1988/3/6,8.6,12.8,0.9
1988/3/7,8.7,13.3,3.7
1988/3/8,7.3,10.9,3.6
1988/3/9,6.7,11.0,-0.1
1988/3/10,6.6,13.0,-1.2
1988/3/11,13.5,16.4,4.3
1988/3/12,15.7,20.5,9.2
1988/3/13,10.9,15.8,4.6
1988/3/14,13.6,18.5,4.6
1988/3/15,12.3,18.8,6.0
1988/3/16,6.9,11.4,3.7
1988/3/17,6.5,7.8,5.6
1988/3/18,7.5,10.8,5.5
1988/3/19,10.4,15.3,3.2
1988/3/20,9.2,11.0,8.2
1988/3/21,7.7,10.4,6.0
1988/3/22,11.5,16.3,5.8
1988/3/23,11.6,17.2,6.1
1988/3/24,9.1,14.0,4.5
1988/3/25,8.9,10.8,5.5
1988/3/26,6.4,8.8,3.0
1988/3/27,7.7,12.0,4.3
1988/3/28,10.2,15.9,2.8
1988/3/29,8.6,9.9,7.0
1988/3/30,7.3,9.0,6.1
1988/3/31,5.8,7.3,4.6
1988/4/1,8.9,13.3,4.1
1988/4/2,9.0,10.9,6.6
1988/4/3,11.8,18.3,6.7
1988/4/4,10.9,17.3,5.0
1988/4/5,12.4,17.6,5.2
1988/4/6,14.6,19.4,10.6
1988/4/7,7.9,12.3,5.3
1988/4/8,5.1,7.6,3.2
1988/4/9,6.9,13.5,1.7
1988/4/10,8.6,15.7,0.7
1988/4/11,10.8,17.9,3.5
1988/4/12,14.6,19.6,5.8
1988/4/13,17.0,18.7,13.1
1988/4/14,16.2,20.7,9.6
1988/4/15,13.4,18.9,8.0
1988/4/16,13.3,19.5,7.5
1988/4/17,14.2,19.5,8.2
1988/4/18,14.8,18.7,9.3
1988/4/19,18.0,21.2,14.3
1988/4/20,19.3,22.8,16.5
1988/4/21,17.0,21.0,14.4
1988/4/22,17.5,20.3,15.1
1988/4/23,14.6,17.8,12.0
1988/4/24,12.0,17.7,6.6
1988/4/25,13.8,18.7,5.7
1988/4/26,18.1,22.4,15.3
1988/4/27,17.8,22.7,12.9
1988/4/28,18.8,22.2,15.3
1988/4/29,17.7,20.3,15.5
1988/4/30,20.0,24.5,16.9
1988/5/1,18.9,22.7,14.4
