ダウンロードした時刻：2017/07/24 15:40:52

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/1/1,1.9,4.9,-0.3
2011/1/2,3.9,10.0,-1.4
2011/1/3,3.5,9.7,-1.3
2011/1/4,3.8,9.0,-1.1
2011/1/5,4.2,7.4,-0.2
2011/1/6,4.1,8.0,1.0
2011/1/7,2.4,5.7,-1.2
2011/1/8,2.3,8.0,-2.7
2011/1/9,3.3,9.3,-1.7
2011/1/10,2.0,5.1,-0.8
2011/1/11,1.7,7.7,-2.5
2011/1/12,1.8,7.2,-2.3
2011/1/13,2.4,7.4,-1.7
2011/1/14,2.6,6.5,0.0
2011/1/15,3.3,7.5,-0.2
2011/1/16,-1.7,0.0,-3.3
2011/1/17,-0.2,1.8,-2.2
2011/1/18,2.0,4.8,-0.1
2011/1/19,2.0,5.6,-0.9
2011/1/20,2.2,5.2,-0.2
2011/1/21,2.7,7.3,-1.5
2011/1/22,3.7,8.6,0.8
2011/1/23,3.1,8.0,-1.2
2011/1/24,2.9,8.2,-1.4
2011/1/25,3.1,7.2,-0.3
2011/1/26,2.0,6.1,-1.0
2011/1/27,1.7,7.1,-3.0
2011/1/28,2.3,6.2,-0.5
2011/1/29,1.7,7.4,-2.3
2011/1/30,-0.4,2.2,-2.4
2011/1/31,-0.6,3.2,-3.2
2011/2/1,2.6,8.2,-0.6
2011/2/2,3.5,9.6,-2.0
2011/2/3,5.2,13.5,-1.6
2011/2/4,6.2,12.8,0.1
2011/2/5,5.9,12.4,0.4
2011/2/6,6.1,11.9,0.5
2011/2/7,6.7,11.6,2.6
2011/2/8,5.6,10.1,-0.9
2011/2/9,6.3,10.6,3.7
2011/2/10,4.3,7.5,2.5
2011/2/11,3.0,5.3,1.3
2011/2/12,3.9,8.7,-1.1
2011/2/13,2.8,6.5,-0.3
2011/2/14,1.8,7.5,-1.0
2011/2/15,4.2,8.6,0.4
2011/2/16,5.0,13.2,-2.6
2011/2/17,6.6,10.7,2.5
2011/2/18,7.9,10.9,4.3
2011/2/19,6.1,12.3,-0.1
2011/2/20,7.5,13.9,2.4
2011/2/21,7.3,15.3,1.2
2011/2/22,7.9,14.9,1.0
2011/2/23,9.9,15.3,3.5
2011/2/24,10.4,13.4,8.1
2011/2/25,11.2,15.9,6.1
2011/2/26,7.5,13.1,2.4
2011/2/27,11.4,17.4,5.2
2011/2/28,10.0,13.4,7.4
2011/3/1,7.3,8.3,5.5
2011/3/2,6.3,10.1,1.9
2011/3/3,3.2,6.6,0.7
2011/3/4,2.8,7.3,-0.6
2011/3/5,5.6,12.4,-0.2
2011/3/6,7.0,12.9,0.1
2011/3/7,7.4,12.4,3.8
2011/3/8,6.3,11.3,1.9
2011/3/9,4.5,9.4,0.9
2011/3/10,3.6,8.3,0.2
2011/3/11,3.3,8.3,0.2
2011/3/12,6.3,12.8,-0.4
2011/3/13,9.8,17.6,2.2
2011/3/14,12.1,19.2,4.6
2011/3/15,13.0,18.0,8.9
2011/3/16,4.5,9.1,1.1
2011/3/17,2.5,7.4,-0.6
2011/3/18,5.2,10.9,-0.5
2011/3/19,10.5,17.6,4.8
2011/3/20,10.9,16.4,6.0
2011/3/21,12.0,15.9,9.5
2011/3/22,11.1,17.2,7.1
2011/3/23,6.3,10.4,2.1
2011/3/24,4.5,10.4,-0.1
2011/3/25,6.0,13.2,1.1
2011/3/26,4.9,9.0,1.0
2011/3/27,5.1,11.7,-1.0
2011/3/28,7.2,14.9,-0.4
2011/3/29,9.3,17.0,2.1
2011/3/30,9.7,16.3,3.0
2011/3/31,9.7,15.2,3.7
2011/4/1,10.8,19.1,2.4
2011/4/2,11.6,20.0,5.8
2011/4/3,8.6,14.0,5.4
2011/4/4,9.3,16.2,2.0
2011/4/5,10.6,19.5,1.9
2011/4/6,13.3,22.2,5.5
2011/4/7,15.4,21.9,9.4
2011/4/8,14.8,17.2,12.9
2011/4/9,15.0,20.1,10.8
2011/4/10,14.9,21.4,8.2
2011/4/11,12.5,20.7,7.7
2011/4/12,11.0,17.1,6.1
2011/4/13,13.3,21.9,4.8
2011/4/14,16.4,24.7,7.4
2011/4/15,15.6,23.1,10.7
2011/4/16,13.9,19.8,7.9
2011/4/17,12.8,20.5,5.4
2011/4/18,14.4,21.6,8.8
2011/4/19,10.3,15.9,7.3
2011/4/20,11.0,16.5,7.3
2011/4/21,13.3,20.8,5.3
2011/4/22,13.6,16.6,11.7
2011/4/23,13.7,16.4,8.1
2011/4/24,11.1,18.5,5.7
2011/4/25,11.5,17.4,7.2
2011/4/26,12.7,17.1,7.4
2011/4/27,17.6,23.5,13.3
2011/4/28,14.0,19.0,9.6
2011/4/29,12.8,18.2,6.8
2011/4/30,13.2,16.9,7.8
2011/5/1,15.2,17.1,12.3
