ダウンロードした時刻：2017/07/24 15:45:07

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,6.2,9.4,3.1
1984/1/2,7.5,11.1,3.8
1984/1/3,8.7,13.4,5.0
1984/1/4,6.4,9.9,4.2
1984/1/5,4.3,7.4,2.3
1984/1/6,4.8,8.3,1.4
1984/1/7,6.6,9.8,3.9
1984/1/8,6.2,9.6,4.3
1984/1/9,6.6,8.8,4.4
1984/1/10,9.2,11.6,6.6
1984/1/11,7.8,11.0,3.6
1984/1/12,4.9,8.3,1.4
1984/1/13,6.5,10.0,3.9
1984/1/14,8.3,12.1,5.2
1984/1/15,9.6,13.8,6.4
1984/1/16,4.2,7.1,1.4
1984/1/17,2.9,6.1,0.7
1984/1/18,4.1,8.0,0.3
1984/1/19,3.7,4.8,2.5
1984/1/20,4.1,8.0,0.4
1984/1/21,4.5,5.2,3.3
1984/1/22,6.0,9.6,3.8
1984/1/23,4.0,7.5,1.7
1984/1/24,4.8,8.7,2.2
1984/1/25,3.6,8.0,0.9
1984/1/26,1.6,4.0,0.3
1984/1/27,2.3,5.9,-0.1
1984/1/28,2.7,5.7,0.6
1984/1/29,2.7,7.0,0.2
1984/1/30,5.0,8.2,0.0
1984/1/31,7.1,9.7,5.2
1984/2/1,6.6,11.1,4.2
1984/2/2,7.5,11.5,3.9
1984/2/3,2.2,5.8,0.2
1984/2/4,1.6,5.2,-0.6
1984/2/5,4.9,9.3,-0.8
1984/2/6,3.1,6.7,-1.0
1984/2/7,-0.7,1.3,-2.4
1984/2/8,1.0,3.6,-1.8
1984/2/9,1.2,4.0,-0.9
1984/2/10,2.7,6.5,0.1
1984/2/11,4.9,8.6,0.2
1984/2/12,6.7,7.8,4.6
1984/2/13,8.0,12.3,4.8
1984/2/14,6.6,11.5,3.9
1984/2/15,5.0,8.4,1.8
1984/2/16,4.7,8.7,1.6
1984/2/17,5.6,6.5,3.4
1984/2/18,5.3,10.4,2.3
1984/2/19,5.6,9.5,2.3
1984/2/20,7.5,12.9,2.4
1984/2/21,9.1,12.8,4.1
1984/2/22,9.1,13.1,6.6
1984/2/23,11.0,14.9,7.0
1984/2/24,9.3,13.5,6.6
1984/2/25,8.9,12.5,5.0
1984/2/26,10.8,14.8,7.1
1984/2/27,4.4,7.1,1.5
1984/2/28,3.4,6.5,0.6
1984/2/29,4.2,8.0,1.0
1984/3/1,2.9,6.6,-0.5
1984/3/2,6.5,10.7,1.7
1984/3/3,5.2,8.4,3.4
1984/3/4,4.4,8.6,1.8
1984/3/5,5.3,9.7,0.5
1984/3/6,6.6,10.9,2.4
1984/3/7,5.5,9.2,2.0
1984/3/8,6.5,10.6,3.7
1984/3/9,7.2,10.6,2.5
1984/3/10,7.7,9.8,3.5
1984/3/11,4.9,8.2,2.2
1984/3/12,8.8,13.0,1.4
1984/3/13,9.1,11.6,7.0
1984/3/14,6.4,7.0,4.6
1984/3/15,8.6,10.2,6.5
1984/3/16,9.7,11.5,8.5
1984/3/17,9.8,12.5,6.7
1984/3/18,9.1,12.5,6.1
1984/3/19,6.2,8.5,4.1
1984/3/20,8.6,12.2,6.7
1984/3/21,6.0,10.6,2.4
1984/3/22,4.9,9.6,1.5
1984/3/23,5.8,10.1,0.7
1984/3/24,9.6,13.6,4.4
1984/3/25,10.9,14.0,8.1
1984/3/26,10.6,14.6,7.0
1984/3/27,10.9,14.7,5.7
1984/3/28,8.8,12.6,6.3
1984/3/29,12.4,16.4,5.8
1984/3/30,14.8,17.7,12.7
1984/3/31,15.3,21.3,12.7
1984/4/1,10.9,13.7,10.1
1984/4/2,11.9,14.8,10.0
1984/4/3,13.1,15.6,12.0
1984/4/4,12.5,13.5,11.3
1984/4/5,15.7,19.0,11.8
1984/4/6,14.1,19.0,9.6
1984/4/7,10.0,13.8,6.4
1984/4/8,11.5,16.3,6.6
1984/4/9,12.0,13.9,8.5
1984/4/10,13.1,14.6,11.9
1984/4/11,14.3,18.5,10.6
1984/4/12,13.8,18.6,8.7
1984/4/13,13.3,17.1,10.2
1984/4/14,14.0,17.7,10.4
1984/4/15,15.4,19.3,10.9
1984/4/16,17.1,20.2,13.4
1984/4/17,18.9,22.0,15.9
1984/4/18,19.3,21.8,17.8
1984/4/19,18.5,20.1,16.1
1984/4/20,14.8,19.5,11.5
1984/4/21,14.5,17.8,10.6
1984/4/22,14.0,16.0,12.9
1984/4/23,14.2,18.0,11.5
1984/4/24,15.2,18.9,10.2
1984/4/25,16.4,20.3,12.9
1984/4/26,16.9,19.4,15.5
1984/4/27,16.9,20.1,15.2
1984/4/28,16.4,20.2,13.1
1984/4/29,16.7,19.3,14.8
1984/4/30,16.4,19.3,15.3
1984/5/1,16.6,18.6,14.4
