ダウンロードした時刻：2017/07/24 15:44:50

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.2,8.6,1.9
1985/1/2,6.2,9.7,2.6
1985/1/3,5.0,6.7,3.7
1985/1/4,3.6,6.6,1.3
1985/1/5,2.9,5.5,-0.2
1985/1/6,3.8,6.5,0.7
1985/1/7,3.5,6.4,0.4
1985/1/8,3.5,6.8,1.6
1985/1/9,4.9,8.1,1.9
1985/1/10,5.9,10.2,2.5
1985/1/11,4.1,8.0,0.4
1985/1/12,5.6,10.2,1.9
1985/1/13,1.9,4.7,-1.1
1985/1/14,-1.7,0.5,-3.1
1985/1/15,1.2,4.8,-3.5
1985/1/16,4.6,7.7,0.3
1985/1/17,2.0,5.7,-0.3
1985/1/18,2.5,5.5,-1.0
1985/1/19,3.8,6.5,1.2
1985/1/20,5.8,8.7,3.9
1985/1/21,3.5,6.2,1.2
1985/1/22,4.7,8.5,0.6
1985/1/23,6.4,9.7,4.4
1985/1/24,4.9,8.6,1.7
1985/1/25,2.7,5.8,-0.1
1985/1/26,3.6,7.1,0.0
1985/1/27,4.9,9.0,1.2
1985/1/28,4.6,7.6,1.0
1985/1/29,1.4,4.5,-0.6
1985/1/30,-0.5,2.3,-2.3
1985/1/31,2.1,6.3,-1.7
1985/2/1,6.1,10.3,1.0
1985/2/2,7.4,10.5,5.4
1985/2/3,7.9,12.6,4.8
1985/2/4,7.3,10.4,4.3
1985/2/5,6.0,7.4,4.4
1985/2/6,5.9,7.5,3.4
1985/2/7,7.8,12.1,4.9
1985/2/8,6.3,8.6,5.1
1985/2/9,11.0,17.0,6.2
1985/2/10,7.2,11.2,4.0
1985/2/11,5.9,9.2,3.3
1985/2/12,6.4,9.2,3.9
1985/2/13,5.5,9.9,2.4
1985/2/14,3.0,6.4,-0.1
1985/2/15,3.5,8.1,-0.9
1985/2/16,4.2,5.3,3.2
1985/2/17,4.6,8.1,2.7
1985/2/18,5.1,7.8,2.7
1985/2/19,5.3,6.4,4.0
1985/2/20,6.5,9.0,5.1
1985/2/21,2.2,5.3,-0.9
1985/2/22,1.2,4.3,-0.7
1985/2/23,2.4,6.2,0.1
1985/2/24,1.7,5.9,-1.2
1985/2/25,3.1,7.3,-0.4
1985/2/26,4.4,7.0,2.6
1985/2/27,5.1,7.7,2.6
1985/2/28,6.1,8.0,2.3
1985/3/1,7.8,11.0,5.7
1985/3/2,6.5,8.4,4.9
1985/3/3,5.6,8.3,2.3
1985/3/4,4.6,7.3,0.6
1985/3/5,6.6,9.6,4.6
1985/3/6,6.5,9.4,2.2
1985/3/7,7.8,11.9,4.8
1985/3/8,12.7,17.2,6.5
1985/3/9,8.3,16.3,6.4
1985/3/10,6.1,9.9,3.1
1985/3/11,4.9,6.9,3.9
1985/3/12,5.5,9.9,3.3
1985/3/13,6.1,8.9,3.5
1985/3/14,6.0,8.2,4.3
1985/3/15,5.8,10.0,3.1
1985/3/16,7.7,12.7,2.5
1985/3/17,8.5,9.8,7.0
1985/3/18,10.1,14.3,8.0
1985/3/19,6.6,8.1,5.5
1985/3/20,8.2,11.0,5.2
1985/3/21,7.8,11.1,5.7
1985/3/22,8.6,13.1,4.8
1985/3/23,7.5,11.0,5.3
1985/3/24,9.6,14.2,4.5
1985/3/25,11.7,15.6,7.0
1985/3/26,12.3,15.7,8.6
1985/3/27,9.5,12.0,7.0
1985/3/28,11.2,16.0,8.2
1985/3/29,11.3,16.2,8.0
1985/3/30,7.8,11.8,5.3
1985/3/31,5.8,10.4,2.6
1985/4/1,7.3,12.0,2.3
1985/4/2,10.4,15.0,5.1
1985/4/3,12.1,15.4,9.1
1985/4/4,13.6,17.8,11.2
1985/4/5,11.6,16.4,8.0
1985/4/6,10.5,15.1,5.9
1985/4/7,10.0,12.1,9.0
1985/4/8,15.1,20.5,10.4
1985/4/9,16.2,23.6,10.6
1985/4/10,15.9,21.1,11.9
1985/4/11,12.5,16.0,11.2
1985/4/12,11.3,12.4,9.9
1985/4/13,13.8,19.0,11.0
1985/4/14,13.4,16.4,10.1
1985/4/15,11.9,14.2,9.7
1985/4/16,11.0,16.1,8.1
1985/4/17,12.4,18.7,6.4
1985/4/18,12.9,18.4,9.0
1985/4/19,14.9,20.7,9.0
1985/4/20,15.5,21.0,11.9
1985/4/21,15.6,20.6,9.9
1985/4/22,15.8,21.5,12.8
1985/4/23,17.4,22.4,13.7
1985/4/24,15.3,19.0,10.9
1985/4/25,14.6,20.2,8.9
1985/4/26,17.6,20.4,14.2
1985/4/27,13.6,18.3,10.0
1985/4/28,13.8,18.0,8.1
1985/4/29,15.1,19.9,10.0
1985/4/30,17.1,23.6,11.9
1985/5/1,17.8,22.9,13.5
