ダウンロードした時刻：2017/07/24 15:45:18

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,3.7,8.3,-0.7
1994/1/2,3.8,11.7,-2.4
1994/1/3,5.7,12.4,0.2
1994/1/4,7.5,12.5,2.5
1994/1/5,5.0,10.2,1.3
1994/1/6,6.4,12.1,1.8
1994/1/7,5.1,8.7,-0.7
1994/1/8,2.2,8.9,-2.4
1994/1/9,3.5,12.1,-2.8
1994/1/10,5.6,13.7,-0.6
1994/1/11,6.0,12.9,0.2
1994/1/12,5.7,9.6,2.5
1994/1/13,4.5,7.4,1.9
1994/1/14,4.1,9.0,-0.3
1994/1/15,1.8,6.5,-2.0
1994/1/16,2.8,11.6,-4.1
1994/1/17,6.3,13.0,0.4
1994/1/18,7.7,11.7,5.0
1994/1/19,2.7,6.5,-0.8
1994/1/20,1.7,6.5,-2.4
1994/1/21,2.8,7.6,-0.1
1994/1/22,2.4,6.8,-0.8
1994/1/23,1.5,7.2,-1.7
1994/1/24,0.8,6.3,-2.4
1994/1/25,3.5,9.5,-2.5
1994/1/26,4.6,12.4,-1.9
1994/1/27,5.0,9.3,0.7
1994/1/28,3.4,9.0,-0.8
1994/1/29,2.2,5.5,-1.3
1994/1/30,-0.1,3.9,-3.0
1994/1/31,2.2,8.6,-3.1
1994/2/1,3.8,6.8,0.0
1994/2/2,2.9,5.4,0.8
1994/2/3,2.3,6.0,0.4
1994/2/4,3.9,7.2,0.5
1994/2/5,5.3,11.0,1.7
1994/2/6,5.6,12.5,-0.2
1994/2/7,6.6,12.6,2.5
1994/2/8,5.8,11.8,-0.2
1994/2/9,6.2,9.5,2.5
1994/2/10,1.7,3.8,-0.4
1994/2/11,2.8,7.0,-0.1
1994/2/12,0.3,2.4,-1.2
1994/2/13,0.8,4.3,-2.0
1994/2/14,3.3,8.1,-0.3
1994/2/15,2.8,6.7,-0.8
1994/2/16,4.0,8.9,0.3
1994/2/17,3.7,9.5,-0.6
1994/2/18,4.7,13.0,-2.5
1994/2/19,6.6,15.8,-1.7
1994/2/20,8.0,13.8,2.0
1994/2/21,7.8,11.1,1.8
1994/2/22,4.4,9.0,1.6
1994/2/23,4.4,8.6,1.3
1994/2/24,2.1,5.7,0.0
1994/2/25,3.8,9.1,0.1
1994/2/26,3.9,8.9,0.1
1994/2/27,2.6,9.0,-1.0
1994/2/28,4.2,10.1,-1.6
1994/3/1,3.8,11.5,-1.0
1994/3/2,3.9,9.4,-0.1
1994/3/3,4.3,10.5,-2.7
1994/3/4,4.8,11.0,0.4
1994/3/5,3.0,8.3,-1.4
1994/3/6,3.2,9.6,-1.9
1994/3/7,6.1,12.4,-1.6
1994/3/8,10.0,11.6,7.8
1994/3/9,11.2,15.8,7.8
1994/3/10,6.0,9.5,2.1
1994/3/11,4.9,10.1,-0.6
1994/3/12,3.8,6.2,1.5
1994/3/13,5.0,10.3,2.2
1994/3/14,3.6,9.2,-0.5
1994/3/15,2.7,8.1,-1.0
1994/3/16,5.1,12.5,-2.6
1994/3/17,6.2,11.6,1.9
1994/3/18,6.8,15.3,-1.6
1994/3/19,9.5,16.6,4.7
1994/3/20,6.8,12.9,3.0
1994/3/21,6.0,10.9,1.3
1994/3/22,7.3,15.6,-0.9
1994/3/23,10.1,14.3,7.8
1994/3/24,7.8,12.2,3.5
1994/3/25,5.6,9.2,3.5
1994/3/26,3.8,11.1,-0.3
1994/3/27,5.4,11.4,0.7
1994/3/28,8.5,16.0,-0.6
1994/3/29,8.8,13.8,1.8
1994/3/30,6.6,15.3,-1.2
1994/3/31,10.3,20.0,0.7
1994/4/1,12.2,22.0,2.8
1994/4/2,13.9,18.7,10.4
1994/4/3,11.8,18.0,5.5
1994/4/4,12.1,22.8,1.9
1994/4/5,16.8,25.6,9.5
1994/4/6,17.6,26.1,9.0
1994/4/7,14.8,16.9,13.5
1994/4/8,10.3,14.0,7.2
1994/4/9,7.0,11.5,2.4
1994/4/10,8.9,17.5,0.8
1994/4/11,13.7,22.1,6.3
1994/4/12,15.3,19.5,11.3
1994/4/13,12.7,17.9,6.2
1994/4/14,11.9,18.0,4.5
1994/4/15,14.1,21.8,5.9
1994/4/16,15.7,24.0,7.1
1994/4/17,17.0,24.4,11.0
1994/4/18,13.9,19.3,8.6
1994/4/19,16.1,23.5,11.0
1994/4/20,15.8,22.8,9.4
1994/4/21,18.0,24.3,13.9
1994/4/22,18.6,25.3,12.8
1994/4/23,14.9,16.6,13.3
1994/4/24,15.6,20.0,11.4
1994/4/25,17.2,23.8,10.7
1994/4/26,18.1,26.2,11.4
1994/4/27,16.4,25.1,7.6
1994/4/28,16.2,22.0,12.1
1994/4/29,16.4,24.1,8.3
1994/4/30,17.4,25.8,9.8
1994/5/1,17.9,24.9,12.3
