ダウンロードした時刻：2017/07/24 15:41:58

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,5.7,12.2,0.4
2005/1/2,3.7,10.2,-2.0
2005/1/3,7.7,14.9,-0.6
2005/1/4,11.3,17.2,6.0
2005/1/5,5.9,10.6,0.6
2005/1/6,6.4,9.0,4.3
2005/1/7,7.9,15.8,1.9
2005/1/8,5.9,11.4,0.7
2005/1/9,6.1,10.9,1.8
2005/1/10,4.1,10.0,-2.5
2005/1/11,5.1,8.9,3.1
2005/1/12,4.7,9.3,-1.0
2005/1/13,3.6,9.9,-2.6
2005/1/14,7.0,12.2,0.1
2005/1/15,6.9,9.0,4.6
2005/1/16,8.3,13.2,5.3
2005/1/17,7.4,13.6,2.5
2005/1/18,6.6,12.9,0.6
2005/1/19,9.1,14.7,4.6
2005/1/20,6.4,10.1,1.1
2005/1/21,6.1,11.7,1.7
2005/1/22,4.8,11.7,-1.6
2005/1/23,4.9,6.8,3.9
2005/1/24,7.0,12.0,1.1
2005/1/25,8.3,14.3,1.6
2005/1/26,5.4,8.1,2.8
2005/1/27,6.3,11.9,1.3
2005/1/28,8.3,13.4,3.3
2005/1/29,7.7,10.9,4.1
2005/1/30,9.6,13.4,6.2
2005/1/31,5.5,9.9,1.5
2005/2/1,2.5,6.8,-0.5
2005/2/2,3.1,8.9,-0.7
2005/2/3,4.7,10.8,-2.3
2005/2/4,5.3,11.4,-2.0
2005/2/5,9.1,13.4,4.8
2005/2/6,6.8,11.3,1.3
2005/2/7,7.8,11.5,3.4
2005/2/8,7.8,8.6,6.9
2005/2/9,9.8,13.9,5.5
2005/2/10,11.8,19.4,8.0
2005/2/11,7.2,12.0,2.3
2005/2/12,6.1,10.4,-0.2
2005/2/13,6.4,10.6,1.3
2005/2/14,6.7,11.5,0.5
2005/2/15,8.2,13.4,2.4
2005/2/16,8.2,10.3,6.2
2005/2/17,9.7,11.6,8.4
2005/2/18,7.6,10.1,3.8
2005/2/19,8.0,10.4,4.4
2005/2/20,9.4,16.0,4.3
2005/2/21,6.2,12.6,1.5
2005/2/22,6.0,11.4,-1.0
2005/2/23,11.3,17.1,3.5
2005/2/24,9.1,13.1,3.3
2005/2/25,8.7,14.0,4.8
2005/2/26,5.6,11.2,0.9
2005/2/27,3.7,8.3,-1.3
2005/2/28,5.9,13.0,-0.1
2005/3/1,6.5,11.6,3.0
2005/3/2,6.3,12.2,0.6
2005/3/3,7.9,11.6,2.8
2005/3/4,6.5,10.0,4.9
2005/3/5,5.8,11.2,1.2
2005/3/6,6.0,9.8,2.8
2005/3/7,7.5,15.2,1.3
2005/3/8,11.2,20.7,1.3
2005/3/9,16.4,22.2,11.9
2005/3/10,13.3,17.3,8.0
2005/3/11,12.9,14.2,9.9
2005/3/12,10.9,14.7,5.2
2005/3/13,5.2,10.6,2.0
2005/3/14,5.5,12.6,-1.0
2005/3/15,7.7,13.7,1.3
2005/3/16,12.5,19.1,6.1
2005/3/17,11.5,17.4,6.8
2005/3/18,13.6,17.7,5.0
2005/3/19,8.0,13.4,2.0
2005/3/20,9.9,16.5,3.8
2005/3/21,10.4,14.8,4.7
2005/3/22,11.2,13.3,7.7
2005/3/23,13.4,15.5,10.5
2005/3/24,11.2,16.4,6.8
2005/3/25,7.2,11.8,4.4
2005/3/26,10.0,16.1,3.8
2005/3/27,12.2,20.1,3.7
2005/3/28,11.7,14.4,9.8
2005/3/29,13.4,21.5,7.5
2005/3/30,10.6,15.9,5.3
2005/3/31,12.1,19.6,4.0
2005/4/1,10.6,14.8,5.7
2005/4/2,11.3,14.9,5.6
2005/4/3,15.0,20.8,9.0
2005/4/4,9.5,14.1,6.2
2005/4/5,11.8,18.8,5.6
2005/4/6,15.0,23.0,7.2
2005/4/7,16.6,21.0,12.1
2005/4/8,21.4,29.2,15.9
2005/4/9,15.8,19.1,12.4
2005/4/10,16.9,20.4,12.1
2005/4/11,16.0,19.2,11.9
2005/4/12,10.6,12.1,9.7
2005/4/13,10.3,11.9,8.7
2005/4/14,12.5,17.6,6.4
2005/4/15,14.7,22.6,7.2
2005/4/16,16.1,22.0,11.3
2005/4/17,16.7,25.5,8.6
2005/4/18,15.9,19.8,12.3
2005/4/19,15.4,20.1,9.5
2005/4/20,13.9,15.5,12.5
2005/4/21,17.4,23.8,11.3
2005/4/22,15.6,21.2,9.7
2005/4/23,15.3,21.3,7.3
2005/4/24,14.7,19.3,9.7
2005/4/25,17.3,21.3,12.3
2005/4/26,17.4,26.1,14.0
2005/4/27,16.1,20.8,10.7
2005/4/28,19.4,27.2,11.3
2005/4/29,23.8,33.3,13.6
2005/4/30,20.8,25.3,17.8
2005/5/1,19.1,23.1,15.2
