ダウンロードした時刻：2019/10/10 15:54:28

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,13.1,14.7,8.9
2014/12/2,6.7,9.7,4.2
2014/12/3,6.5,10.7,2.3
2014/12/4,6.9,8.4,4.9
2014/12/5,6.0,9.9,3.8
2014/12/6,3.0,4.8,1.8
2014/12/7,5.2,8.7,2.8
2014/12/8,6.2,10.8,1.5
2014/12/9,6.5,12.7,1.9
2014/12/10,5.9,10.6,1.1
2014/12/11,8.1,10.5,6.3
2014/12/12,7.3,10.5,4.9
2014/12/13,4.9,10.0,2.8
2014/12/14,3.3,5.8,0.9
2014/12/15,4.6,7.3,2.3
2014/12/16,4.2,7.4,2.9
2014/12/17,2.1,5.5,-1.8
2014/12/18,0.1,3.2,-1.9
2014/12/19,2.3,7.3,-2.4
2014/12/20,4.4,8.3,1.7
2014/12/21,7.1,10.5,4.2
2014/12/22,4.2,7.8,1.0
2014/12/23,4.9,9.2,1.8
2014/12/24,4.4,9.6,-0.1
2014/12/25,5.9,9.5,3.3
2014/12/26,3.8,8.7,0.3
2014/12/27,3.9,9.0,0.4
2014/12/28,3.6,8.3,-1.9
2014/12/29,6.9,11.7,4.5
2014/12/30,7.2,11.5,2.8
2014/12/31,7.2,12.3,3.2
2015/1/1,1.6,5.1,-0.5
2015/1/2,1.6,5.6,-0.9
2015/1/3,2.7,6.7,-1.0
2015/1/4,3.8,8.7,-0.2
2015/1/5,6.8,11.9,2.7
2015/1/6,6.2,8.6,4.8
2015/1/7,4.7,9.2,3.0
2015/1/8,4.4,8.9,0.9
2015/1/9,4.3,9.3,0.0
2015/1/10,4.2,8.9,1.3
2015/1/11,5.6,11.0,2.7
2015/1/12,4.1,8.1,1.2
2015/1/13,5.4,10.6,1.9
2015/1/14,5.1,9.3,0.1
2015/1/15,6.4,8.2,4.4
2015/1/16,6.6,11.3,3.4
2015/1/17,4.2,7.9,0.9
2015/1/18,3.7,9.9,-1.5
2015/1/19,4.3,9.4,0.9
2015/1/20,4.8,10.5,0.7
2015/1/21,5.7,10.6,0.7
2015/1/22,6.5,7.8,5.2
2015/1/23,6.7,10.4,2.7
2015/1/24,5.7,10.7,0.3
2015/1/25,7.3,12.2,2.4
2015/1/26,7.1,9.8,3.8
2015/1/27,8.9,13.6,5.0
2015/1/28,3.5,7.6,-0.1
2015/1/29,3.0,6.9,-2.0
2015/1/30,4.8,6.3,3.2
2015/1/31,3.7,6.9,0.4
2015/2/1,2.9,7.3,0.0
2015/2/2,3.8,8.5,0.5
2015/2/3,4.6,10.3,0.8
2015/2/4,4.7,9.9,-0.8
2015/2/5,5.6,10.3,2.6
2015/2/6,5.5,10.2,3.1
2015/2/7,5.3,10.5,-0.4
2015/2/8,4.5,8.0,1.3
2015/2/9,0.7,4.0,-1.3
2015/2/10,1.6,4.6,-1.5
2015/2/11,5.2,10.5,0.0
2015/2/12,6.3,12.0,0.9
2015/2/13,2.2,6.1,-0.8
2015/2/14,3.1,7.6,-1.1
2015/2/15,5.9,10.9,2.3
2015/2/16,5.8,12.6,0.2
2015/2/17,5.1,6.1,3.4
2015/2/18,6.2,11.1,2.2
2015/2/19,6.5,12.1,2.2
2015/2/20,6.3,11.5,3.0
2015/2/21,6.9,13.0,0.2
2015/2/22,10.7,14.3,7.6
2015/2/23,11.3,15.5,7.0
2015/2/24,8.4,13.9,3.8
2015/2/25,8.6,14.4,3.2
2015/2/26,8.2,8.9,7.1
2015/2/27,5.9,9.8,2.7
2015/2/28,6.9,12.6,1.3
2015/3/1,7.5,10.0,5.6
2015/3/2,7.5,12.3,3.9
2015/3/3,6.0,10.9,0.9
2015/3/4,9.3,15.4,5.5
2015/3/5,6.3,10.6,4.3
2015/3/6,7.2,11.0,3.6
2015/3/7,8.8,12.3,6.6
2015/3/8,11.6,17.9,7.2
2015/3/9,10.2,15.6,6.4
2015/3/10,4.0,8.5,-0.8
2015/3/11,2.5,7.9,-1.1
2015/3/12,5.4,11.7,1.1
2015/3/13,6.7,12.9,0.5
2015/3/14,7.2,12.0,4.4
2015/3/15,8.1,14.4,2.7
2015/3/16,12.2,17.4,9.2
2015/3/17,14.9,21.6,9.4
2015/3/18,15.2,21.9,9.3
2015/3/19,15.0,16.5,11.4
2015/3/20,13.9,20.4,10.0
2015/3/21,12.6,19.4,7.4
2015/3/22,14.2,20.7,10.0
2015/3/23,7.9,12.1,2.8
2015/3/24,5.8,11.7,1.9
2015/3/25,6.5,12.4,1.7
2015/3/26,8.7,15.9,2.3
2015/3/27,11.3,20.0,2.5
2015/3/28,13.7,21.9,7.4
2015/3/29,11.6,15.1,9.6
2015/3/30,13.9,21.9,7.0
2015/3/31,15.6,23.1,8.8
