ダウンロードした時刻：2017/07/24 15:42:45

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,14.0,17.3,11.6
1991/1/2,14.4,15.8,12.6
1991/1/3,11.2,13.2,9.2
1991/1/4,9.1,10.3,7.8
1991/1/5,8.1,8.7,7.3
1991/1/6,6.9,8.1,5.4
1991/1/7,8.3,10.1,7.2
1991/1/8,10.2,13.3,8.4
1991/1/9,7.2,9.4,2.6
1991/1/10,9.1,10.5,7.2
1991/1/11,9.7,10.7,7.9
1991/1/12,8.5,10.7,5.0
1991/1/13,8.7,10.0,7.5
1991/1/14,8.8,11.3,7.2
1991/1/15,7.9,9.3,3.9
1991/1/16,8.9,10.1,7.1
1991/1/17,10.4,13.9,8.6
1991/1/18,7.9,9.7,3.1
1991/1/19,8.0,11.1,2.8
1991/1/20,9.5,14.2,2.8
1991/1/21,11.4,14.4,9.5
1991/1/22,10.0,11.0,7.6
1991/1/23,7.9,9.4,6.6
1991/1/24,7.4,11.0,4.8
1991/1/25,12.3,15.9,8.9
1991/1/26,9.3,10.5,8.0
1991/1/27,7.8,9.4,5.8
1991/1/28,7.5,9.0,4.6
1991/1/29,7.3,8.9,4.1
1991/1/30,7.1,9.1,3.1
1991/1/31,7.2,9.2,2.5
1991/2/1,8.8,10.2,6.6
1991/2/2,8.6,9.5,6.7
1991/2/3,7.3,8.6,5.7
1991/2/4,8.9,10.2,7.6
1991/2/5,8.4,9.5,7.3
1991/2/6,8.0,9.7,4.1
1991/2/7,8.8,11.4,4.4
1991/2/8,9.5,11.3,7.5
1991/2/9,8.3,11.7,2.7
1991/2/10,11.8,15.6,7.8
1991/2/11,12.8,14.7,11.5
1991/2/12,10.8,12.0,10.0
1991/2/13,9.0,11.2,6.0
1991/2/14,10.6,12.9,6.2
1991/2/15,13.6,16.9,11.7
1991/2/16,11.0,16.8,8.3
1991/2/17,8.3,9.7,4.1
1991/2/18,7.1,8.1,6.1
1991/2/19,7.7,9.3,5.9
1991/2/20,6.5,7.8,2.1
1991/2/21,6.7,8.1,3.8
1991/2/22,5.9,8.3,4.0
1991/2/23,4.9,7.0,3.9
1991/2/24,4.6,6.0,3.5
1991/2/25,5.3,7.7,2.8
1991/2/26,7.2,9.3,0.5
1991/2/27,10.4,12.3,8.4
1991/2/28,14.7,17.3,12.1
1991/3/1,9.5,13.0,6.9
1991/3/2,9.4,12.3,7.9
1991/3/3,9.6,11.7,6.1
1991/3/4,10.5,13.4,4.3
1991/3/5,11.7,14.3,8.4
1991/3/6,13.4,15.3,8.8
1991/3/7,12.7,15.0,8.7
1991/3/8,12.2,13.8,10.4
1991/3/9,15.3,18.0,11.1
1991/3/10,11.4,14.4,7.9
1991/3/11,11.3,12.5,9.0
1991/3/12,11.5,13.2,9.9
1991/3/13,13.0,15.2,10.4
1991/3/14,10.1,14.3,2.6
1991/3/15,6.8,10.9,2.2
1991/3/16,11.3,14.6,8.7
1991/3/17,10.9,12.3,8.6
1991/3/18,10.9,13.5,7.0
1991/3/19,13.7,16.8,8.3
1991/3/20,17.5,19.7,15.1
1991/3/21,13.2,17.5,10.1
1991/3/22,12.0,14.5,10.4
1991/3/23,15.2,19.1,11.8
1991/3/24,14.8,19.3,10.7
1991/3/25,15.4,20.1,12.1
1991/3/26,15.1,16.5,13.8
1991/3/27,13.5,15.8,11.6
1991/3/28,13.1,15.3,11.2
1991/3/29,11.8,12.9,10.0
1991/3/30,14.4,18.8,9.2
1991/3/31,13.4,18.1,11.8
1991/4/1,10.4,12.2,8.4
1991/4/2,10.0,11.1,9.0
1991/4/3,9.9,13.0,5.2
1991/4/4,9.8,14.7,4.6
1991/4/5,13.0,17.2,6.6
1991/4/6,16.9,20.5,11.4
1991/4/7,17.6,20.2,15.2
1991/4/8,13.8,17.1,13.1
1991/4/9,15.6,18.2,13.3
1991/4/10,17.3,21.3,14.6
1991/4/11,16.9,18.7,16.2
1991/4/12,16.1,17.4,15.7
1991/4/13,16.4,20.4,15.2
1991/4/14,18.1,20.8,15.1
1991/4/15,15.9,18.6,13.5
1991/4/16,15.6,18.5,10.3
1991/4/17,17.0,21.8,10.1
1991/4/18,19.9,23.2,15.7
1991/4/19,15.2,17.2,13.4
1991/4/20,14.4,17.9,10.5
1991/4/21,14.5,18.6,8.4
1991/4/22,15.6,17.8,12.1
1991/4/23,16.8,20.1,13.6
1991/4/24,17.0,20.0,13.6
1991/4/25,16.0,19.0,15.0
1991/4/26,17.0,20.1,13.9
1991/4/27,16.5,19.1,14.5
1991/4/28,16.9,19.0,15.8
1991/4/29,16.3,18.5,14.7
1991/4/30,16.0,19.6,12.3
1991/5/1,17.7,21.0,13.8
