ダウンロードした時刻：2017/07/24 15:41:05

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,3.5,7.6,-0.8
2013/1/2,6.0,11.9,-0.1
2013/1/3,2.1,4.6,-0.4
2013/1/4,1.2,5.8,-2.3
2013/1/5,0.9,5.6,-3.3
2013/1/6,2.6,7.9,-2.3
2013/1/7,4.4,10.0,-0.8
2013/1/8,5.6,11.7,1.2
2013/1/9,4.7,10.2,1.1
2013/1/10,4.3,8.8,0.7
2013/1/11,3.3,8.5,-0.1
2013/1/12,3.4,10.6,-1.3
2013/1/13,6.1,12.2,-0.4
2013/1/14,5.5,7.7,3.9
2013/1/15,4.3,8.0,2.2
2013/1/16,3.7,8.4,-0.7
2013/1/17,4.4,9.4,1.2
2013/1/18,1.9,6.7,-0.7
2013/1/19,3.0,8.2,-1.0
2013/1/20,4.6,9.8,0.8
2013/1/21,4.2,9.0,-0.7
2013/1/22,6.4,11.3,3.2
2013/1/23,5.5,9.4,2.4
2013/1/24,6.4,11.9,0.4
2013/1/25,4.5,8.1,0.5
2013/1/26,1.1,5.8,-1.4
2013/1/27,1.3,7.1,-2.7
2013/1/28,2.5,7.1,-0.8
2013/1/29,4.7,11.2,-0.1
2013/1/30,6.0,12.5,1.2
2013/1/31,5.6,12.2,-0.1
2013/2/1,6.3,11.7,0.4
2013/2/2,9.2,12.9,6.2
2013/2/3,8.1,11.7,5.2
2013/2/4,6.0,8.5,4.3
2013/2/5,7.2,10.6,4.0
2013/2/6,5.9,9.9,2.8
2013/2/7,5.4,10.2,1.5
2013/2/8,1.4,4.3,-0.6
2013/2/9,1.7,7.2,-1.8
2013/2/10,3.7,9.6,-1.3
2013/2/11,4.0,8.1,0.8
2013/2/12,2.9,8.2,-0.8
2013/2/13,4.5,9.3,0.6
2013/2/14,6.0,11.8,0.9
2013/2/15,4.8,7.0,3.4
2013/2/16,2.3,5.9,-0.5
2013/2/17,2.6,6.9,-2.6
2013/2/18,3.7,6.4,0.6
2013/2/19,4.5,6.6,1.1
2013/2/20,2.6,8.4,-1.9
2013/2/21,2.4,7.2,-0.3
2013/2/22,4.0,8.2,0.3
2013/2/23,3.5,8.8,0.4
2013/2/24,2.2,6.2,-0.8
2013/2/25,1.8,7.4,-2.1
2013/2/26,4.0,10.4,-2.1
2013/2/27,7.2,14.3,2.5
2013/2/28,9.9,16.4,5.4
2013/3/1,8.9,14.1,5.6
2013/3/2,5.1,8.8,2.3
2013/3/3,4.6,10.1,1.0
2013/3/4,5.6,12.1,-0.8
2013/3/5,7.0,12.8,2.4
2013/3/6,8.9,16.6,1.3
2013/3/7,11.2,18.4,4.0
2013/3/8,13.9,19.5,9.0
2013/3/9,16.0,22.9,10.4
2013/3/10,9.5,17.4,2.6
2013/3/11,6.3,13.1,1.3
2013/3/12,9.1,17.7,0.3
2013/3/13,12.1,19.9,6.5
2013/3/14,7.2,11.7,3.0
2013/3/15,8.2,15.8,1.7
2013/3/16,10.6,18.3,3.7
2013/3/17,12.1,19.3,5.4
2013/3/18,15.9,17.8,11.1
2013/3/19,16.6,21.9,12.4
2013/3/20,12.9,17.0,9.7
2013/3/21,7.1,12.6,3.5
2013/3/22,10.7,18.1,2.2
2013/3/23,11.6,17.0,6.7
2013/3/24,11.7,18.8,5.3
2013/3/25,10.6,15.8,5.8
2013/3/26,7.7,13.3,3.0
2013/3/27,10.0,15.9,4.5
2013/3/28,14.3,19.8,10.0
2013/3/29,14.4,19.5,10.8
2013/3/30,12.8,19.8,8.5
2013/3/31,11.5,14.6,8.6
2013/4/1,12.5,18.9,5.9
2013/4/2,13.8,17.9,10.5
2013/4/3,12.3,16.8,9.6
2013/4/4,15.7,24.1,8.7
2013/4/5,17.6,23.9,10.9
2013/4/6,16.2,19.1,14.3
2013/4/7,11.9,19.6,6.7
2013/4/8,11.4,17.2,6.5
2013/4/9,13.4,21.6,7.4
2013/4/10,11.4,16.1,6.8
2013/4/11,8.6,14.5,5.1
2013/4/12,8.7,14.1,3.6
2013/4/13,10.9,17.6,3.8
2013/4/14,14.4,19.7,7.0
2013/4/15,16.9,23.0,12.9
2013/4/16,17.5,24.9,10.1
2013/4/17,18.6,21.8,15.2
2013/4/18,18.9,25.8,12.5
2013/4/19,13.0,16.9,7.9
2013/4/20,10.9,15.1,7.0
2013/4/21,10.2,16.6,6.9
2013/4/22,11.1,17.5,4.8
2013/4/23,12.8,19.3,5.2
2013/4/24,14.6,16.4,13.0
2013/4/25,17.5,24.2,10.9
2013/4/26,14.1,21.5,7.9
2013/4/27,12.7,18.8,7.5
2013/4/28,15.0,22.3,7.7
2013/4/29,17.0,25.2,9.3
2013/4/30,15.6,17.3,13.3
2013/5/1,13.2,17.7,9.1
