ダウンロードした時刻：2017/07/24 15:46:13

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,7.8,12.2,3.5
2016/1/2,7.9,13.2,2.0
2016/1/3,10.8,15.6,7.6
2016/1/4,11.8,18.2,5.3
2016/1/5,10.3,12.8,8.8
2016/1/6,10.2,12.7,8.0
2016/1/7,9.3,12.5,7.0
2016/1/8,7.8,12.0,3.7
2016/1/9,7.6,11.1,4.6
2016/1/10,7.9,12.6,4.3
2016/1/11,8.8,12.5,5.3
2016/1/12,7.7,10.3,5.3
2016/1/13,6.4,10.7,3.0
2016/1/14,6.3,10.8,1.9
2016/1/15,6.1,9.6,3.9
2016/1/16,5.8,10.6,2.4
2016/1/17,6.1,9.8,1.4
2016/1/18,8.6,13.0,5.3
2016/1/19,1.8,5.9,0.0
2016/1/20,4.3,8.6,-0.4
2016/1/21,5.9,8.6,2.6
2016/1/22,5.8,8.6,3.8
2016/1/23,4.3,7.1,1.4
2016/1/24,-2.1,1.4,-4.1
2016/1/25,1.4,5.8,-3.4
2016/1/26,3.9,8.2,-0.8
2016/1/27,7.1,11.5,1.8
2016/1/28,7.6,11.4,2.3
2016/1/29,8.6,9.8,7.2
2016/1/30,8.4,9.6,7.4
2016/1/31,8.1,11.4,6.0
2016/2/1,7.8,10.2,6.3
2016/2/2,6.8,10.2,4.7
2016/2/3,5.3,9.3,2.0
2016/2/4,7.0,11.8,1.4
2016/2/5,7.4,11.4,3.2
2016/2/6,6.2,9.6,3.6
2016/2/7,4.8,7.9,2.5
2016/2/8,5.2,10.4,-0.7
2016/2/9,7.3,12.6,2.5
2016/2/10,6.5,10.4,2.6
2016/2/11,6.4,11.7,1.6
2016/2/12,11.2,18.0,3.5
2016/2/13,15.7,18.4,13.7
2016/2/14,15.5,19.6,10.3
2016/2/15,6.0,10.3,2.3
2016/2/16,4.6,8.8,0.8
2016/2/17,6.3,9.3,3.7
2016/2/18,5.3,9.7,-0.1
2016/2/19,8.3,14.3,1.6
2016/2/20,8.5,9.9,7.7
2016/2/21,8.1,10.7,5.6
2016/2/22,5.8,7.9,2.5
2016/2/23,8.2,12.1,5.9
2016/2/24,5.5,7.7,3.4
2016/2/25,5.3,9.0,2.5
2016/2/26,5.9,11.2,1.6
2016/2/27,8.1,15.6,1.3
2016/2/28,10.4,14.6,4.3
2016/2/29,8.1,13.5,2.4
2016/3/1,4.1,7.5,0.9
2016/3/2,6.8,12.8,2.7
2016/3/3,8.1,15.4,0.9
2016/3/4,9.8,14.9,4.1
2016/3/5,13.7,20.1,6.8
2016/3/6,16.9,19.1,14.8
2016/3/7,16.2,21.1,13.1
2016/3/8,15.4,21.7,10.4
2016/3/9,9.0,13.5,7.4
2016/3/10,7.6,9.0,6.7
2016/3/11,7.6,10.3,5.7
2016/3/12,7.5,11.4,4.1
2016/3/13,7.7,12.3,3.1
2016/3/14,6.9,8.5,5.5
2016/3/15,8.5,13.1,5.3
2016/3/16,8.8,13.6,3.5
2016/3/17,11.5,17.9,5.1
2016/3/18,14.0,20.3,7.4
2016/3/19,15.9,20.9,11.7
2016/3/20,11.6,16.6,8.1
2016/3/21,10.1,14.5,7.3
2016/3/22,9.7,14.7,3.1
2016/3/23,12.1,17.7,7.4
2016/3/24,9.7,13.4,7.5
2016/3/25,8.3,12.3,4.6
2016/3/26,8.2,12.9,3.7
2016/3/27,9.0,13.7,3.9
2016/3/28,11.1,16.0,6.0
2016/3/29,11.5,15.7,5.4
2016/3/30,13.8,20.1,8.1
2016/3/31,14.8,18.9,9.2
2016/4/1,14.2,15.7,13.6
2016/4/2,16.1,21.3,11.6
2016/4/3,16.4,19.5,14.8
2016/4/4,15.9,20.0,12.9
2016/4/5,14.8,19.5,12.2
2016/4/6,15.8,19.2,10.8
2016/4/7,19.4,25.8,16.0
2016/4/8,16.2,20.6,12.1
2016/4/9,16.3,22.6,10.7
2016/4/10,16.0,20.1,13.1
2016/4/11,12.3,15.8,7.9
2016/4/12,12.3,17.8,5.5
2016/4/13,17.0,22.1,14.4
2016/4/14,19.3,25.2,15.2
2016/4/15,16.4,20.3,12.0
2016/4/16,16.3,23.0,7.8
2016/4/17,21.1,30.1,15.9
2016/4/18,15.9,17.8,14.2
2016/4/19,16.5,22.3,10.0
2016/4/20,16.0,21.8,9.0
2016/4/21,16.9,18.0,15.9
2016/4/22,19.9,25.0,16.0
2016/4/23,17.7,23.6,14.3
2016/4/24,17.0,20.0,14.1
2016/4/25,16.9,21.4,11.2
2016/4/26,19.0,22.9,13.4
2016/4/27,17.5,19.7,16.1
2016/4/28,16.7,19.9,13.4
2016/4/29,14.2,17.6,11.7
2016/4/30,15.1,21.2,7.9
2016/5/1,18.1,23.8,10.9
