ダウンロードした時刻：2017/07/24 15:40:39

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,6.8,11.0,4.9
1992/1/2,6.5,10.8,3.7
1992/1/3,7.0,9.0,5.9
1992/1/4,6.4,7.7,4.5
1992/1/5,7.3,11.2,3.2
1992/1/6,6.0,6.8,4.6
1992/1/7,8.9,11.6,5.9
1992/1/8,9.0,11.8,6.1
1992/1/9,7.7,9.1,5.7
1992/1/10,6.8,8.4,5.4
1992/1/11,5.9,10.3,2.3
1992/1/12,8.2,13.6,2.2
1992/1/13,9.2,12.1,6.6
1992/1/14,4.8,8.0,1.4
1992/1/15,3.4,6.8,-0.1
1992/1/16,4.5,8.6,-1.2
1992/1/17,6.4,8.4,4.7
1992/1/18,2.8,4.7,0.7
1992/1/19,2.6,4.1,1.0
1992/1/20,4.2,5.5,1.4
1992/1/21,4.1,8.1,-0.4
1992/1/22,5.8,10.8,1.8
1992/1/23,2.7,5.3,0.6
1992/1/24,2.1,3.3,0.5
1992/1/25,6.0,11.4,2.2
1992/1/26,6.3,11.4,2.7
1992/1/27,7.7,12.4,2.8
1992/1/28,8.4,13.7,3.3
1992/1/29,8.9,10.9,7.1
1992/1/30,7.2,10.1,4.2
1992/1/31,5.3,8.8,3.3
1992/2/1,2.7,4.2,0.9
1992/2/2,3.7,7.0,0.9
1992/2/3,5.6,8.8,2.7
1992/2/4,7.2,10.0,4.2
1992/2/5,4.6,6.4,0.9
1992/2/6,5.9,12.3,-0.6
1992/2/7,5.2,7.8,2.6
1992/2/8,2.9,6.1,0.5
1992/2/9,2.8,5.9,0.7
1992/2/10,4.6,9.8,-0.1
1992/2/11,3.6,6.4,0.1
1992/2/12,5.5,11.1,-0.3
1992/2/13,6.9,12.1,3.5
1992/2/14,3.6,6.4,1.7
1992/2/15,6.1,8.8,2.2
1992/2/16,4.4,6.8,1.5
1992/2/17,4.0,7.8,1.0
1992/2/18,6.2,10.9,0.1
1992/2/19,4.1,7.1,1.5
1992/2/20,2.5,5.0,0.8
1992/2/21,1.1,3.3,0.1
1992/2/22,2.1,4.6,0.2
1992/2/23,3.7,8.3,0.3
1992/2/24,3.3,6.2,0.7
1992/2/25,3.5,5.1,1.3
1992/2/26,4.6,7.9,0.7
1992/2/27,7.8,15.1,1.8
1992/2/28,11.2,16.8,3.7
1992/2/29,12.8,14.6,10.2
1992/3/1,10.7,13.9,7.7
1992/3/2,6.8,9.8,5.0
1992/3/3,5.1,7.4,4.0
1992/3/4,5.3,9.0,2.8
1992/3/5,6.5,8.7,3.3
1992/3/6,6.2,8.2,3.8
1992/3/7,4.6,8.4,0.5
1992/3/8,5.7,12.3,-0.6
1992/3/9,10.7,15.3,3.4
1992/3/10,10.0,14.5,7.7
1992/3/11,8.6,13.5,4.2
1992/3/12,10.1,18.2,2.0
1992/3/13,10.7,15.8,4.9
1992/3/14,11.6,16.5,4.4
1992/3/15,13.9,16.0,10.1
1992/3/16,8.9,10.5,5.7
1992/3/17,6.4,9.8,4.2
1992/3/18,6.7,7.8,5.4
1992/3/19,8.3,11.7,5.5
1992/3/20,8.4,14.1,3.8
1992/3/21,5.9,7.8,4.0
1992/3/22,5.8,9.0,1.8
1992/3/23,7.2,11.8,0.9
1992/3/24,9.7,11.4,8.6
1992/3/25,10.1,12.8,7.9
1992/3/26,10.5,12.6,6.7
1992/3/27,8.2,10.7,5.5
1992/3/28,9.1,13.5,4.1
1992/3/29,13.1,14.5,11.8
1992/3/30,10.8,11.9,9.6
1992/3/31,11.1,14.9,5.7
1992/4/1,13.7,15.1,12.5
1992/4/2,12.0,13.2,11.2
1992/4/3,12.3,16.0,7.7
1992/4/4,15.7,18.7,12.4
1992/4/5,12.1,14.6,10.5
1992/4/6,12.2,15.4,10.7
1992/4/7,11.8,15.3,8.7
1992/4/8,14.4,20.3,6.2
1992/4/9,15.7,19.1,14.2
1992/4/10,15.2,16.8,13.1
1992/4/11,10.9,15.8,8.4
1992/4/12,7.6,11.2,4.6
1992/4/13,7.9,11.4,5.7
1992/4/14,8.4,12.1,5.1
1992/4/15,12.0,19.1,4.0
1992/4/16,11.3,14.9,8.4
1992/4/17,11.2,14.0,8.0
1992/4/18,17.4,21.8,12.0
1992/4/19,13.0,18.7,8.7
1992/4/20,12.5,17.2,7.6
1992/4/21,17.0,24.8,6.7
1992/4/22,15.2,18.5,11.3
1992/4/23,15.2,20.4,7.3
1992/4/24,16.6,19.1,11.9
1992/4/25,12.8,17.6,7.8
1992/4/26,14.4,21.4,5.7
1992/4/27,18.5,25.2,14.5
1992/4/28,18.5,24.4,13.8
1992/4/29,15.1,19.8,10.8
1992/4/30,11.5,12.7,9.5
1992/5/1,11.6,15.5,6.6
