ダウンロードした時刻：2017/07/24 15:39:07

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/1/1,2.5,4.1,0.8
2011/1/2,2.9,4.6,1.8
2011/1/3,3.4,7.3,0.8
2011/1/4,2.7,5.3,0.7
2011/1/5,3.4,6.1,0.8
2011/1/6,0.7,1.9,-1.3
2011/1/7,-0.2,3.0,-2.1
2011/1/8,2.8,7.9,-1.7
2011/1/9,2.7,5.4,-0.4
2011/1/10,-1.1,1.3,-3.0
2011/1/11,-0.2,3.0,-3.8
2011/1/12,1.3,3.2,0.3
2011/1/13,-0.3,0.9,-2.6
2011/1/14,0.4,3.8,-3.6
2011/1/15,0.9,2.6,-0.4
2011/1/16,-1.3,0.5,-2.8
2011/1/17,0.7,2.6,-1.1
2011/1/18,1.8,4.4,0.3
2011/1/19,1.6,3.8,0.4
2011/1/20,0.5,1.5,-0.3
2011/1/21,1.3,4.4,-1.0
2011/1/22,1.7,3.4,0.5
2011/1/23,1.9,4.9,0.4
2011/1/24,1.3,2.6,-0.1
2011/1/25,1.3,4.0,-0.6
2011/1/26,0.7,2.5,-0.6
2011/1/27,0.3,1.9,-0.7
2011/1/28,-0.9,2.0,-4.0
2011/1/29,-0.5,1.7,-5.0
2011/1/30,-1.7,0.5,-2.5
2011/1/31,-0.9,0.9,-3.0
2011/2/1,1.0,3.8,-2.7
2011/2/2,0.2,5.2,-4.7
2011/2/3,3.0,9.9,-2.0
2011/2/4,3.6,9.3,-0.8
2011/2/5,4.1,6.6,1.1
2011/2/6,4.7,10.7,-1.8
2011/2/7,3.1,5.7,0.5
2011/2/8,2.2,4.9,-1.4
2011/2/9,3.1,7.8,1.2
2011/2/10,1.3,4.1,0.0
2011/2/11,1.3,4.2,-1.9
2011/2/12,1.5,5.3,-2.2
2011/2/13,0.5,3.0,-0.8
2011/2/14,2.0,6.2,-0.9
2011/2/15,2.3,6.4,-0.8
2011/2/16,2.0,7.7,-3.2
2011/2/17,7.2,11.1,-0.3
2011/2/18,3.8,6.9,1.0
2011/2/19,2.1,6.0,-1.2
2011/2/20,3.4,8.3,-2.3
2011/2/21,4.4,7.9,0.5
2011/2/22,4.1,9.7,-1.5
2011/2/23,9.1,16.5,0.4
2011/2/24,13.0,16.4,9.4
2011/2/25,7.8,13.5,1.6
2011/2/26,2.6,6.3,-0.2
2011/2/27,7.4,14.9,-0.6
2011/2/28,6.1,7.5,5.2
2011/3/1,5.3,7.9,3.4
2011/3/2,2.4,5.3,0.0
2011/3/3,0.2,4.1,-1.5
2011/3/4,0.3,3.3,-1.5
2011/3/5,4.1,9.5,0.1
2011/3/6,7.1,12.4,1.1
2011/3/7,4.9,7.1,2.2
2011/3/8,3.3,9.9,0.3
2011/3/9,1.9,7.0,-0.1
2011/3/10,2.6,8.0,-1.3
2011/3/11,2.0,5.8,0.3
2011/3/12,6.2,13.9,-0.4
2011/3/13,10.2,17.8,3.0
2011/3/14,13.1,21.7,6.8
2011/3/15,7.3,9.5,4.7
2011/3/16,2.8,6.6,-1.5
2011/3/17,-0.1,3.1,-1.9
2011/3/18,,,-3.3
2011/3/19,10.1,15.9,2.3
2011/3/20,10.1,16.3,5.6
2011/3/21,8.4,10.7,6.9
2011/3/22,7.0,12.1,1.5
2011/3/23,2.6,6.0,0.1
2011/3/24,3.3,9.5,-1.0
2011/3/25,5.2,11.3,1.7
2011/3/26,2.5,6.1,0.4
2011/3/27,2.9,7.4,0.3
2011/3/28,4.9,11.2,-0.8
2011/3/29,8.8,15.4,2.4
2011/3/30,7.8,14.2,2.8
2011/3/31,8.0,13.8,3.9
2011/4/1,10.6,19.7,1.1
2011/4/2,7.4,10.8,3.5
2011/4/3,5.4,10.9,0.8
2011/4/4,5.5,10.5,1.2
2011/4/5,6.7,13.7,0.4
2011/4/6,10.0,17.9,1.3
2011/4/7,16.5,23.4,7.3
2011/4/8,14.2,18.8,9.6
2011/4/9,10.5,13.7,8.6
2011/4/10,12.2,20.8,4.9
2011/4/11,6.7,10.3,2.7
2011/4/12,7.7,14.8,1.1
2011/4/13,13.0,20.8,6.8
2011/4/14,14.3,21.7,6.5
2011/4/15,17.5,26.7,6.5
2011/4/16,12.2,19.4,6.3
2011/4/17,8.3,12.4,4.7
2011/4/18,9.5,15.0,3.8
2011/4/19,9.5,14.8,7.3
2011/4/20,8.8,12.1,5.4
2011/4/21,10.7,17.2,3.9
2011/4/22,14.7,21.0,8.2
2011/4/23,13.7,18.4,8.9
2011/4/24,11.7,17.1,5.6
2011/4/25,11.2,16.8,6.8
2011/4/26,13.1,17.7,7.3
2011/4/27,17.3,28.6,12.7
2011/4/28,11.0,14.5,8.5
2011/4/29,12.3,17.8,8.3
2011/4/30,16.6,21.1,11.1
2011/5/1,18.0,20.1,14.2
